,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,56.33%,50.38%,44.61%,57.43%,55.40%,52.01%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
1,2,San Francisco,55.57%,53.54%,55.39%,57.88%,52.94%,52.67%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
2,3,Cincinnati,54.43%,54.91%,51.22%,56.79%,52.77%,53.76%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
3,4,NY Giants,53.60%,50.69%,49.22%,51.89%,55.63%,48.96%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
4,5,Philadelphia,53.11%,59.02%,52.72%,55.01%,51.45%,50.38%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
5,6,Green Bay,53.04%,59.48%,60.39%,60.24%,47.80%,53.15%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
6,7,Cleveland,52.55%,55.00%,49.28%,54.79%,49.88%,51.00%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
7,8,Kansas City,52.18%,51.38%,32.61%,51.52%,52.77%,52.92%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
8,9,Jacksonville,51.92%,53.54%,48.94%,52.20%,51.73%,45.15%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
9,10,Arizona,51.56%,47.79%,45.80%,48.70%,54.82%,54.30%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
10,11,Baltimore,50.55%,41.91%,33.28%,51.25%,49.94%,52.69%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
11,12,LA Chargers,50.50%,57.30%,61.00%,49.49%,51.42%,48.29%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
12,13,NY Jets,50.45%,53.70%,51.06%,49.03%,52.06%,46.60%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
13,14,Buffalo,50.37%,48.78%,52.83%,43.94%,54.87%,51.93%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
14,15,New Orleans,50.13%,51.43%,50.72%,52.05%,48.45%,49.85%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
15,16,New England,50.10%,48.63%,48.78%,49.26%,50.81%,52.66%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
16,17,Denver,49.94%,48.94%,45.83%,53.70%,46.62%,52.63%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
17,18,Pittsburgh,49.83%,54.74%,57.22%,49.63%,50.00%,48.97%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
18,19,Atlanta,49.48%,59.70%,66.72%,50.13%,48.88%,44.99%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
19,20,Indianapolis,48.81%,46.87%,39.00%,50.40%,47.55%,54.23%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
20,21,LA Rams,48.63%,48.67%,54.17%,51.82%,43.84%,46.33%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
21,22,Chicago,48.44%,44.02%,47.17%,44.44%,53.02%,49.46%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
22,23,Detroit,48.40%,52.96%,41.56%,46.89%,50.13%,47.72%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
23,24,Dallas,48.01%,48.50%,47.28%,44.69%,52.72%,45.80%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
24,25,Miami,47.68%,41.24%,39.61%,47.21%,48.10%,49.09%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
25,26,Houston,47.38%,45.86%,53.28%,43.34%,51.17%,44.86%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
26,27,Las Vegas,46.94%,42.85%,42.78%,49.27%,45.38%,51.57%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
27,28,Minnesota,46.74%,47.51%,50.78%,47.25%,45.98%,48.36%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
28,29,Seattle,46.70%,49.43%,67.39%,41.38%,51.49%,43.18%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
29,30,Tampa Bay,46.27%,47.22%,54.20%,38.65%,52.52%,51.50%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
30,31,Tennessee,45.79%,45.19%,46.72%,45.69%,45.88%,53.82%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
31,32,Carolina,44.70%,52.56%,58.44%,46.52%,42.10%,48.77%,2022-12-28,/nfl/stat/2nd-half-time-of-possession-share-pct
