,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,56.59%,60.48%,60.11%,62.25%,48.67%,47.59%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
1,2,Cleveland,56.05%,59.63%,73.78%,60.65%,51.44%,56.05%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
2,3,Washington,55.56%,59.89%,62.44%,54.81%,56.19%,53.93%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
3,4,Cincinnati,55.32%,50.96%,56.67%,59.80%,52.13%,50.94%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
4,5,NY Giants,55.04%,37.81%,37.56%,51.54%,59.93%,47.78%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
5,6,LA Chargers,54.56%,63.59%,60.78%,50.93%,57.14%,49.95%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
6,7,Baltimore,54.49%,53.93%,59.33%,61.00%,47.98%,48.75%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
7,8,San Francisco,53.62%,54.04%,59.67%,57.35%,49.89%,49.98%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
8,9,New England,53.25%,46.74%,54.00%,54.37%,52.13%,52.35%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
9,10,NY Jets,53.20%,55.33%,60.00%,50.91%,55.50%,44.85%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
10,11,Arizona,52.15%,44.37%,36.33%,46.11%,58.19%,58.33%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
11,12,Buffalo,51.53%,58.11%,46.00%,48.64%,52.97%,53.64%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
12,13,Kansas City,51.48%,50.56%,43.33%,55.83%,47.13%,44.65%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
13,14,Minnesota,49.98%,45.15%,40.00%,49.14%,51.16%,49.92%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
14,15,Chicago,49.50%,45.44%,40.56%,54.69%,45.06%,48.69%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
15,16,Denver,49.11%,43.22%,40.67%,52.11%,46.97%,54.24%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
16,17,Dallas,49.05%,55.11%,46.33%,46.57%,52.51%,46.09%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
17,18,Pittsburgh,48.43%,51.04%,36.89%,48.16%,48.62%,52.91%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
18,19,Green Bay,48.07%,43.07%,59.44%,50.44%,46.58%,50.29%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
19,20,Detroit,47.98%,59.67%,73.89%,45.48%,51.49%,50.71%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
20,21,Indianapolis,47.81%,49.07%,53.67%,47.93%,47.71%,55.07%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
21,22,New Orleans,47.54%,55.67%,59.78%,52.22%,43.52%,52.61%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
22,23,Tennessee,47.31%,47.59%,39.89%,49.91%,45.44%,54.96%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
23,24,LA Rams,47.01%,36.07%,42.11%,51.59%,40.60%,50.88%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
24,25,Las Vegas,46.63%,46.78%,39.22%,46.56%,46.68%,47.00%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
25,26,Miami,46.49%,46.78%,40.33%,49.37%,43.61%,54.16%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
26,27,Carolina,46.43%,50.52%,58.56%,51.89%,38.78%,50.69%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
27,28,Tampa Bay,45.76%,46.67%,40.22%,44.39%,47.13%,50.92%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
28,29,Jacksonville,45.52%,43.67%,26.11%,47.49%,44.11%,44.29%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
29,30,Atlanta,45.17%,51.33%,63.11%,46.84%,43.22%,44.52%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
30,31,Seattle,45.14%,47.30%,57.89%,44.07%,45.90%,39.91%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
31,32,Houston,44.78%,43.11%,26.22%,38.04%,51.52%,42.79%,2022-12-07,/nfl/stat/4th-quarter-time-of-possession-share-pct
