,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Carolina,25.5,25.7,25.0,25.0,26.5,21.9,2022-10-18,/nfl/stat/assisted-tackles-per-game
1,2,Atlanta,25.2,25.7,27.0,27.7,22.7,26.2,2022-10-18,/nfl/stat/assisted-tackles-per-game
2,2,Chicago,25.2,25.7,21.0,22.0,28.3,20.8,2022-10-18,/nfl/stat/assisted-tackles-per-game
3,4,Pittsburgh,24.3,19.7,19.0,26.0,22.7,21.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
4,4,Denver,24.3,28.0,21.0,26.3,22.3,21.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
5,6,NY Jets,23.5,26.0,22.0,18.7,28.3,24.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
6,7,Houston,23.4,20.3,16.0,30.5,18.7,24.1,2022-10-18,/nfl/stat/assisted-tackles-per-game
7,8,LA Rams,22.5,25.3,28.0,24.5,18.5,24.4,2022-10-18,/nfl/stat/assisted-tackles-per-game
8,9,Miami,22.3,21.7,20.0,22.7,22.0,22.4,2022-10-18,/nfl/stat/assisted-tackles-per-game
9,9,Arizona,22.3,26.0,25.0,21.7,23.0,20.2,2022-10-18,/nfl/stat/assisted-tackles-per-game
10,9,New England,22.3,24.0,13.0,21.5,22.8,20.9,2022-10-18,/nfl/stat/assisted-tackles-per-game
11,12,Seattle,22.2,26.3,22.0,19.0,25.3,27.8,2022-10-18,/nfl/stat/assisted-tackles-per-game
12,13,Tampa Bay,21.8,23.7,22.0,22.7,21.0,17.2,2022-10-18,/nfl/stat/assisted-tackles-per-game
13,13,NY Giants,21.8,20.7,13.0,23.0,19.5,28.9,2022-10-18,/nfl/stat/assisted-tackles-per-game
14,15,San Francisco,21.7,22.7,25.0,15.0,25.0,22.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
15,15,Kansas City,21.7,19.0,26.0,22.3,21.0,21.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
16,17,Las Vegas,21.4,17.7,16.0,26.0,18.3,24.7,2022-10-18,/nfl/stat/assisted-tackles-per-game
17,18,Minnesota,20.8,21.0,18.0,22.0,19.7,24.9,2022-10-18,/nfl/stat/assisted-tackles-per-game
18,19,Jacksonville,20.7,29.0,25.0,16.0,23.0,23.5,2022-10-18,/nfl/stat/assisted-tackles-per-game
19,20,Tennessee,20.2,23.3,21.0,21.0,19.7,18.7,2022-10-18,/nfl/stat/assisted-tackles-per-game
20,21,Cincinnati,20.2,23.7,34.0,16.5,22.0,22.1,2022-10-18,/nfl/stat/assisted-tackles-per-game
21,22,Washington,20.0,23.3,21.0,17.3,22.7,23.1,2022-10-18,/nfl/stat/assisted-tackles-per-game
22,23,New Orleans,19.8,14.7,6.0,18.7,21.0,20.4,2022-10-18,/nfl/stat/assisted-tackles-per-game
23,24,Indianapolis,19.0,24.3,24.0,20.7,17.3,18.1,2022-10-18,/nfl/stat/assisted-tackles-per-game
24,25,Dallas,18.8,18.7,26.0,21.7,16.0,20.1,2022-10-18,/nfl/stat/assisted-tackles-per-game
25,26,LA Chargers,18.2,18.7,15.0,16.7,19.7,23.2,2022-10-18,/nfl/stat/assisted-tackles-per-game
26,27,Philadelphia,17.8,17.0,24.0,19.3,16.3,28.7,2022-10-18,/nfl/stat/assisted-tackles-per-game
27,28,Detroit,17.6,15.7,18.0,18.3,16.5,23.6,2022-10-18,/nfl/stat/assisted-tackles-per-game
28,29,Baltimore,17.5,16.7,17.0,18.0,17.0,19.6,2022-10-18,/nfl/stat/assisted-tackles-per-game
29,30,Buffalo,16.8,17.3,10.0,15.5,17.5,17.6,2022-10-18,/nfl/stat/assisted-tackles-per-game
30,31,Cleveland,16.7,19.7,26.0,17.5,15.0,21.0,2022-10-18,/nfl/stat/assisted-tackles-per-game
31,32,Green Bay,16.5,16.7,16.0,17.7,15.3,16.3,2022-10-18,/nfl/stat/assisted-tackles-per-game
