,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,11.0,1.3,-3.0,19.0,4.6,11.5,2022-11-16,/nfl/stat/average-scoring-margin
1,2,Philadelphia,8.8,7.7,-11.0,9.0,8.5,2.4,2022-11-16,/nfl/stat/average-scoring-margin
2,3,Kansas City,7.1,11.3,10.0,2.6,12.8,7.0,2022-11-16,/nfl/stat/average-scoring-margin
3,4,Dallas,5.2,11.7,-3.0,8.0,1.8,9.2,2022-11-16,/nfl/stat/average-scoring-margin
4,5,Cincinnati,4.8,6.7,21.0,12.0,-1.0,4.5,2022-11-16,/nfl/stat/average-scoring-margin
5,6,Baltimore,4.3,7.3,14.0,-0.5,8.2,-0.3,2022-11-16,/nfl/stat/average-scoring-margin
6,7,New England,4.1,3.0,23.0,5.5,3.0,7.2,2022-11-16,/nfl/stat/average-scoring-margin
7,8,San Francisco,3.9,0.7,6.0,5.0,3.0,3.4,2022-11-16,/nfl/stat/average-scoring-margin
8,8,Minnesota,3.9,4.7,3.0,8.8,0.0,-0.1,2022-11-16,/nfl/stat/average-scoring-margin
9,10,NY Jets,2.2,1.7,3.0,-1.8,7.3,-11.4,2022-11-16,/nfl/stat/average-scoring-margin
10,11,Seattle,1.6,6.3,-5.0,5.3,-0.8,1.7,2022-11-16,/nfl/stat/average-scoring-margin
11,12,NY Giants,1.6,0.0,8.0,3.2,-0.5,-9.3,2022-11-16,/nfl/stat/average-scoring-margin
12,13,Jacksonville,1.1,-2.3,-10.0,4.5,-1.2,-12.0,2022-11-16,/nfl/stat/average-scoring-margin
13,13,Miami,1.1,9.7,22.0,7.0,-4.8,-1.9,2022-11-16,/nfl/stat/average-scoring-margin
14,15,Tampa Bay,0.3,1.0,5.0,-1.6,2.2,9.0,2022-11-16,/nfl/stat/average-scoring-margin
15,16,Tennessee,-0.2,3.7,7.0,4.3,-3.8,3.4,2022-11-16,/nfl/stat/average-scoring-margin
16,17,Atlanta,-1.8,-3.3,-10.0,3.2,-6.8,-8.6,2022-11-16,/nfl/stat/average-scoring-margin
17,18,Denver,-2.0,-3.3,-7.0,-0.5,-3.2,0.8,2022-11-16,/nfl/stat/average-scoring-margin
18,19,Washington,-2.2,3.0,11.0,-3.0,-1.4,-5.8,2022-11-16,/nfl/stat/average-scoring-margin
19,20,Cleveland,-2.3,-2.0,-22.0,1.0,-6.5,-1.3,2022-11-16,/nfl/stat/average-scoring-margin
20,21,New Orleans,-2.5,0.0,-10.0,0.6,-5.6,1.7,2022-11-16,/nfl/stat/average-scoring-margin
21,22,Las Vegas,-2.6,-12.0,-5.0,4.0,-7.8,-4.0,2022-11-16,/nfl/stat/average-scoring-margin
22,23,Arizona,-2.8,-2.7,10.0,-7.2,1.6,3.3,2022-11-16,/nfl/stat/average-scoring-margin
23,24,Chicago,-3.0,-8.0,-1.0,0.6,-6.6,-5.6,2022-11-16,/nfl/stat/average-scoring-margin
24,25,Green Bay,-3.1,-4.3,3.0,1.5,-6.2,4.2,2022-11-16,/nfl/stat/average-scoring-margin
25,26,LA Chargers,-3.1,-5.7,-6.0,-8.5,1.2,0.9,2022-11-16,/nfl/stat/average-scoring-margin
26,27,Carolina,-3.9,-4.7,10.0,0.3,-10.3,-5.9,2022-11-16,/nfl/stat/average-scoring-margin
27,28,Indianapolis,-4.6,-6.3,5.0,0.5,-8.0,5.1,2022-11-16,/nfl/stat/average-scoring-margin
28,29,Detroit,-5.0,1.0,1.0,1.0,-12.5,-8.4,2022-11-16,/nfl/stat/average-scoring-margin
29,30,LA Rams,-5.8,-10.0,-10.0,-7.0,-3.3,5.7,2022-11-16,/nfl/stat/average-scoring-margin
30,31,Houston,-6.4,-9.0,-8.0,-7.3,-5.8,-10.1,2022-11-16,/nfl/stat/average-scoring-margin
31,32,Pittsburgh,-7.4,-6.0,10.0,1.3,-14.4,-4.2,2022-11-16,/nfl/stat/average-scoring-margin
