,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,6.67%,0.00%,0.00%,0.00%,14.29%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
1,2,Dallas,4.35%,6.67%,16.67%,0.00%,11.11%,4.00%,2022-10-11,/nfl/stat/block-punt-pct
2,3,Washington,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
3,3,Pittsburgh,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%,2022-10-11,/nfl/stat/block-punt-pct
4,3,New Orleans,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%,2022-10-11,/nfl/stat/block-punt-pct
5,3,Las Vegas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
6,3,Detroit,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
7,3,Chicago,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
8,3,Jacksonville,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
9,3,San Francisco,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%,2022-10-11,/nfl/stat/block-punt-pct
10,3,NY Jets,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
11,3,Miami,0.00%,0.00%,0.00%,0.00%,0.00%,1.33%,2022-10-11,/nfl/stat/block-punt-pct
12,3,Tennessee,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
13,3,Cleveland,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
14,3,Houston,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
15,3,Tampa Bay,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
16,3,Arizona,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
17,3,New England,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
18,3,Kansas City,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
19,3,Denver,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
20,3,Buffalo,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%,2022-10-11,/nfl/stat/block-punt-pct
21,3,Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,1.33%,2022-10-11,/nfl/stat/block-punt-pct
22,3,LA Chargers,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
23,3,NY Giants,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
24,3,LA Rams,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
25,3,Green Bay,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
26,3,Cincinnati,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
27,3,Baltimore,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
28,3,Seattle,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
29,3,Philadelphia,0.00%,0.00%,0.00%,0.00%,0.00%,1.43%,2022-10-11,/nfl/stat/block-punt-pct
30,3,Minnesota,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-10-11,/nfl/stat/block-punt-pct
31,3,Indianapolis,0.00%,0.00%,0.00%,0.00%,0.00%,3.23%,2022-10-11,/nfl/stat/block-punt-pct
