,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,28.9,29.0,36.0,33.8,24.0,29.0,2022-12-07,/nfl/stat/completions-per-game
1,2,LA Chargers,28.3,28.7,28.0,28.8,28.0,26.1,2022-12-07,/nfl/stat/completions-per-game
2,3,Arizona,26.3,24.7,18.0,25.3,27.3,24.1,2022-12-07,/nfl/stat/completions-per-game
3,4,Kansas City,25.7,21.0,16.0,29.0,22.3,26.9,2022-12-07,/nfl/stat/completions-per-game
4,4,Cincinnati,25.7,23.7,25.0,27.6,24.3,23.0,2022-12-07,/nfl/stat/completions-per-game
5,6,Minnesota,24.9,23.0,21.0,24.7,25.2,23.4,2022-12-07,/nfl/stat/completions-per-game
6,7,Indianapolis,24.8,22.0,21.0,26.3,23.4,19.1,2022-12-07,/nfl/stat/completions-per-game
7,8,Buffalo,23.8,21.3,22.0,22.5,24.5,24.4,2022-12-07,/nfl/stat/completions-per-game
8,9,Seattle,23.8,26.0,28.0,25.0,22.9,19.1,2022-12-07,/nfl/stat/completions-per-game
9,10,Miami,23.4,22.3,18.0,22.7,24.2,23.8,2022-12-07,/nfl/stat/completions-per-game
10,11,Jacksonville,22.9,25.7,19.0,25.2,21.3,21.2,2022-12-07,/nfl/stat/completions-per-game
11,12,Pittsburgh,22.6,20.3,16.0,20.2,24.3,25.2,2022-12-07,/nfl/stat/completions-per-game
12,13,Las Vegas,22.3,21.3,16.0,21.4,22.9,25.4,2022-12-07,/nfl/stat/completions-per-game
13,14,LA Rams,22.1,14.7,14.0,24.6,18.6,24.0,2022-12-07,/nfl/stat/completions-per-game
14,15,Detroit,22.0,23.7,31.0,23.3,20.2,23.3,2022-12-07,/nfl/stat/completions-per-game
15,16,Green Bay,21.8,19.7,18.0,21.2,22.3,23.4,2022-12-07,/nfl/stat/completions-per-game
16,17,New Orleans,21.7,20.3,21.0,21.0,22.3,17.2,2022-12-07,/nfl/stat/completions-per-game
17,18,New England,21.2,24.3,22.0,20.2,22.2,21.6,2022-12-07,/nfl/stat/completions-per-game
18,19,Washington,21.2,18.7,27.0,21.0,21.3,20.9,2022-12-07,/nfl/stat/completions-per-game
19,20,San Francisco,21.0,24.3,27.0,22.0,20.0,19.3,2022-12-07,/nfl/stat/completions-per-game
20,21,NY Jets,20.9,20.7,31.0,23.2,18.7,21.0,2022-12-07,/nfl/stat/completions-per-game
21,22,Houston,20.8,21.7,20.0,19.7,21.8,20.8,2022-12-07,/nfl/stat/completions-per-game
22,23,Cleveland,20.7,21.0,12.0,20.8,20.5,18.8,2022-12-07,/nfl/stat/completions-per-game
23,24,Philadelphia,20.4,21.3,30.0,20.0,21.0,18.3,2022-12-07,/nfl/stat/completions-per-game
24,25,Denver,19.9,20.0,17.0,20.6,19.4,20.8,2022-12-07,/nfl/stat/completions-per-game
25,26,Dallas,19.8,22.3,20.0,19.4,20.4,26.0,2022-12-07,/nfl/stat/completions-per-game
26,27,NY Giants,19.2,24.3,25.0,19.3,19.0,20.6,2022-12-07,/nfl/stat/completions-per-game
27,27,Baltimore,19.2,23.3,30.0,20.5,17.8,23.3,2022-12-07,/nfl/stat/completions-per-game
28,29,Carolina,16.3,14.0,11.0,16.0,16.8,20.5,2022-12-07,/nfl/stat/completions-per-game
29,30,Tennessee,15.7,20.7,16.0,18.6,13.6,20.8,2022-12-07,/nfl/stat/completions-per-game
30,31,Atlanta,14.2,13.7,13.0,14.0,14.3,22.2,2022-12-07,/nfl/stat/completions-per-game
31,32,Chicago,13.2,16.0,20.0,13.2,13.1,19.5,2022-12-07,/nfl/stat/completions-per-game
