,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New England,3.1,7.0,7.0,3.5,2.6,1.2,2023-01-04,/nfl/stat/defensive-points-per-game
1,2,Arizona,2.2,0.0,0.0,2.6,1.8,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
2,3,Dallas,1.3,0.0,0.0,1.6,1.0,2.3,2023-01-04,/nfl/stat/defensive-points-per-game
3,3,Las Vegas,1.3,2.3,0.0,3.0,0.0,0.1,2023-01-04,/nfl/stat/defensive-points-per-game
4,3,Jacksonville,1.3,4.7,7.0,1.2,1.4,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
5,3,San Francisco,1.3,0.0,0.0,1.8,0.9,0.7,2023-01-04,/nfl/stat/defensive-points-per-game
6,3,Miami,1.3,0.0,0.0,2.0,0.8,2.1,2023-01-04,/nfl/stat/defensive-points-per-game
7,3,Cleveland,1.3,0.0,0.0,0.9,1.8,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
8,3,Carolina,1.3,0.0,0.0,1.6,1.0,0.1,2023-01-04,/nfl/stat/defensive-points-per-game
9,10,Atlanta,1.0,0.0,0.0,1.8,0.3,0.9,2023-01-04,/nfl/stat/defensive-points-per-game
10,10,Washington,1.0,0.0,0.0,0.3,1.8,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
11,10,Kansas City,1.0,0.0,0.0,0.9,1.1,1.4,2023-01-04,/nfl/stat/defensive-points-per-game
12,10,Green Bay,1.0,2.3,7.0,1.0,1.0,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
13,14,NY Giants,0.9,4.7,7.0,0.8,1.0,0.5,2023-01-04,/nfl/stat/defensive-points-per-game
14,14,Philadelphia,0.9,2.3,0.0,0.0,1.8,1.9,2023-01-04,/nfl/stat/defensive-points-per-game
15,16,Buffalo,0.7,0.0,0.0,1.2,0.4,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
16,17,Detroit,0.6,0.0,0.0,0.2,1.0,0.0,2023-01-04,/nfl/stat/defensive-points-per-game
17,17,LA Chargers,0.6,0.0,0.0,0.3,0.9,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
18,19,Pittsburgh,0.4,0.0,0.0,0.0,0.8,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
19,19,New Orleans,0.4,2.3,7.0,0.0,0.8,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
20,19,Tennessee,0.4,0.0,0.0,0.9,0.0,1.6,2023-01-04,/nfl/stat/defensive-points-per-game
21,19,Tampa Bay,0.4,0.0,0.0,0.0,0.9,0.7,2023-01-04,/nfl/stat/defensive-points-per-game
22,19,LA Rams,0.4,2.3,0.0,0.8,0.0,0.3,2023-01-04,/nfl/stat/defensive-points-per-game
23,19,Seattle,0.4,0.0,0.0,0.0,0.9,0.1,2023-01-04,/nfl/stat/defensive-points-per-game
24,19,Minnesota,0.4,0.0,0.0,0.0,1.0,0.8,2023-01-04,/nfl/stat/defensive-points-per-game
25,19,Indianapolis,0.4,2.3,0.0,0.0,0.8,0.5,2023-01-04,/nfl/stat/defensive-points-per-game
26,27,NY Jets,0.3,0.0,0.0,0.3,0.3,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
27,28,Houston,0.1,0.0,0.0,0.3,0.0,0.5,2023-01-04,/nfl/stat/defensive-points-per-game
28,28,Denver,0.1,0.0,0.0,0.3,0.0,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
29,30,Chicago,0.0,0.0,0.0,0.0,0.0,0.9,2023-01-04,/nfl/stat/defensive-points-per-game
30,30,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.7,2023-01-04,/nfl/stat/defensive-points-per-game
31,30,Baltimore,0.0,0.0,0.0,0.0,0.0,0.4,2023-01-04,/nfl/stat/defensive-points-per-game
