,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New England,0.4,0.7,0.0,0.5,0.3,0.2,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
1,2,Arizona,0.3,0.0,0.0,0.4,0.2,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
2,3,Jacksonville,0.2,0.7,1.0,0.3,0.2,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
3,4,Dallas,0.2,0.0,0.0,0.2,0.1,0.3,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
4,4,Washington,0.2,0.3,1.0,0.1,0.3,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
5,4,Las Vegas,0.2,0.0,0.0,0.4,0.0,0.0,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
6,4,San Francisco,0.2,0.0,0.0,0.2,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
7,4,Miami,0.2,0.0,0.0,0.3,0.1,0.3,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
8,4,Cleveland,0.2,0.0,0.0,0.1,0.2,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
9,4,Carolina,0.2,0.0,0.0,0.2,0.1,0.0,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
10,11,Atlanta,0.1,0.0,0.0,0.2,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
11,11,Kansas City,0.1,0.0,0.0,0.1,0.1,0.2,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
12,11,NY Giants,0.1,0.3,0.0,0.1,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
13,11,Green Bay,0.1,0.3,0.0,0.1,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
14,11,Philadelphia,0.1,0.3,0.0,0.0,0.3,0.3,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
15,11,Indianapolis,0.1,0.3,1.0,0.1,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
16,17,Buffalo,0.1,0.0,0.0,0.1,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
17,17,Cincinnati,0.1,0.3,1.0,0.1,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
18,19,Pittsburgh,0.1,0.0,0.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
19,19,New Orleans,0.1,0.3,0.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
20,19,Detroit,0.1,0.0,0.0,0.0,0.1,0.0,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
21,19,Tennessee,0.1,0.0,0.0,0.1,0.0,0.2,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
22,19,Houston,0.1,0.3,1.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
23,19,Tampa Bay,0.1,0.0,0.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
24,19,LA Chargers,0.1,0.0,0.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
25,19,LA Rams,0.1,0.3,0.0,0.1,0.0,0.0,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
26,19,Seattle,0.1,0.0,0.0,0.0,0.1,0.0,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
27,19,Minnesota,0.1,0.0,0.0,0.0,0.1,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
28,29,Chicago,0.0,0.0,0.0,0.0,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
29,29,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
30,29,Denver,0.0,0.0,0.0,0.0,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
31,29,Baltimore,0.0,0.0,0.0,0.0,0.0,0.1,2023-01-11,/nfl/stat/defensive-touchdowns-per-game
