,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Pittsburgh,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%,2023-01-11,/nfl/stat/extra-point-conversion-pct
1,1,New Orleans,100.00%,100.00%,100.00%,100.00%,100.00%,81.58%,2023-01-11,/nfl/stat/extra-point-conversion-pct
2,1,Houston,100.00%,100.00%,100.00%,100.00%,100.00%,86.21%,2023-01-11,/nfl/stat/extra-point-conversion-pct
3,1,LA Chargers,100.00%,100.00%,100.00%,100.00%,100.00%,85.11%,2023-01-11,/nfl/stat/extra-point-conversion-pct
4,1,Indianapolis,100.00%,100.00%,100.00%,100.00%,100.00%,97.87%,2023-01-11,/nfl/stat/extra-point-conversion-pct
5,6,Seattle,97.62%,100.00%,100.00%,100.00%,95.65%,93.62%,2023-01-11,/nfl/stat/extra-point-conversion-pct
6,7,Jacksonville,97.30%,100.00%,100.00%,93.33%,100.00%,81.82%,2023-01-11,/nfl/stat/extra-point-conversion-pct
7,8,Las Vegas,97.22%,100.00%,100.00%,95.65%,100.00%,91.18%,2023-01-11,/nfl/stat/extra-point-conversion-pct
8,9,Tennessee,96.97%,100.00%,100.00%,100.00%,94.74%,91.67%,2023-01-11,/nfl/stat/extra-point-conversion-pct
9,10,LA Rams,96.88%,100.00%,100.00%,100.00%,88.89%,98.33%,2023-01-11,/nfl/stat/extra-point-conversion-pct
10,10,Baltimore,96.88%,100.00%,100.00%,100.00%,94.74%,100.00%,2023-01-11,/nfl/stat/extra-point-conversion-pct
11,12,NY Jets,96.55%,0,0,93.75%,100.00%,85.19%,2023-01-11,/nfl/stat/extra-point-conversion-pct
12,13,Philadelphia,96.36%,100.00%,100.00%,92.86%,100.00%,100.00%,2023-01-11,/nfl/stat/extra-point-conversion-pct
13,14,San Francisco,96.23%,100.00%,100.00%,96.43%,96.00%,92.16%,2023-01-11,/nfl/stat/extra-point-conversion-pct
14,15,Tampa Bay,96.00%,80.00%,100.00%,92.31%,100.00%,95.45%,2023-01-11,/nfl/stat/extra-point-conversion-pct
15,15,Buffalo,96.00%,91.67%,100.00%,100.00%,91.67%,96.77%,2023-01-11,/nfl/stat/extra-point-conversion-pct
16,17,Detroit,95.92%,100.00%,100.00%,93.75%,100.00%,96.43%,2023-01-11,/nfl/stat/extra-point-conversion-pct
17,18,Green Bay,94.87%,100.00%,100.00%,95.24%,94.44%,96.15%,2023-01-11,/nfl/stat/extra-point-conversion-pct
18,19,Cleveland,94.59%,100.00%,100.00%,88.89%,100.00%,94.87%,2023-01-11,/nfl/stat/extra-point-conversion-pct
19,20,Dallas,94.34%,87.50%,0.00%,93.75%,95.24%,89.09%,2023-01-11,/nfl/stat/extra-point-conversion-pct
20,21,Atlanta,94.29%,100.00%,100.00%,100.00%,83.33%,100.00%,2023-01-11,/nfl/stat/extra-point-conversion-pct
21,22,NY Giants,94.12%,100.00%,100.00%,90.48%,100.00%,100.00%,2023-01-11,/nfl/stat/extra-point-conversion-pct
22,23,Carolina,93.75%,100.00%,100.00%,94.12%,93.33%,92.86%,2023-01-11,/nfl/stat/extra-point-conversion-pct
23,24,Miami,93.18%,100.00%,0,88.24%,96.30%,97.14%,2023-01-11,/nfl/stat/extra-point-conversion-pct
24,25,Denver,92.59%,100.00%,100.00%,92.86%,92.31%,97.06%,2023-01-11,/nfl/stat/extra-point-conversion-pct
25,26,New England,91.43%,57.14%,100.00%,80.00%,100.00%,89.80%,2023-01-11,/nfl/stat/extra-point-conversion-pct
26,27,Kansas City,90.91%,100.00%,100.00%,90.48%,91.18%,93.94%,2023-01-11,/nfl/stat/extra-point-conversion-pct
27,27,Cincinnati,90.91%,85.71%,100.00%,91.67%,90.00%,96.36%,2023-01-11,/nfl/stat/extra-point-conversion-pct
28,29,Arizona,88.89%,75.00%,50.00%,92.86%,84.62%,95.92%,2023-01-11,/nfl/stat/extra-point-conversion-pct
29,30,Minnesota,86.96%,87.50%,66.67%,92.86%,77.78%,90.00%,2023-01-11,/nfl/stat/extra-point-conversion-pct
30,31,Washington,85.71%,83.33%,66.67%,80.00%,92.31%,86.21%,2023-01-11,/nfl/stat/extra-point-conversion-pct
31,32,Chicago,84.38%,100.00%,100.00%,75.00%,100.00%,96.43%,2023-01-11,/nfl/stat/extra-point-conversion-pct
