,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,4.0,4.0,3.0,4.5,3.0,1.6,2022-09-27,/nfl/stat/extra-points-made-per-game
1,1,Baltimore,4.0,4.0,4.0,5.0,3.5,1.9,2022-09-27,/nfl/stat/extra-points-made-per-game
2,3,Miami,3.7,3.7,3.0,2.5,6.0,2.0,2022-09-27,/nfl/stat/extra-points-made-per-game
3,3,Buffalo,3.7,3.7,2.0,5.0,3.0,3.2,2022-09-27,/nfl/stat/extra-points-made-per-game
4,3,Philadelphia,3.7,3.7,3.0,3.0,4.0,2.5,2022-09-27,/nfl/stat/extra-points-made-per-game
5,6,Kansas City,2.7,2.7,0.0,3.0,2.5,3.1,2022-09-27,/nfl/stat/extra-points-made-per-game
6,7,Atlanta,2.3,2.3,3.0,2.0,2.5,1.8,2022-09-27,/nfl/stat/extra-points-made-per-game
7,7,Jacksonville,2.3,2.3,3.0,3.0,2.0,1.1,2022-09-27,/nfl/stat/extra-points-made-per-game
8,7,Cleveland,2.3,2.3,2.0,2.5,2.0,2.2,2022-09-27,/nfl/stat/extra-points-made-per-game
9,7,LA Chargers,2.3,2.3,1.0,2.0,3.0,2.4,2022-09-27,/nfl/stat/extra-points-made-per-game
10,7,LA Rams,2.3,2.3,2.0,2.5,2.0,2.8,2022-09-27,/nfl/stat/extra-points-made-per-game
11,7,Minnesota,2.3,2.3,4.0,3.0,1.0,2.1,2022-09-27,/nfl/stat/extra-points-made-per-game
12,13,Tennessee,2.0,2.0,3.0,2.5,1.0,2.4,2022-09-27,/nfl/stat/extra-points-made-per-game
13,13,Green Bay,2.0,2.0,2.0,3.0,1.5,2.8,2022-09-27,/nfl/stat/extra-points-made-per-game
14,15,San Francisco,1.7,1.7,1.0,3.0,1.0,2.4,2022-09-27,/nfl/stat/extra-points-made-per-game
15,15,New England,1.7,1.7,2.0,2.0,1.5,2.4,2022-09-27,/nfl/stat/extra-points-made-per-game
16,15,Carolina,1.7,1.7,1.0,2.0,1.0,1.5,2022-09-27,/nfl/stat/extra-points-made-per-game
17,15,Seattle,1.7,1.7,2.0,2.0,1.0,2.6,2022-09-27,/nfl/stat/extra-points-made-per-game
18,19,Dallas,1.3,1.3,2.0,1.0,2.0,2.7,2022-09-27,/nfl/stat/extra-points-made-per-game
19,19,Pittsburgh,1.3,1.3,2.0,0.0,2.0,1.7,2022-09-27,/nfl/stat/extra-points-made-per-game
20,19,New Orleans,1.3,1.3,2.0,1.0,1.5,1.8,2022-09-27,/nfl/stat/extra-points-made-per-game
21,19,Las Vegas,1.3,1.3,1.0,2.0,1.0,1.7,2022-09-27,/nfl/stat/extra-points-made-per-game
22,19,Chicago,1.3,1.3,2.0,1.5,1.0,1.6,2022-09-27,/nfl/stat/extra-points-made-per-game
23,19,NY Jets,1.3,1.3,0.0,0.0,4.0,1.4,2022-09-27,/nfl/stat/extra-points-made-per-game
24,19,Houston,1.3,1.3,2.0,2.0,1.0,1.5,2022-09-27,/nfl/stat/extra-points-made-per-game
25,19,Indianapolis,1.3,1.3,2.0,2.0,1.0,2.7,2022-09-27,/nfl/stat/extra-points-made-per-game
26,27,Washington,1.0,1.0,0.0,1.0,1.0,1.5,2022-09-27,/nfl/stat/extra-points-made-per-game
27,27,Tampa Bay,1.0,1.0,0.0,0.0,1.5,3.3,2022-09-27,/nfl/stat/extra-points-made-per-game
28,27,NY Giants,1.0,1.0,1.0,1.0,1.0,1.0,2022-09-27,/nfl/stat/extra-points-made-per-game
29,27,Cincinnati,1.0,1.0,3.0,0.0,1.5,2.5,2022-09-27,/nfl/stat/extra-points-made-per-game
30,31,Arizona,0.7,0.7,0.0,0.5,1.0,2.6,2022-09-27,/nfl/stat/extra-points-made-per-game
31,31,Denver,0.7,0.7,0.0,0.5,1.0,1.9,2022-09-27,/nfl/stat/extra-points-made-per-game
