,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,96.30%,100.00%,100.00%,100.00%,94.12%,87.50%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
1,2,Seattle,96.00%,100.00%,100.00%,100.00%,91.67%,73.91%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
2,3,Chicago,95.65%,80.00%,100.00%,100.00%,93.75%,89.66%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
3,4,San Francisco,95.24%,100.00%,0,93.75%,100.00%,86.84%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
4,5,Las Vegas,93.33%,87.50%,100.00%,100.00%,90.00%,93.62%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
5,5,Baltimore,93.33%,88.89%,100.00%,100.00%,88.24%,94.59%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
6,7,Philadelphia,92.86%,100.00%,100.00%,100.00%,87.50%,93.75%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
7,8,Carolina,92.59%,100.00%,100.00%,93.75%,90.91%,92.86%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
8,8,LA Chargers,92.59%,85.71%,100.00%,91.67%,93.33%,88.89%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
9,10,Houston,92.31%,100.00%,100.00%,88.89%,94.12%,80.77%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
10,11,NY Giants,91.67%,80.00%,0,86.67%,100.00%,87.88%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
11,12,LA Rams,90.48%,83.33%,50.00%,81.82%,100.00%,90.91%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
12,13,Tampa Bay,88.89%,66.67%,0.00%,100.00%,80.00%,80.00%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
13,14,Green Bay,88.24%,100.00%,100.00%,87.50%,88.89%,78.79%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
14,15,Dallas,87.50%,66.67%,100.00%,90.91%,84.62%,83.33%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
15,16,Washington,86.96%,87.50%,66.67%,87.50%,86.67%,93.33%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
16,16,Cleveland,86.96%,80.00%,100.00%,70.00%,100.00%,76.19%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
17,18,Minnesota,86.36%,100.00%,100.00%,72.73%,100.00%,86.84%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
18,19,NY Jets,85.71%,87.50%,100.00%,76.92%,93.33%,77.78%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
19,19,Miami,85.71%,100.00%,100.00%,91.67%,77.78%,82.14%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
20,19,Arizona,85.71%,66.67%,66.67%,76.92%,100.00%,81.58%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
21,22,Atlanta,85.19%,87.50%,100.00%,94.12%,70.00%,93.10%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
22,23,New England,84.38%,87.50%,100.00%,81.25%,87.50%,92.50%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
23,24,Jacksonville,84.00%,100.00%,100.00%,88.89%,81.25%,77.78%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
24,25,Tennessee,83.33%,80.00%,0,84.62%,80.00%,81.82%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
25,26,Indianapolis,82.76%,85.71%,100.00%,85.71%,80.00%,85.29%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
26,27,Cincinnati,82.61%,100.00%,100.00%,77.78%,85.71%,89.58%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
27,28,Denver,82.14%,66.67%,0,84.62%,80.00%,86.67%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
28,29,Pittsburgh,81.25%,100.00%,0,84.62%,78.95%,90.00%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
29,30,Detroit,80.95%,77.78%,66.67%,85.71%,71.43%,86.67%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
30,31,New Orleans,80.00%,83.33%,100.00%,91.67%,69.23%,83.33%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
31,32,Kansas City,77.78%,87.50%,100.00%,78.57%,76.92%,86.49%,2022-12-14,/nfl/stat/field-goal-conversion-pct-net-of-blocks
