,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Pittsburgh,2.2,3.3,4.0,2.2,2.1,2.0,2022-12-07,/nfl/stat/field-goals-made-per-game
1,2,Las Vegas,2.1,2.3,2.0,2.0,2.1,2.4,2022-12-07,/nfl/stat/field-goals-made-per-game
2,2,New England,2.1,2.0,1.0,2.2,2.0,2.1,2022-12-07,/nfl/stat/field-goals-made-per-game
3,2,Baltimore,2.1,2.3,1.0,2.2,2.0,2.1,2022-12-07,/nfl/stat/field-goals-made-per-game
4,5,Tampa Bay,2.0,0.7,1.0,2.0,2.0,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
5,5,Buffalo,2.0,3.0,1.0,2.0,2.0,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
6,7,NY Jets,1.9,2.3,5.0,1.7,2.2,1.2,2022-12-07,/nfl/stat/field-goals-made-per-game
7,7,Denver,1.9,2.3,3.0,2.2,1.7,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
8,7,Seattle,1.9,1.7,2.0,2.4,1.6,1.0,2022-12-07,/nfl/stat/field-goals-made-per-game
9,10,Indianapolis,1.8,2.0,2.0,2.0,1.7,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
10,11,Carolina,1.8,2.7,3.0,2.1,1.4,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
11,11,LA Chargers,1.8,1.7,2.0,1.6,2.0,1.4,2022-12-07,/nfl/stat/field-goals-made-per-game
12,11,NY Giants,1.8,1.3,2.0,1.9,1.8,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
13,14,Atlanta,1.8,2.3,3.0,2.3,1.2,1.6,2022-12-07,/nfl/stat/field-goals-made-per-game
14,15,Houston,1.8,1.3,2.0,1.3,2.2,1.2,2022-12-07,/nfl/stat/field-goals-made-per-game
15,16,Chicago,1.7,1.3,2.0,1.2,2.1,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
16,17,San Francisco,1.7,2.3,4.0,2.5,0.8,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
17,18,Dallas,1.6,1.3,0.0,1.1,2.2,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
18,18,Cleveland,1.6,1.3,2.0,1.2,2.0,0.9,2022-12-07,/nfl/stat/field-goals-made-per-game
19,18,Kansas City,1.6,2.7,1.0,1.8,1.3,1.6,2022-12-07,/nfl/stat/field-goals-made-per-game
20,21,Washington,1.5,2.3,2.0,1.2,1.9,1.6,2022-12-07,/nfl/stat/field-goals-made-per-game
21,21,New Orleans,1.5,1.7,3.0,1.8,1.3,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
22,23,Jacksonville,1.5,1.7,2.0,1.6,1.4,1.2,2022-12-07,/nfl/stat/field-goals-made-per-game
23,23,LA Rams,1.5,2.0,3.0,1.1,2.0,1.9,2022-12-07,/nfl/stat/field-goals-made-per-game
24,23,Cincinnati,1.5,2.3,2.0,1.2,1.7,2.0,2022-12-07,/nfl/stat/field-goals-made-per-game
25,23,Minnesota,1.5,1.7,2.0,1.1,2.0,1.9,2022-12-07,/nfl/stat/field-goals-made-per-game
26,27,Miami,1.4,2.0,1.0,1.8,1.0,1.4,2022-12-07,/nfl/stat/field-goals-made-per-game
27,28,Arizona,1.3,1.3,1.0,1.3,1.3,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
28,29,Detroit,1.3,2.0,4.0,1.4,1.0,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
29,29,Tennessee,1.3,1.3,1.0,2.2,0.6,1.5,2022-12-07,/nfl/stat/field-goals-made-per-game
30,31,Green Bay,1.2,1.7,2.0,1.4,1.0,1.4,2022-12-07,/nfl/stat/field-goals-made-per-game
31,32,Philadelphia,0.9,1.0,0.0,0.9,1.0,1.7,2022-12-07,/nfl/stat/field-goals-made-per-game
