,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,0.378,0.378,0.333,0.278,0.421,0.373,2022-09-27,/nfl/stat/first-downs-per-play
1,2,Atlanta,0.37,0.37,0.444,0.366,0.373,0.304,2022-09-27,/nfl/stat/first-downs-per-play
2,3,Minnesota,0.369,0.369,0.448,0.383,0.339,0.307,2022-09-27,/nfl/stat/first-downs-per-play
3,4,Buffalo,0.362,0.362,0.344,0.354,0.365,0.357,2022-09-27,/nfl/stat/first-downs-per-play
4,5,Miami,0.359,0.359,0.385,0.337,0.391,0.296,2022-09-27,/nfl/stat/first-downs-per-play
5,6,Cleveland,0.352,0.352,0.31,0.375,0.311,0.324,2022-09-27,/nfl/stat/first-downs-per-play
6,7,Philadelphia,0.351,0.351,0.309,0.368,0.343,0.322,2022-09-27,/nfl/stat/first-downs-per-play
7,8,Jacksonville,0.343,0.343,0.333,0.313,0.358,0.296,2022-09-27,/nfl/stat/first-downs-per-play
8,9,Las Vegas,0.341,0.341,0.369,0.328,0.347,0.323,2022-09-27,/nfl/stat/first-downs-per-play
9,10,Seattle,0.339,0.339,0.333,0.356,0.298,0.317,2022-09-27,/nfl/stat/first-downs-per-play
10,11,LA Rams,0.331,0.331,0.326,0.333,0.326,0.33,2022-09-27,/nfl/stat/first-downs-per-play
11,12,Baltimore,0.331,0.331,0.322,0.426,0.286,0.332,2022-09-27,/nfl/stat/first-downs-per-play
12,13,Green Bay,0.324,0.324,0.23,0.394,0.287,0.345,2022-09-27,/nfl/stat/first-downs-per-play
13,14,Cincinnati,0.313,0.313,0.303,0.34,0.293,0.314,2022-09-27,/nfl/stat/first-downs-per-play
14,15,New England,0.311,0.311,0.349,0.349,0.292,0.343,2022-09-27,/nfl/stat/first-downs-per-play
15,16,Arizona,0.311,0.311,0.284,0.285,0.359,0.323,2022-09-27,/nfl/stat/first-downs-per-play
16,17,Detroit,0.31,0.31,0.303,0.315,0.303,0.312,2022-09-27,/nfl/stat/first-downs-per-play
17,18,Washington,0.31,0.31,0.27,0.319,0.292,0.322,2022-09-27,/nfl/stat/first-downs-per-play
18,19,NY Giants,0.303,0.303,0.328,0.292,0.328,0.285,2022-09-27,/nfl/stat/first-downs-per-play
19,20,Tennessee,0.298,0.298,0.345,0.33,0.226,0.319,2022-09-27,/nfl/stat/first-downs-per-play
20,21,Indianapolis,0.295,0.295,0.275,0.275,0.304,0.337,2022-09-27,/nfl/stat/first-downs-per-play
21,22,New Orleans,0.294,0.294,0.297,0.273,0.306,0.292,2022-09-27,/nfl/stat/first-downs-per-play
22,23,Dallas,0.293,0.293,0.377,0.252,0.377,0.335,2022-09-27,/nfl/stat/first-downs-per-play
23,24,San Francisco,0.291,0.291,0.25,0.357,0.252,0.339,2022-09-27,/nfl/stat/first-downs-per-play
24,25,NY Jets,0.284,0.284,0.25,0.277,0.299,0.299,2022-09-27,/nfl/stat/first-downs-per-play
25,26,Houston,0.283,0.283,0.298,0.294,0.276,0.263,2022-09-27,/nfl/stat/first-downs-per-play
26,27,Pittsburgh,0.282,0.282,0.364,0.276,0.284,0.29,2022-09-27,/nfl/stat/first-downs-per-play
27,28,LA Chargers,0.279,0.279,0.276,0.276,0.284,0.355,2022-09-27,/nfl/stat/first-downs-per-play
28,29,Carolina,0.276,0.276,0.203,0.248,0.333,0.291,2022-09-27,/nfl/stat/first-downs-per-play
29,30,Denver,0.271,0.271,0.2,0.252,0.313,0.319,2022-09-27,/nfl/stat/first-downs-per-play
30,31,Chicago,0.27,0.27,0.274,0.271,0.268,0.31,2022-09-27,/nfl/stat/first-downs-per-play
31,32,Tampa Bay,0.269,0.269,0.322,0.322,0.244,0.349,2022-09-27,/nfl/stat/first-downs-per-play
