,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Arizona,3.0,3.0,3.0,3.0,3.0,1.0,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
1,2,NY Jets,2.0,2.0,1.0,3.0,1.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
2,2,LA Chargers,2.0,2.0,4.0,0.0,4.0,1.3,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
3,4,Dallas,1.5,1.5,1.0,1.5,0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
4,4,Miami,1.5,1.5,2.0,1.0,2.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
5,6,Jacksonville,1.0,1.0,2.0,2.0,0.0,1.1,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
6,6,San Francisco,1.0,1.0,2.0,2.0,0.0,0.5,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
7,6,Buffalo,1.0,1.0,2.0,2.0,0.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
8,6,NY Giants,1.0,1.0,1.0,1.0,1.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
9,6,LA Rams,1.0,1.0,0.0,1.0,0,0.5,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
10,6,Cincinnati,1.0,1.0,1.0,1.0,1.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
11,6,Philadelphia,1.0,1.0,0.0,0.0,2.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
12,13,Atlanta,0.5,0.5,1.0,0.0,1.0,0.6,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
13,13,Washington,0.5,0.5,1.0,0.0,1.0,0.9,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
14,13,Las Vegas,0.5,0.5,0.0,0.0,1.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
15,13,Detroit,0.5,0.5,0.0,0.5,0,1.2,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
16,13,Tennessee,0.5,0.5,1.0,0.0,1.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
17,13,Cleveland,0.5,0.5,0.0,0.0,1.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
18,13,Houston,0.5,0.5,1.0,0.0,1.0,0.5,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
19,13,Kansas City,0.5,0.5,0.0,0.0,1.0,0.6,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
20,13,Denver,0.5,0.5,1.0,1.0,0.0,0.9,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
21,13,Carolina,0.5,0.5,1.0,0.0,1.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
22,13,Baltimore,0.5,0.5,1.0,1.0,0.0,1.1,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
23,13,Minnesota,0.5,0.5,0.0,1.0,0.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
24,25,Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
25,25,New Orleans,0.0,0.0,0.0,0.0,0.0,0.6,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
26,25,Chicago,0.0,0.0,0.0,0.0,0.0,0.9,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
27,25,Tampa Bay,0.0,0.0,0.0,0,0.0,0.6,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
28,25,New England,0.0,0.0,0.0,0,0.0,0.8,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
29,25,Green Bay,0.0,0.0,0.0,0.0,0.0,0.7,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
30,25,Seattle,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
31,25,Indianapolis,0.0,0.0,0.0,0,0.0,1.1,2022-09-20,/nfl/stat/fourth-down-conversions-per-game
