,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,65.52%,66.67%,60.00%,45.45%,77.78%,55.81%,2022-12-14,/nfl/stat/fumble-recovery-pct
1,2,Dallas,63.33%,71.43%,66.67%,55.56%,75.00%,64.29%,2022-12-14,/nfl/stat/fumble-recovery-pct
2,3,Las Vegas,60.00%,57.14%,100.00%,54.55%,64.29%,55.77%,2022-12-14,/nfl/stat/fumble-recovery-pct
3,3,Baltimore,60.00%,62.50%,100.00%,63.64%,57.89%,55.88%,2022-12-14,/nfl/stat/fumble-recovery-pct
4,5,Arizona,58.54%,33.33%,33.33%,50.00%,68.42%,69.49%,2022-12-14,/nfl/stat/fumble-recovery-pct
5,6,Philadelphia,57.58%,75.00%,100.00%,57.89%,57.14%,52.38%,2022-12-14,/nfl/stat/fumble-recovery-pct
6,7,Indianapolis,56.82%,45.45%,0.00%,50.00%,63.64%,51.06%,2022-12-14,/nfl/stat/fumble-recovery-pct
7,8,Green Bay,56.25%,75.00%,100.00%,50.00%,61.11%,53.85%,2022-12-14,/nfl/stat/fumble-recovery-pct
8,9,Chicago,55.56%,66.67%,0.00%,35.71%,64.52%,53.33%,2022-12-14,/nfl/stat/fumble-recovery-pct
9,9,Minnesota,55.56%,0.00%,0.00%,42.86%,69.23%,63.89%,2022-12-14,/nfl/stat/fumble-recovery-pct
10,11,Atlanta,54.17%,0.00%,0.00%,47.06%,71.43%,45.65%,2022-12-14,/nfl/stat/fumble-recovery-pct
11,12,LA Chargers,53.33%,75.00%,50.00%,37.50%,71.43%,39.39%,2022-12-14,/nfl/stat/fumble-recovery-pct
12,13,Kansas City,51.72%,0.00%,0.00%,42.86%,54.55%,53.57%,2022-12-14,/nfl/stat/fumble-recovery-pct
13,14,Carolina,51.61%,71.43%,100.00%,59.09%,33.33%,41.30%,2022-12-14,/nfl/stat/fumble-recovery-pct
14,15,New Orleans,50.00%,60.00%,100.00%,54.55%,47.37%,53.33%,2022-12-14,/nfl/stat/fumble-recovery-pct
15,15,Detroit,50.00%,62.50%,100.00%,53.33%,46.67%,47.06%,2022-12-14,/nfl/stat/fumble-recovery-pct
16,15,New England,50.00%,85.71%,66.67%,52.63%,47.06%,50.00%,2022-12-14,/nfl/stat/fumble-recovery-pct
17,15,Cincinnati,50.00%,50.00%,0,57.14%,46.15%,46.51%,2022-12-14,/nfl/stat/fumble-recovery-pct
18,19,Denver,48.65%,33.33%,100.00%,58.82%,40.00%,37.50%,2022-12-14,/nfl/stat/fumble-recovery-pct
19,20,Pittsburgh,48.00%,33.33%,0.00%,41.67%,53.85%,45.65%,2022-12-14,/nfl/stat/fumble-recovery-pct
20,21,Houston,47.22%,50.00%,33.33%,38.89%,55.56%,44.19%,2022-12-14,/nfl/stat/fumble-recovery-pct
21,22,Jacksonville,46.88%,60.00%,75.00%,40.00%,50.00%,33.33%,2022-12-14,/nfl/stat/fumble-recovery-pct
22,22,San Francisco,46.88%,71.43%,33.33%,64.71%,26.67%,42.37%,2022-12-14,/nfl/stat/fumble-recovery-pct
23,24,Buffalo,45.95%,45.45%,66.67%,46.15%,45.83%,61.22%,2022-12-14,/nfl/stat/fumble-recovery-pct
24,25,NY Giants,44.74%,37.50%,0.00%,41.67%,50.00%,50.00%,2022-12-14,/nfl/stat/fumble-recovery-pct
25,26,Miami,42.31%,25.00%,50.00%,50.00%,25.00%,59.18%,2022-12-14,/nfl/stat/fumble-recovery-pct
26,26,LA Rams,42.31%,75.00%,0.00%,38.89%,50.00%,36.84%,2022-12-14,/nfl/stat/fumble-recovery-pct
27,28,Seattle,39.47%,0.00%,0.00%,47.37%,31.58%,50.00%,2022-12-14,/nfl/stat/fumble-recovery-pct
28,29,NY Jets,38.71%,42.86%,33.33%,38.89%,38.46%,35.00%,2022-12-14,/nfl/stat/fumble-recovery-pct
29,29,Cleveland,38.71%,60.00%,0,50.00%,33.33%,40.91%,2022-12-14,/nfl/stat/fumble-recovery-pct
30,31,Tennessee,33.33%,33.33%,25.00%,38.89%,25.00%,43.48%,2022-12-14,/nfl/stat/fumble-recovery-pct
31,31,Tampa Bay,33.33%,33.33%,66.67%,13.33%,58.33%,50.00%,2022-12-14,/nfl/stat/fumble-recovery-pct
