,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,0.9,0.3,0.0,0.7,1.3,1.4,2023-01-04,/nfl/stat/giveaways-per-game
1,2,NY Giants,1.0,1.0,1.0,1.1,0.9,1.8,2023-01-04,/nfl/stat/giveaways-per-game
2,3,San Francisco,1.1,0.7,1.0,0.9,1.3,1.4,2023-01-04,/nfl/stat/giveaways-per-game
3,3,LA Chargers,1.1,1.3,0.0,1.1,1.0,1.3,2023-01-04,/nfl/stat/giveaways-per-game
4,3,Baltimore,1.1,1.0,1.0,1.0,1.1,1.5,2023-01-04,/nfl/stat/giveaways-per-game
5,6,Pittsburgh,1.1,0.3,0.0,1.4,0.9,1.2,2023-01-04,/nfl/stat/giveaways-per-game
6,6,Philadelphia,1.1,2.7,1.0,1.0,1.3,1.1,2023-01-04,/nfl/stat/giveaways-per-game
7,8,Cincinnati,1.1,1.7,3.0,1.0,1.2,1.1,2023-01-04,/nfl/stat/giveaways-per-game
8,9,Las Vegas,1.2,2.0,2.0,0.9,1.4,1.4,2023-01-04,/nfl/stat/giveaways-per-game
9,9,Cleveland,1.2,0.3,0.0,1.3,1.1,1.3,2023-01-04,/nfl/stat/giveaways-per-game
10,9,Carolina,1.2,1.0,3.0,0.7,1.9,1.7,2023-01-04,/nfl/stat/giveaways-per-game
11,12,Atlanta,1.3,1.0,1.0,1.4,1.1,1.5,2023-01-04,/nfl/stat/giveaways-per-game
12,12,New England,1.3,0.7,0.0,1.4,1.1,1.4,2023-01-04,/nfl/stat/giveaways-per-game
13,12,Green Bay,1.3,1.0,0.0,1.1,1.3,0.8,2023-01-04,/nfl/stat/giveaways-per-game
14,15,Dallas,1.3,2.0,3.0,1.2,1.4,1.2,2023-01-04,/nfl/stat/giveaways-per-game
15,15,Jacksonville,1.3,2.0,2.0,1.3,1.3,1.7,2023-01-04,/nfl/stat/giveaways-per-game
16,15,Miami,1.3,2.0,2.0,1.1,1.4,1.5,2023-01-04,/nfl/stat/giveaways-per-game
17,15,Tennessee,1.3,2.0,2.0,1.6,1.0,1.6,2023-01-04,/nfl/stat/giveaways-per-game
18,15,Tampa Bay,1.3,2.3,1.0,1.5,1.1,1.1,2023-01-04,/nfl/stat/giveaways-per-game
19,15,Arizona,1.3,2.0,0.0,1.1,1.5,0.9,2023-01-04,/nfl/stat/giveaways-per-game
20,15,Seattle,1.3,0.7,0.0,1.1,1.5,0.8,2023-01-04,/nfl/stat/giveaways-per-game
21,15,Minnesota,1.3,2.3,4.0,0.9,1.9,0.8,2023-01-04,/nfl/stat/giveaways-per-game
22,23,Washington,1.4,2.3,3.0,1.6,1.1,1.4,2023-01-04,/nfl/stat/giveaways-per-game
23,23,Denver,1.4,2.7,2.0,1.1,1.6,1.1,2023-01-04,/nfl/stat/giveaways-per-game
24,23,LA Rams,1.4,0.7,1.0,1.7,1.0,1.4,2023-01-04,/nfl/stat/giveaways-per-game
25,26,Chicago,1.4,1.7,2.0,1.5,1.4,1.7,2023-01-04,/nfl/stat/giveaways-per-game
26,26,NY Jets,1.4,2.0,3.0,1.6,1.3,1.6,2023-01-04,/nfl/stat/giveaways-per-game
27,26,Kansas City,1.4,1.3,2.0,1.3,1.6,1.5,2023-01-04,/nfl/stat/giveaways-per-game
28,29,New Orleans,1.5,1.0,1.0,1.3,1.7,1.1,2023-01-04,/nfl/stat/giveaways-per-game
29,30,Houston,1.6,1.0,1.0,1.8,1.4,1.3,2023-01-04,/nfl/stat/giveaways-per-game
30,31,Buffalo,1.6,1.3,3.0,1.5,1.7,1.2,2023-01-04,/nfl/stat/giveaways-per-game
31,32,Indianapolis,1.9,1.7,1.0,1.7,2.1,1.1,2023-01-04,/nfl/stat/giveaways-per-game
