,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,53.1,50.3,55.3,53.2,53.0,44.1,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
1,2,Kansas City,50.4,47.0,49.0,49.5,51.9,46.1,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
2,3,Jacksonville,49.3,44.1,51.0,53.3,46.7,47.0,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
3,4,Las Vegas,48.9,45.7,61.0,50.7,47.1,50.0,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
4,5,Tampa Bay,48.8,48.3,50.6,50.5,47.5,43.3,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
5,6,Detroit,48.6,49.5,47.0,50.5,47.0,49.2,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
6,7,Cleveland,48.5,45.7,48.5,47.4,49.5,43.0,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
7,8,Seattle,48.5,45.7,46.6,47.7,49.8,46.9,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
8,9,Carolina,48.5,46.4,46.8,48.5,48.4,43.6,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
9,10,Dallas,48.4,46.9,47.8,49.2,47.7,48.7,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
10,11,LA Rams,48.4,46.2,47.7,48.9,48.0,44.2,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
11,12,Houston,48.1,44.3,42.5,47.9,48.2,46.7,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
12,13,Buffalo,47.7,45.5,41.7,46.7,49.0,42.9,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
13,14,Minnesota,47.4,46.4,35.0,47.4,47.3,46.5,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
14,15,Arizona,47.1,46.4,51.3,47.0,47.3,48.8,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
15,16,NY Jets,46.9,44.0,48.2,46.6,47.0,46.8,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
16,17,NY Giants,46.8,44.0,44.0,46.3,47.4,44.4,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
17,18,Washington,46.7,46.2,45.6,46.6,46.8,48.1,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
18,19,Denver,46.6,49.6,47.6,45.6,47.5,46.0,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
19,20,New Orleans,46.4,43.2,44.8,45.8,46.8,47.7,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
20,21,Miami,46.4,46.2,45.3,46.5,46.2,44.7,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
21,22,Chicago,46.0,44.9,37.0,44.1,48.0,46.2,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
22,23,Baltimore,45.9,43.1,45.7,44.7,47.3,44.4,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
23,24,Atlanta,45.9,46.0,51.3,48.1,43.5,46.1,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
24,25,Cincinnati,45.4,48.0,51.7,45.5,45.3,45.6,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
25,26,Indianapolis,44.8,45.6,58.5,49.1,42.5,44.5,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
26,27,Philadelphia,44.6,39.8,33.5,44.0,45.3,43.7,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
27,28,Pittsburgh,44.5,47.9,48.0,44.4,44.6,44.0,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
28,29,Green Bay,44.5,41.0,37.0,45.0,44.0,46.6,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
29,30,San Francisco,43.9,43.4,43.6,41.2,46.5,44.6,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
30,31,LA Chargers,43.6,45.6,55.8,44.3,43.1,45.2,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
31,32,New England,42.3,40.7,40.3,42.3,42.2,47.3,2023-01-11,/nfl/stat/gross-yards-per-successful-punt
