,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,1.7,1.7,2.0,1.5,1.8,1.1,2022-10-25,/nfl/stat/interceptions-per-game
1,2,Philadelphia,1.5,1.7,3.0,2.3,0.7,0.7,2022-10-25,/nfl/stat/interceptions-per-game
2,3,Pittsburgh,1.1,0.3,0.0,1.0,1.3,0.8,2022-10-25,/nfl/stat/interceptions-per-game
3,3,Chicago,1.1,1.3,3.0,1.0,1.3,0.5,2022-10-25,/nfl/stat/interceptions-per-game
4,3,NY Jets,1.1,0.7,1.0,0.7,1.5,0.4,2022-10-25,/nfl/stat/interceptions-per-game
5,3,Baltimore,1.1,0.3,0.0,1.0,1.3,0.5,2022-10-25,/nfl/stat/interceptions-per-game
6,7,Dallas,1.0,1.0,2.0,1.3,0.7,1.5,2022-10-25,/nfl/stat/interceptions-per-game
7,7,Jacksonville,1.0,0.0,0.0,1.0,1.0,0.4,2022-10-25,/nfl/stat/interceptions-per-game
8,7,Tennessee,1.0,1.3,2.0,1.3,0.7,0.9,2022-10-25,/nfl/stat/interceptions-per-game
9,7,Houston,1.0,0.7,0.0,0.5,1.3,1.0,2022-10-25,/nfl/stat/interceptions-per-game
10,7,New England,1.0,1.3,1.0,1.0,1.0,1.3,2022-10-25,/nfl/stat/interceptions-per-game
11,7,LA Chargers,1.0,0.7,1.0,1.0,1.0,0.6,2022-10-25,/nfl/stat/interceptions-per-game
12,13,Atlanta,0.9,0.7,0.0,1.0,0.8,0.7,2022-10-25,/nfl/stat/interceptions-per-game
13,13,San Francisco,0.9,0.7,1.0,1.3,0.5,0.6,2022-10-25,/nfl/stat/interceptions-per-game
14,13,Tampa Bay,0.9,0.0,0.0,0.7,1.0,1.0,2022-10-25,/nfl/stat/interceptions-per-game
15,16,LA Rams,0.8,0.3,1.0,1.3,0.0,1.1,2022-10-25,/nfl/stat/interceptions-per-game
16,16,Minnesota,0.8,0.7,2.0,0.7,1.0,0.9,2022-10-25,/nfl/stat/interceptions-per-game
17,18,Arizona,0.7,1.0,3.0,0.8,0.7,0.7,2022-10-25,/nfl/stat/interceptions-per-game
18,18,Cincinnati,0.7,0.3,0.0,0.7,0.8,1.0,2022-10-25,/nfl/stat/interceptions-per-game
19,18,Seattle,0.7,1.0,1.0,0.7,0.8,0.6,2022-10-25,/nfl/stat/interceptions-per-game
20,21,Miami,0.6,1.0,3.0,1.0,0.0,0.8,2022-10-25,/nfl/stat/interceptions-per-game
21,21,Denver,0.6,1.0,0.0,0.8,0.3,0.8,2022-10-25,/nfl/stat/interceptions-per-game
22,21,Carolina,0.6,0.3,0.0,0.6,0.5,0.5,2022-10-25,/nfl/stat/interceptions-per-game
23,24,Las Vegas,0.5,0.3,1.0,0.7,0.3,0.3,2022-10-25,/nfl/stat/interceptions-per-game
24,25,Kansas City,0.4,0.7,2.0,0.3,0.5,0.8,2022-10-25,/nfl/stat/interceptions-per-game
25,25,Indianapolis,0.4,0.7,0.0,0.3,0.5,1.1,2022-10-25,/nfl/stat/interceptions-per-game
26,27,Detroit,0.3,0.3,0.0,0.3,0.3,0.6,2022-10-25,/nfl/stat/interceptions-per-game
27,28,Washington,0.3,0.3,0.0,0.3,0.3,0.6,2022-10-25,/nfl/stat/interceptions-per-game
28,28,Cleveland,0.3,0.0,0.0,0.0,0.7,0.8,2022-10-25,/nfl/stat/interceptions-per-game
29,28,Green Bay,0.3,0.3,1.0,0.3,0.3,1.1,2022-10-25,/nfl/stat/interceptions-per-game
30,31,New Orleans,0.1,0.0,0.0,0.0,0.3,1.1,2022-10-25,/nfl/stat/interceptions-per-game
31,31,NY Giants,0.1,0.3,0.0,0.3,0.0,0.9,2022-10-25,/nfl/stat/interceptions-per-game
