,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,100.0%,100.0%,100.0%,100.0%,100.0%,92.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
1,2,Denver,99.3%,100.0%,100.0%,98.6%,100.0%,97.9%,2023-02-09,/nfl/stat/offensive-point-share-pct
2,3,Baltimore,98.1%,100.0%,100.0%,95.4%,100.0%,96.4%,2023-02-09,/nfl/stat/offensive-point-share-pct
3,4,Tampa Bay,97.9%,100.0%,100.0%,100.0%,95.1%,97.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
4,5,New Orleans,97.9%,84.1%,100.0%,100.0%,95.7%,96.3%,2023-02-09,/nfl/stat/offensive-point-share-pct
5,6,LA Chargers,97.9%,100.0%,100.0%,98.9%,97.1%,97.1%,2023-02-09,/nfl/stat/offensive-point-share-pct
6,7,LA Rams,97.7%,90.9%,100.0%,96.4%,100.0%,97.5%,2023-02-09,/nfl/stat/offensive-point-share-pct
7,8,Pittsburgh,97.7%,100.0%,100.0%,100.0%,95.3%,96.2%,2023-02-09,/nfl/stat/offensive-point-share-pct
8,9,Philadelphia,97.4%,100.0%,100.0%,100.0%,94.0%,92.3%,2023-02-09,/nfl/stat/offensive-point-share-pct
9,10,Cincinnati,97.2%,90.1%,100.0%,93.8%,100.0%,97.5%,2023-02-09,/nfl/stat/offensive-point-share-pct
10,11,Kansas City,97.1%,100.0%,100.0%,97.2%,97.0%,95.3%,2023-02-09,/nfl/stat/offensive-point-share-pct
11,12,Minnesota,96.9%,100.0%,100.0%,97.4%,96.2%,93.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
12,13,Seattle,96.8%,100.0%,100.0%,100.0%,94.0%,97.7%,2023-02-09,/nfl/stat/offensive-point-share-pct
13,14,NY Giants,96.5%,100.0%,100.0%,96.6%,96.5%,96.5%,2023-02-09,/nfl/stat/offensive-point-share-pct
14,15,Detroit,96.5%,100.0%,100.0%,99.3%,91.0%,100.0%,2023-02-09,/nfl/stat/offensive-point-share-pct
15,16,NY Jets,96.3%,100.0%,100.0%,98.7%,93.9%,95.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
16,17,Dallas,96.0%,100.0%,100.0%,94.9%,97.2%,88.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
17,18,San Francisco,95.9%,100.0%,100.0%,95.5%,96.6%,95.7%,2023-02-09,/nfl/stat/offensive-point-share-pct
18,19,Tennessee,95.3%,100.0%,100.0%,90.3%,100.0%,93.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
19,20,Buffalo,95.0%,82.3%,100.0%,92.1%,98.3%,98.8%,2023-02-09,/nfl/stat/offensive-point-share-pct
20,21,Las Vegas,94.8%,100.0%,100.0%,90.5%,100.0%,99.5%,2023-02-09,/nfl/stat/offensive-point-share-pct
21,22,Houston,94.5%,74.1%,77.4%,98.4%,91.7%,94.3%,2023-02-09,/nfl/stat/offensive-point-share-pct
22,23,Jacksonville,93.9%,90.1%,100.0%,92.7%,94.7%,91.9%,2023-02-09,/nfl/stat/offensive-point-share-pct
23,24,Green Bay,93.8%,83.1%,100.0%,92.7%,94.9%,97.0%,2023-02-09,/nfl/stat/offensive-point-share-pct
24,25,Washington,93.0%,87.9%,74.1%,94.5%,91.5%,93.9%,2023-02-09,/nfl/stat/offensive-point-share-pct
25,26,Indianapolis,92.8%,84.1%,77.4%,95.5%,89.9%,94.9%,2023-02-09,/nfl/stat/offensive-point-share-pct
26,27,Cleveland,92.3%,100.0%,100.0%,96.2%,88.5%,96.0%,2023-02-09,/nfl/stat/offensive-point-share-pct
27,28,Carolina,92.0%,90.1%,30.0%,93.1%,90.5%,97.0%,2023-02-09,/nfl/stat/offensive-point-share-pct
28,29,Atlanta,91.8%,100.0%,100.0%,90.6%,93.6%,94.9%,2023-02-09,/nfl/stat/offensive-point-share-pct
29,30,Miami,91.4%,85.5%,76.7%,90.9%,91.8%,87.7%,2023-02-09,/nfl/stat/offensive-point-share-pct
30,31,Arizona,89.8%,100.0%,100.0%,87.3%,92.1%,97.0%,2023-02-09,/nfl/stat/offensive-point-share-pct
31,32,New England,84.8%,79.7%,100.0%,78.3%,89.9%,95.6%,2023-02-09,/nfl/stat/offensive-point-share-pct
