,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,1.9,1.0,0.0,2.4,1.0,5.6,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
1,2,Tennessee,2.0,1.0,3.0,1.0,2.6,3.4,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
2,3,Carolina,2.2,2.3,7.0,1.4,3.3,2.5,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
3,4,Jacksonville,2.3,4.7,7.0,3.5,1.4,7.0,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
4,5,Cleveland,2.4,2.0,0.0,1.2,4.3,3.8,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
5,6,Minnesota,2.5,1.0,0.0,3.3,1.8,3.1,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
6,7,Baltimore,2.6,6.7,0.0,3.3,2.0,3.2,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
7,8,New England,2.9,4.3,0.0,4.3,1.8,5.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
8,9,Las Vegas,3.0,2.3,0.0,2.3,3.4,5.3,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
9,9,Detroit,3.0,2.3,0.0,4.2,1.0,5.0,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
10,11,LA Rams,3.6,2.0,3.0,3.8,3.3,2.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
11,12,Green Bay,3.7,3.3,0.0,3.3,3.8,4.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
12,13,Kansas City,3.8,3.3,0.0,2.5,5.0,3.8,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
13,14,San Francisco,3.9,9.3,7.0,3.3,4.2,3.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
14,15,Tampa Bay,4.1,1.0,0.0,4.8,3.3,4.2,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
15,16,Seattle,4.2,2.3,7.0,4.0,4.4,3.6,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
16,17,Denver,4.3,4.7,7.0,4.3,4.3,4.2,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
17,17,Buffalo,4.3,1.0,3.0,3.3,4.8,2.3,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
18,17,NY Giants,4.3,2.7,0.0,2.3,6.3,3.4,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
19,20,Washington,4.3,4.7,7.0,4.8,3.8,5.8,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
20,21,Philadelphia,4.4,4.7,7.0,5.3,3.5,6.3,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
21,22,NY Jets,4.4,5.3,7.0,5.4,3.3,5.8,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
22,22,Indianapolis,4.4,1.0,0.0,6.8,2.6,4.1,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
23,24,Houston,4.5,3.3,7.0,4.3,4.8,4.2,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
24,25,Atlanta,4.6,5.7,0.0,2.0,7.8,4.9,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
25,26,Miami,4.8,5.7,3.0,1.8,7.2,3.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
26,26,Cincinnati,4.8,0.0,0.0,3.3,6.0,4.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
27,28,New Orleans,4.9,3.3,7.0,4.8,5.0,4.5,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
28,29,Chicago,5.0,7.0,7.0,3.5,6.2,4.6,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
29,30,Pittsburgh,6.1,7.7,7.0,3.0,8.0,3.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
30,31,Arizona,6.4,5.7,3.0,8.2,4.3,3.7,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
31,32,LA Chargers,6.8,12.3,10.0,7.5,6.0,4.4,2022-11-09,/nfl/stat/opp-1st-quarter-points-per-game
