,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,0.0,0.0,0.0,0.0,0.0,6.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
1,1,Tampa Bay,0.0,0.0,0.0,0,0.0,6.8,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
2,3,Houston,1.5,1.5,3.0,0.0,3.0,8.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
3,4,Dallas,3.0,3.0,0.0,3.0,0,5.7,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
4,4,LA Rams,3.0,3.0,3.0,3.0,0,6.7,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
5,6,Jacksonville,3.5,3.5,0.0,0.0,7.0,7.6,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
6,6,LA Chargers,3.5,3.5,7.0,0.0,7.0,6.8,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
7,8,Washington,5.0,5.0,10.0,0.0,10.0,8.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
8,8,Pittsburgh,5.0,5.0,7.0,7.0,3.0,8.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
9,8,Tennessee,5.0,5.0,10.0,0.0,10.0,6.4,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
10,8,Buffalo,5.0,5.0,0.0,0.0,10.0,6.6,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
11,8,Green Bay,5.0,5.0,0.0,0.0,10.0,6.7,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
12,8,Cincinnati,5.0,5.0,3.0,7.0,3.0,7.8,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
13,8,Baltimore,5.0,5.0,7.0,7.0,3.0,7.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
14,15,NY Giants,6.0,6.0,6.0,6.0,6.0,9.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
15,16,New Orleans,6.5,6.5,0.0,0.0,13.0,5.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
16,16,Denver,6.5,6.5,3.0,3.0,10.0,5.5,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
17,18,Atlanta,7.0,7.0,14.0,0.0,14.0,7.9,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
18,18,Las Vegas,7.0,7.0,0.0,0.0,14.0,7.6,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
19,18,NY Jets,7.0,7.0,7.0,7.0,7.0,10.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
20,18,Kansas City,7.0,7.0,7.0,7.0,7.0,7.8,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
21,18,Philadelphia,7.0,7.0,7.0,7.0,7.0,6.3,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
22,23,New England,8.5,8.5,3.0,0,8.5,5.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
23,23,Carolina,8.5,8.5,0.0,17.0,0.0,7.6,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
24,23,Minnesota,8.5,8.5,17.0,0.0,17.0,8.6,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
25,26,Indianapolis,10.0,10.0,10.0,0,10.0,4.9,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
26,27,Miami,10.5,10.5,21.0,0.0,21.0,6.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
27,27,Cleveland,10.5,10.5,14.0,14.0,7.0,6.0,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
28,29,Arizona,11.0,11.0,13.0,9.0,13.0,8.2,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
29,30,Detroit,12.0,12.0,0.0,12.0,0,9.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
30,30,Seattle,12.0,12.0,14.0,10.0,14.0,5.9,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
31,32,Chicago,14.0,14.0,21.0,7.0,21.0,6.1,2022-09-20,/nfl/stat/opp-2nd-quarter-points-per-game
