,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,2.4,3.3,7.0,2.3,2.5,6.0,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
1,2,Cincinnati,2.8,3.3,7.0,1.0,3.8,6.4,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
2,2,Indianapolis,2.8,7.3,10.0,4.0,1.5,8.6,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
3,4,Dallas,2.9,4.0,6.0,2.8,3.0,5.8,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
4,4,NY Jets,2.9,1.0,3.0,0.8,5.0,8.8,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
5,6,Chicago,3.8,5.3,7.0,3.0,4.2,7.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
6,7,Tennessee,3.9,3.3,7.0,6.7,1.8,5.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
7,8,Denver,4.0,5.3,7.0,3.0,5.0,5.1,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
8,9,Las Vegas,4.1,2.0,0.0,7.7,1.5,9.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
9,10,Minnesota,4.3,6.3,3.0,1.5,8.0,7.0,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
10,11,NY Giants,4.5,7.0,14.0,5.0,4.0,7.1,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
11,12,San Francisco,4.6,5.3,0.0,5.3,4.2,6.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
12,13,Green Bay,5.4,4.3,0.0,5.7,5.2,7.1,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
13,14,Washington,5.5,5.7,10.0,4.3,6.8,7.2,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
14,14,New England,5.5,7.7,7.0,4.3,6.2,4.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
15,16,Arizona,5.8,10.0,6.0,6.8,4.8,5.1,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
16,17,Atlanta,6.0,7.0,21.0,11.3,0.8,8.5,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
17,18,Tampa Bay,6.1,8.0,10.0,7.0,5.3,5.0,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
18,19,Philadelphia,6.1,4.7,0.0,3.5,9.7,6.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
19,20,Seattle,6.5,4.0,3.0,1.5,11.5,6.6,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
20,21,Pittsburgh,6.6,4.3,7.0,6.7,6.6,6.4,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
21,21,Miami,6.6,4.7,0.0,4.0,9.3,8.2,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
22,23,LA Chargers,7.0,4.3,10.0,6.5,7.7,10.2,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
23,24,Detroit,7.6,5.7,0.0,5.5,10.3,6.8,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
24,25,Jacksonville,7.8,10.7,7.0,5.7,9.0,5.5,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
25,26,Kansas City,8.3,7.7,7.0,7.7,8.8,6.9,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
26,27,Houston,8.7,8.0,3.0,9.0,8.5,8.2,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
27,27,LA Rams,8.7,5.7,14.0,9.6,6.5,5.8,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
28,29,New Orleans,8.8,5.3,0.0,9.8,7.8,5.1,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
29,30,Carolina,9.8,7.7,13.0,10.4,8.7,6.7,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
30,31,Cleveland,10.4,10.0,13.0,10.0,11.0,7.6,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
31,31,Baltimore,10.4,11.0,12.0,11.3,9.5,7.5,2022-11-02,/nfl/stat/opp-4th-quarter-points-per-game
