,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,20.3,19.2,15.5,35.1,15.9,15.8,2022-11-09,/nfl/stat/opp-yards-per-point
1,2,Dallas,18.9,15.6,12.8,19.5,17.8,16.6,2022-11-09,/nfl/stat/opp-yards-per-point
2,3,Tennessee,18.4,23.8,25.0,20.4,17.4,16.0,2022-11-09,/nfl/stat/opp-yards-per-point
3,4,Minnesota,18.3,18.6,15.5,17.7,18.8,15.3,2022-11-09,/nfl/stat/opp-yards-per-point
4,5,Philadelphia,17.7,19.6,17.8,19.0,16.8,14.3,2022-11-09,/nfl/stat/opp-yards-per-point
5,6,New England,17.6,16.9,40.3,16.7,18.4,16.5,2022-11-09,/nfl/stat/opp-yards-per-point
6,7,NY Giants,17.6,17.7,10.3,19.4,16.2,14.5,2022-11-09,/nfl/stat/opp-yards-per-point
7,8,Denver,17.5,16.6,17.9,22.7,14.6,17.2,2022-11-09,/nfl/stat/opp-yards-per-point
8,9,Houston,17.4,13.3,12.4,16.5,18.5,14.5,2022-11-09,/nfl/stat/opp-yards-per-point
9,10,Jacksonville,17.4,17.0,16.1,21.8,15.3,13.1,2022-11-09,/nfl/stat/opp-yards-per-point
10,11,Tampa Bay,17.2,16.4,15.8,15.0,21.6,16.1,2022-11-09,/nfl/stat/opp-yards-per-point
11,12,Atlanta,16.3,15.2,16.8,16.9,15.6,13.5,2022-11-09,/nfl/stat/opp-yards-per-point
12,13,Baltimore,16.1,16.9,18.7,14.7,17.6,15.8,2022-11-09,/nfl/stat/opp-yards-per-point
13,14,Pittsburgh,16.0,15.6,11.5,17.4,15.5,15.0,2022-11-09,/nfl/stat/opp-yards-per-point
14,15,NY Jets,16.0,19.4,18.6,14.1,18.9,13.4,2022-11-09,/nfl/stat/opp-yards-per-point
15,16,Cincinnati,15.8,12.6,10.9,14.3,16.8,16.1,2022-11-09,/nfl/stat/opp-yards-per-point
16,17,San Francisco,15.6,12.1,15.9,16.7,14.8,15.1,2022-11-09,/nfl/stat/opp-yards-per-point
17,18,Washington,15.5,15.0,15.1,14.4,16.9,14.1,2022-11-09,/nfl/stat/opp-yards-per-point
18,19,Indianapolis,15.1,13.2,7.8,15.3,14.9,16.0,2022-11-09,/nfl/stat/opp-yards-per-point
19,20,Seattle,14.9,14.3,12.5,20.9,12.4,17.6,2022-11-09,/nfl/stat/opp-yards-per-point
20,21,Kansas City,14.9,17.4,13.5,15.4,14.3,16.3,2022-11-09,/nfl/stat/opp-yards-per-point
21,22,Green Bay,14.8,15.2,16.9,12.7,15.8,15.1,2022-11-09,/nfl/stat/opp-yards-per-point
22,23,Las Vegas,14.8,16.5,14.9,15.5,14.4,13.0,2022-11-09,/nfl/stat/opp-yards-per-point
23,24,Carolina,14.6,14.5,11.0,17.3,12.3,12.9,2022-11-09,/nfl/stat/opp-yards-per-point
24,25,Miami,14.6,16.0,11.5,22.4,11.8,15.4,2022-11-09,/nfl/stat/opp-yards-per-point
25,26,Chicago,14.5,11.0,10.8,16.3,13.5,13.2,2022-11-09,/nfl/stat/opp-yards-per-point
26,27,LA Rams,14.4,15.7,20.2,12.3,19.5,15.6,2022-11-09,/nfl/stat/opp-yards-per-point
27,28,Detroit,14.3,18.7,43.2,14.8,13.2,13.8,2022-11-09,/nfl/stat/opp-yards-per-point
28,29,Arizona,13.8,13.1,13.6,14.1,13.3,14.9,2022-11-09,/nfl/stat/opp-yards-per-point
29,30,LA Chargers,13.7,14.0,18.5,12.7,14.8,13.3,2022-11-09,/nfl/stat/opp-yards-per-point
30,31,Cleveland,13.3,11.9,17.6,14.0,12.1,14.3,2022-11-09,/nfl/stat/opp-yards-per-point
31,32,New Orleans,12.7,12.0,11.8,13.8,11.7,16.1,2022-11-09,/nfl/stat/opp-yards-per-point
