,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,7.7,10.3,3.0,9.7,6.3,8.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
1,2,Denver,7.9,12.0,20.0,6.1,9.5,9.2,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
2,3,San Francisco,8.2,10.0,13.0,8.4,8.0,10.7,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
3,3,NY Jets,8.2,9.7,6.0,7.4,9.1,13.9,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
4,3,New England,8.2,4.3,0.0,6.6,9.6,8.4,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
5,6,Dallas,8.4,14.7,14.0,7.3,10.0,9.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
6,7,Atlanta,8.6,4.3,3.0,10.0,7.4,14.2,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
7,8,Cincinnati,8.7,10.3,18.0,8.0,9.1,9.0,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
8,9,Pittsburgh,9.1,4.0,0.0,7.6,10.5,12.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
9,10,Jacksonville,9.4,7.0,0.0,8.0,10.3,12.3,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
10,11,Green Bay,9.7,3.0,0.0,12.3,7.9,9.9,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
11,12,Philadelphia,9.7,17.3,23.0,7.0,12.1,10.4,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
12,13,Washington,10.4,14.3,30.0,7.9,12.6,11.6,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
13,13,Miami,10.4,10.0,13.0,9.1,11.5,11.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
14,13,Kansas City,10.4,10.3,7.0,9.1,11.5,10.7,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
15,16,New Orleans,10.5,9.7,0.0,11.9,9.4,9.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
16,16,Seattle,10.5,8.0,7.0,7.4,13.3,11.6,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
17,18,Houston,11.0,9.3,7.0,11.9,10.3,14.4,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
18,19,Tennessee,11.1,11.7,9.0,11.1,11.0,10.7,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
19,19,Tampa Bay,11.1,16.0,10.0,13.6,8.9,9.9,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
20,21,Baltimore,11.1,6.7,6.0,11.0,11.3,12.2,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
21,22,Las Vegas,11.7,15.0,10.0,13.3,10.6,12.6,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
22,22,LA Chargers,11.7,5.7,0.0,12.6,10.9,15.1,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
23,24,LA Rams,11.7,8.3,8.0,11.8,11.7,11.8,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
24,25,Chicago,11.8,20.7,29.0,14.4,8.9,13.2,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
25,25,NY Giants,11.8,16.7,17.0,12.3,11.3,12.1,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
26,27,Minnesota,11.9,13.3,17.0,12.0,11.8,13.0,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
27,27,Indianapolis,11.9,26.3,10.0,8.3,15.1,12.0,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
28,29,Carolina,12.7,12.0,16.0,12.7,12.8,13.2,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
29,30,Cleveland,12.9,8.0,14.0,11.9,14.1,12.0,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
30,31,Arizona,13.9,16.0,10.0,14.1,13.6,10.3,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
31,32,Detroit,14.9,12.0,13.0,15.4,14.3,13.4,2022-12-28,/nfl/stat/opponent-2nd-half-points-per-game
