,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Miami,16.3,18.0,22.0,17.4,15.3,22.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
1,2,Buffalo,18.7,15.3,15.0,14.2,21.7,21.4,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
2,3,New England,18.8,20.0,19.0,14.9,22.6,19.6,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
3,4,Seattle,19.1,25.7,28.0,19.3,19.0,20.7,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
4,5,NY Giants,19.3,19.3,14.0,19.9,18.6,22.4,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
5,6,Kansas City,19.8,20.7,15.0,20.1,19.5,22.7,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
6,7,LA Rams,20.1,19.0,22.0,21.7,18.0,22.5,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
7,8,Jacksonville,20.1,22.0,14.0,20.2,20.1,21.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
8,9,Arizona,20.7,29.0,36.0,17.0,24.4,21.6,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
9,10,Philadelphia,20.8,15.3,12.0,22.6,19.0,21.0,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
10,11,Minnesota,20.9,29.0,24.0,21.3,20.4,20.1,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
11,12,LA Chargers,21.1,25.3,17.0,18.6,23.5,21.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
12,12,Baltimore,21.1,21.3,29.0,22.0,20.1,20.5,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
13,14,Detroit,21.1,21.7,28.0,22.6,19.3,21.0,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
14,15,Houston,21.3,21.3,26.0,19.3,23.4,22.1,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
15,16,NY Jets,21.5,17.7,17.0,23.5,19.5,17.1,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
16,17,Chicago,21.6,16.3,17.0,18.3,24.9,21.0,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
17,18,Tennessee,21.8,21.3,25.0,21.5,22.0,19.9,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
18,19,Atlanta,21.8,26.3,21.0,20.0,23.6,23.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
19,20,Las Vegas,22.3,26.7,35.0,22.6,22.0,23.9,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
20,21,Dallas,22.6,25.0,27.0,20.0,25.9,23.2,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
21,21,New Orleans,22.6,25.0,28.0,26.0,19.9,24.0,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
22,23,Denver,22.8,26.7,23.0,26.7,19.8,25.9,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
23,24,Cincinnati,23.1,24.0,21.0,26.5,20.9,23.7,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
24,25,Carolina,23.4,19.7,12.0,25.4,20.9,22.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
25,26,Green Bay,23.5,20.7,31.0,26.0,21.6,22.5,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
26,27,Tampa Bay,24.3,33.7,31.0,23.8,24.8,23.6,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
27,28,San Francisco,24.4,23.0,22.0,25.8,23.0,26.7,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
28,29,Cleveland,26.2,27.0,26.0,25.9,26.5,21.4,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
29,30,Pittsburgh,26.8,30.7,31.0,26.1,27.2,22.8,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
30,31,Indianapolis,27.4,32.0,31.0,25.9,28.7,22.7,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
31,32,Washington,28.2,29.3,32.0,27.9,28.5,21.1,2023-01-04,/nfl/stat/opponent-assisted-tackles-per-game
