,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,78.9,80.5,124.7,71.9,85.4,85.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
1,2,NY Jets,79.5,87.5,86.6,81.2,77.5,103.2,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
2,3,Philadelphia,81.4,117.0,124.3,69.5,91.7,96.6,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
3,4,San Francisco,82.1,86.0,115.9,80.6,84.2,95.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
4,5,Buffalo,82.6,83.3,74.1,75.6,88.0,70.1,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
5,6,New England,82.8,88.0,99.4,83.6,82.2,78.5,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
6,7,Cincinnati,83.0,90.6,105.6,80.6,84.4,89.9,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
7,8,Houston,84.4,84.6,34.5,96.4,73.7,94.1,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
8,9,Dallas,86.1,96.3,84.9,81.6,92.8,76.2,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
9,10,LA Chargers,86.7,54.9,31.9,92.2,81.7,93.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
10,11,New Orleans,86.9,67.9,47.1,93.0,82.3,81.7,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
11,12,Pittsburgh,87.3,72.5,42.2,76.1,96.9,92.6,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
12,13,Cleveland,89.1,65.6,44.3,92.2,84.8,89.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
13,14,Baltimore,89.5,81.6,85.2,90.7,88.4,99.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
14,15,Green Bay,90.2,72.2,80.8,89.7,90.5,86.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
15,16,Chicago,90.2,73.4,71.3,82.1,100.3,103.3,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
16,17,LA Rams,90.5,57.2,48.1,89.5,91.5,82.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
17,18,Tampa Bay,90.6,89.9,58.3,99.3,83.3,85.9,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
18,19,Carolina,90.8,99.5,110.7,89.3,93.2,95.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
19,20,Jacksonville,91.2,85.9,60.4,84.2,94.8,100.8,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
20,21,Washington,92.1,97.9,114.6,89.8,94.5,100.8,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
21,22,NY Giants,92.5,105.7,107.9,88.4,96.4,89.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
22,23,Seattle,93.2,103.6,106.8,90.8,95.1,93.6,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
23,24,Tennessee,93.5,91.1,79.9,90.2,96.1,86.8,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
24,25,Minnesota,93.7,99.5,92.8,91.5,97.3,91.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
25,26,Indianapolis,95.4,94.9,84.7,97.9,93.6,90.5,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
26,27,Arizona,96.6,79.0,71.6,99.0,93.5,95.6,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
27,28,Miami,96.8,100.6,78.6,83.8,109.9,85.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
28,29,Atlanta,97.0,113.0,94.0,86.0,107.5,97.4,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
29,30,Detroit,97.0,111.4,121.4,98.0,95.6,101.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
30,31,Kansas City,97.5,82.7,74.5,92.5,101.4,94.0,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
31,32,Las Vegas,98.8,76.1,81.6,88.9,105.8,97.1,2022-12-28,/nfl/stat/opponent-average-team-passer-rating
