,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,27:29,26:03,19:36,27:47,27:11,29:16,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
1,2,Baltimore,27:47,23:15,22:13,28:08,27:31,27:47,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
2,3,Cincinnati,27:55,28:06,20:39,24:37,30:33,29:18,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
3,4,NY Giants,27:56,26:18,26:40,28:03,27:47,31:35,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
4,5,Cleveland,28:07,30:11,33:14,27:59,28:17,29:11,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
5,6,San Francisco,28:51,26:26,23:01,26:22,30:50,29:42,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
6,7,Green Bay,28:55,26:14,27:14,27:37,29:47,27:22,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
7,8,New England,29:05,30:11,28:54,31:18,27:18,29:35,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
8,9,Philadelphia,29:10,35:29,40:24,28:49,29:37,30:14,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
9,10,Jacksonville,29:16,27:17,28:21,28:49,29:34,32:38,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
10,11,Kansas City,29:20,29:57,31:39,30:01,28:29,29:09,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
11,12,Pittsburgh,29:23,24:30,21:04,28:40,29:59,30:39,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
12,13,Arizona,29:31,30:39,27:59,31:47,27:15,29:08,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
13,14,LA Rams,29:32,31:04,32:01,29:12,30:12,30:01,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
14,15,Denver,29:40,29:14,26:03,27:45,31:11,29:11,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
15,16,Chicago,29:47,26:39,30:48,29:11,30:23,29:40,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
16,17,Miami,30:05,29:03,26:46,30:32,29:38,29:41,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
17,18,Indianapolis,30:18,30:55,30:59,28:35,31:26,28:05,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
18,19,Buffalo,30:30,31:45,28:44,31:46,29:30,28:35,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
19,20,Atlanta,30:32,30:41,34:12,29:17,31:46,31:50,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
20,21,Las Vegas,30:36,32:05,29:01,28:49,32:02,30:24,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
21,22,Tennessee,30:37,31:33,33:57,30:30,30:43,27:41,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
22,23,NY Jets,30:50,31:44,27:16,30:21,31:27,32:28,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
23,24,New Orleans,30:53,33:57,38:56,28:33,33:12,29:22,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
24,25,Minnesota,30:53,30:52,31:16,29:07,32:18,30:53,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
25,26,LA Chargers,30:58,34:15,36:59,31:18,30:42,30:39,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
26,27,Tampa Bay,30:58,30:04,23:05,33:56,28:00,29:48,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
27,28,Detroit,31:14,32:45,29:12,33:09,28:50,31:09,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
28,29,Houston,31:30,32:07,33:20,31:51,31:14,31:45,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
29,30,Seattle,31:44,31:59,36:55,31:32,31:52,34:42,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
30,31,Dallas,32:26,33:21,32:46,33:22,31:16,29:52,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
31,32,Carolina,33:37,31:49,25:48,32:15,35:40,29:16,2022-11-16,/nfl/stat/opponent-average-time-of-possession-net-of-ot
