,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Green Bay,17.9,16.0,16.0,15.8,19.3,21.7,2022-12-28,/nfl/stat/opponent-completions-per-game
1,2,Chicago,18.3,18.3,15.0,17.5,19.1,18.5,2022-12-28,/nfl/stat/opponent-completions-per-game
2,3,Washington,19.0,20.3,15.0,20.4,17.8,23.5,2022-12-28,/nfl/stat/opponent-completions-per-game
3,4,Cleveland,19.1,14.3,8.0,21.5,16.3,21.6,2022-12-28,/nfl/stat/opponent-completions-per-game
4,4,LA Chargers,19.1,15.0,17.0,19.0,19.1,21.0,2022-12-28,/nfl/stat/opponent-completions-per-game
5,6,Houston,19.4,24.7,14.0,21.3,17.8,21.4,2022-12-28,/nfl/stat/opponent-completions-per-game
6,7,Pittsburgh,19.9,13.7,16.0,19.0,20.8,21.4,2022-12-28,/nfl/stat/opponent-completions-per-game
7,7,New Orleans,19.9,21.3,15.0,18.0,21.6,21.7,2022-12-28,/nfl/stat/opponent-completions-per-game
8,9,Seattle,20.5,15.7,16.0,19.7,21.1,26.1,2022-12-28,/nfl/stat/opponent-completions-per-game
9,9,Philadelphia,20.5,21.3,27.0,19.0,21.8,24.3,2022-12-28,/nfl/stat/opponent-completions-per-game
10,11,NY Jets,20.6,19.7,20.0,19.8,21.6,23.6,2022-12-28,/nfl/stat/opponent-completions-per-game
11,12,Cincinnati,20.7,25.7,21.0,18.3,22.2,24.6,2022-12-28,/nfl/stat/opponent-completions-per-game
12,13,NY Giants,20.8,24.0,34.0,18.8,23.1,23.6,2022-12-28,/nfl/stat/opponent-completions-per-game
13,14,Dallas,20.9,23.7,24.0,21.3,20.3,21.1,2022-12-28,/nfl/stat/opponent-completions-per-game
14,15,New England,21.4,29.3,40.0,19.4,23.1,18.9,2022-12-28,/nfl/stat/opponent-completions-per-game
15,16,Tampa Bay,21.5,23.0,25.0,21.7,21.3,26.1,2022-12-28,/nfl/stat/opponent-completions-per-game
16,16,Indianapolis,21.5,26.0,24.0,20.3,22.5,22.9,2022-12-28,/nfl/stat/opponent-completions-per-game
17,18,Atlanta,21.7,12.7,9.0,21.7,21.8,23.0,2022-12-28,/nfl/stat/opponent-completions-per-game
18,19,Detroit,21.9,21.3,15.0,24.6,18.9,21.1,2022-12-28,/nfl/stat/opponent-completions-per-game
19,20,LA Rams,22.1,17.3,19.0,19.1,26.7,24.0,2022-12-28,/nfl/stat/opponent-completions-per-game
20,21,Denver,22.2,24.0,24.0,21.4,22.9,20.1,2022-12-28,/nfl/stat/opponent-completions-per-game
21,22,Carolina,22.3,21.0,25.0,21.8,23.0,19.8,2022-12-28,/nfl/stat/opponent-completions-per-game
22,23,Buffalo,22.4,21.0,18.0,23.3,21.8,18.6,2022-12-28,/nfl/stat/opponent-completions-per-game
23,24,Jacksonville,22.7,22.3,19.0,18.5,25.4,22.2,2022-12-28,/nfl/stat/opponent-completions-per-game
24,25,San Francisco,23.1,30.0,25.0,24.6,21.3,22.4,2022-12-28,/nfl/stat/opponent-completions-per-game
25,26,Baltimore,23.6,20.7,22.0,23.0,24.1,23.4,2022-12-28,/nfl/stat/opponent-completions-per-game
26,27,Las Vegas,23.9,20.3,26.0,23.0,24.6,23.6,2022-12-28,/nfl/stat/opponent-completions-per-game
27,28,Kansas City,24.0,22.0,25.0,21.7,26.0,24.0,2022-12-28,/nfl/stat/opponent-completions-per-game
28,29,Miami,25.2,29.3,24.0,26.7,23.9,21.9,2022-12-28,/nfl/stat/opponent-completions-per-game
29,29,Minnesota,25.2,25.3,30.0,25.7,24.5,23.6,2022-12-28,/nfl/stat/opponent-completions-per-game
30,31,Arizona,25.3,25.7,32.0,27.9,22.4,21.2,2022-12-28,/nfl/stat/opponent-completions-per-game
31,32,Tennessee,26.0,26.0,20.0,24.3,27.5,23.5,2022-12-28,/nfl/stat/opponent-completions-per-game
