,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.0,0.0,0.0,0.0,0.0,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
1,1,Atlanta,0.0,0.0,0.0,0.0,0.0,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
2,1,Chicago,0.0,0.0,0.0,0.0,0.0,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
3,1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
4,1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
5,1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
6,1,Houston,0.0,0.0,0.0,0.0,0.0,0.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
7,1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.7,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
8,1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.7,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
9,1,Buffalo,0.0,0.0,0.0,0.0,0.0,0.1,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
10,1,Carolina,0.0,0.0,0.0,0.0,0.0,0.9,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
11,1,NY Giants,0.0,0.0,0.0,0.0,0.0,1.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
12,1,Baltimore,0.0,0.0,0.0,0.0,0.0,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
13,1,Seattle,0.0,0.0,0.0,0.0,0.0,0.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
14,1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
15,1,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.4,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
16,17,Washington,0.5,0.7,0.0,0.0,1.0,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
17,17,San Francisco,0.5,0.7,0.0,0.0,1.0,0.1,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
18,17,Miami,0.5,0.7,0.0,1.0,0.0,0.5,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
19,20,Pittsburgh,1.8,2.3,0.0,0.0,3.5,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
20,20,Las Vegas,1.8,2.3,0.0,3.5,0.0,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
21,20,Tennessee,1.8,2.3,0.0,0.0,3.5,0.0,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
22,20,Arizona,1.8,2.3,7.0,0.0,3.5,1.0,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
23,20,New England,1.8,0.0,0.0,0.0,2.3,1.6,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
24,20,Denver,1.8,2.3,7.0,0.0,3.5,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
25,20,LA Chargers,1.8,2.3,0.0,0.0,3.5,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
26,20,Green Bay,1.8,2.3,7.0,3.5,0.0,0.0,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
27,20,Cincinnati,1.8,0.0,0.0,3.5,0.0,1.0,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
28,29,LA Rams,2.3,3.0,7.0,1.0,3.5,1.7,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
29,29,Philadelphia,2.3,3.0,7.0,3.5,1.0,0.5,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
30,31,New Orleans,3.5,4.7,0.0,7.0,2.3,1.2,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
31,31,Detroit,3.5,2.3,7.0,4.7,0.0,0.8,2022-10-05,/nfl/stat/opponent-defensive-points-per-game
