,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,1.3,2.0,4.0,0.8,2.0,1.9,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
1,1,Denver,1.3,1.7,2.0,0.5,2.0,1.7,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
2,3,NY Giants,1.6,1.7,1.0,1.2,2.0,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
3,4,Tennessee,1.7,1.0,1.0,1.0,2.2,1.9,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
4,4,New England,1.7,1.7,0.0,2.0,1.4,2.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
5,6,Cincinnati,1.8,2.7,3.0,2.0,1.6,2.2,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
6,7,San Francisco,1.9,3.0,1.0,2.0,1.8,2.2,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
7,7,Buffalo,1.9,2.7,4.0,1.8,2.0,1.7,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
8,9,Tampa Bay,1.9,1.7,1.0,2.4,1.4,2.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
9,9,Indianapolis,1.9,2.0,2.0,2.3,1.7,2.0,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
10,11,Jacksonville,2.0,3.0,4.0,1.3,2.5,2.9,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
11,11,Philadelphia,2.0,1.7,2.0,1.8,2.3,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
12,11,Minnesota,2.0,2.3,3.0,1.8,2.2,2.2,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
13,14,New Orleans,2.1,1.7,2.0,2.2,2.0,1.8,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
14,15,NY Jets,2.1,1.3,2.0,2.2,2.0,3.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
15,15,LA Rams,2.1,2.7,3.0,2.5,1.3,2.0,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
16,17,Green Bay,2.2,2.7,4.0,2.8,1.8,2.3,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
17,18,Baltimore,2.2,1.3,1.0,3.0,1.6,2.5,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
18,19,Washington,2.3,2.0,3.0,2.4,2.2,2.7,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
19,20,Pittsburgh,2.3,2.3,1.0,1.5,3.0,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
20,20,Kansas City,2.3,2.0,2.0,2.4,2.3,2.4,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
21,22,Atlanta,2.4,2.3,2.0,2.0,2.8,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
22,23,Las Vegas,2.4,2.3,1.0,1.8,3.0,2.7,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
23,23,Houston,2.4,2.7,3.0,2.8,2.2,2.8,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
24,25,LA Chargers,2.6,2.7,2.0,2.3,2.8,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
25,26,Seattle,2.6,2.3,3.0,1.5,3.3,2.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
26,27,Miami,2.7,2.7,2.0,1.6,3.8,2.3,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
27,27,Carolina,2.7,4.0,2.0,2.2,3.5,2.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
28,29,Chicago,2.9,5.3,4.0,2.4,3.4,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
29,29,Arizona,2.9,3.7,2.0,3.6,2.2,2.4,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
30,31,Cleveland,3.1,3.0,5.0,3.2,3.0,2.1,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
31,32,Detroit,3.3,2.7,4.0,3.4,3.3,2.6,2022-11-16,/nfl/stat/opponent-extra-point-attempts-per-game
