,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,88.89%,100.00%,100.00%,91.30%,86.36%,95.56%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
1,2,San Francisco,89.19%,85.71%,100.00%,88.89%,89.47%,95.35%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
2,3,Cleveland,89.74%,100.00%,100.00%,95.00%,84.21%,94.29%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
3,4,New Orleans,90.00%,100.00%,100.00%,93.33%,86.67%,96.77%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
4,4,Carolina,90.00%,80.00%,100.00%,84.21%,95.24%,91.43%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
5,4,Green Bay,90.00%,100.00%,100.00%,90.00%,90.00%,95.12%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
6,7,Tampa Bay,90.24%,63.64%,20.00%,82.61%,100.00%,95.00%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
7,8,Cincinnati,91.18%,100.00%,100.00%,93.33%,89.47%,95.65%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
8,9,Atlanta,91.67%,100.00%,100.00%,94.12%,89.47%,86.67%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
9,9,New England,91.67%,90.00%,100.00%,87.50%,95.00%,86.49%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
10,11,Seattle,93.33%,100.00%,100.00%,94.12%,92.86%,86.11%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
11,12,NY Jets,93.55%,100.00%,0,100.00%,87.50%,94.34%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
12,12,Baltimore,93.55%,83.33%,50.00%,100.00%,88.89%,92.86%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
13,14,Pittsburgh,94.12%,100.00%,100.00%,100.00%,90.00%,93.62%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
14,14,Tennessee,94.12%,100.00%,100.00%,100.00%,90.48%,85.71%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
15,16,Washington,94.59%,87.50%,0.00%,94.74%,94.44%,93.48%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
16,17,Jacksonville,94.74%,100.00%,100.00%,100.00%,91.67%,94.00%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
17,17,Philadelphia,94.74%,100.00%,100.00%,94.74%,94.74%,85.11%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
18,19,Indianapolis,95.35%,100.00%,100.00%,94.12%,96.15%,91.18%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
19,20,Miami,95.45%,85.71%,100.00%,90.00%,97.06%,97.44%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
20,20,NY Giants,95.45%,100.00%,100.00%,100.00%,92.00%,95.45%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
21,22,Arizona,96.00%,100.00%,100.00%,95.83%,96.15%,90.70%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
22,23,Chicago,96.15%,83.33%,66.67%,91.30%,100.00%,95.45%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
23,24,Dallas,96.67%,75.00%,100.00%,100.00%,94.12%,91.18%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
24,25,Denver,96.77%,100.00%,100.00%,100.00%,95.45%,96.55%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
25,26,Buffalo,96.97%,100.00%,100.00%,94.12%,100.00%,96.88%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
26,27,Las Vegas,97.56%,100.00%,100.00%,94.44%,100.00%,95.83%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
27,28,LA Chargers,97.67%,100.00%,100.00%,100.00%,96.15%,97.73%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
28,29,Houston,97.78%,100.00%,100.00%,95.45%,100.00%,91.67%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
29,30,Kansas City,100.00%,100.00%,100.00%,100.00%,100.00%,93.62%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
30,30,LA Rams,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
31,30,Minnesota,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2023-02-09,/nfl/stat/opponent-extra-point-conversion-pct
