,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,1.2,2.0,0.0,0.8,1.6,1.7,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
1,1,Denver,1.2,1.7,1.0,0.6,1.8,1.6,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
2,3,Tennessee,1.4,0.3,0.0,1.0,1.7,1.7,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
3,3,New England,1.4,0.7,0.0,1.4,1.4,1.8,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
4,5,San Francisco,1.6,1.3,1.0,2.0,1.3,2.1,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
5,6,NY Giants,1.7,2.7,4.0,1.7,1.8,2.5,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
6,7,Jacksonville,1.8,2.7,3.0,1.3,2.2,2.8,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
7,7,NY Jets,1.8,1.3,1.0,2.2,1.4,2.9,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
8,7,Buffalo,1.8,2.3,2.0,1.5,2.0,1.6,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
9,7,Cincinnati,1.8,3.0,3.0,1.8,1.8,2.1,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
10,11,New Orleans,1.8,2.3,2.0,2.0,1.6,1.8,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
11,11,Indianapolis,1.8,2.0,2.0,2.0,1.7,1.8,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
12,13,Tampa Bay,1.9,1.7,1.0,2.4,1.4,2.0,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
13,13,Baltimore,1.9,0.7,0.0,2.4,1.4,2.3,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
14,13,Philadelphia,1.9,1.7,1.0,1.8,2.0,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
15,16,Washington,2.1,2.0,1.0,2.4,1.8,2.5,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
16,17,Las Vegas,2.2,1.7,1.0,1.5,2.7,2.6,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
17,17,LA Rams,2.2,2.3,3.0,2.5,1.8,2.0,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
18,17,Minnesota,2.2,3.0,4.0,2.2,2.2,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
19,20,Atlanta,2.3,2.0,3.0,2.0,2.6,2.3,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
20,20,Carolina,2.3,2.3,1.0,1.7,3.0,1.9,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
21,20,Green Bay,2.3,2.7,3.0,2.8,1.8,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
22,23,Pittsburgh,2.3,3.3,4.0,2.0,2.6,2.4,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
23,23,Seattle,2.3,2.3,3.0,1.3,3.0,1.8,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
24,25,Houston,2.4,2.7,2.0,2.6,2.2,2.6,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
25,25,Kansas City,2.4,2.3,3.0,2.4,2.4,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
26,27,LA Chargers,2.5,2.0,3.0,2.4,2.6,2.5,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
27,28,Miami,2.6,2.7,2.0,1.4,3.8,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
28,28,Cleveland,2.6,1.7,1.0,3.0,2.2,1.9,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
29,30,Detroit,2.8,1.0,0.0,3.2,2.4,2.5,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
30,31,Chicago,2.9,4.0,3.0,2.4,3.3,2.5,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
31,31,Arizona,2.9,3.7,5.0,3.4,2.5,2.2,2022-11-23,/nfl/stat/opponent-extra-points-made-per-game
