,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Las Vegas,63.64%,57.14%,50.00%,75.00%,57.14%,83.78%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
1,1,Buffalo,63.64%,50.00%,50.00%,40.00%,83.33%,92.59%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
2,3,Philadelphia,66.67%,66.67%,100.00%,75.00%,50.00%,91.67%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
3,4,Minnesota,69.23%,85.71%,100.00%,75.00%,60.00%,87.18%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
4,5,San Francisco,70.00%,0.00%,0,75.00%,66.67%,80.65%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
5,6,Chicago,75.00%,66.67%,0,83.33%,66.67%,90.00%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
6,7,Detroit,76.92%,100.00%,100.00%,80.00%,75.00%,87.80%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
7,8,Cleveland,81.25%,66.67%,0.00%,66.67%,100.00%,100.00%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
8,9,NY Jets,82.35%,87.50%,100.00%,81.82%,83.33%,92.31%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
9,9,LA Chargers,82.35%,75.00%,100.00%,100.00%,50.00%,91.43%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
10,11,Atlanta,85.71%,66.67%,66.67%,75.00%,100.00%,96.30%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
11,11,LA Rams,85.71%,100.00%,100.00%,87.50%,83.33%,87.80%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
12,13,NY Giants,86.36%,83.33%,100.00%,85.71%,87.50%,89.47%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
13,14,Pittsburgh,86.67%,100.00%,0,85.71%,87.50%,89.47%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
14,15,Houston,87.50%,80.00%,50.00%,71.43%,100.00%,87.50%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
15,16,Tampa Bay,88.89%,100.00%,100.00%,80.00%,100.00%,85.71%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
16,16,Green Bay,88.89%,77.78%,100.00%,80.00%,92.31%,91.30%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
17,18,Dallas,89.47%,100.00%,100.00%,91.67%,85.71%,84.21%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
18,19,Tennessee,90.00%,100.00%,100.00%,100.00%,83.33%,85.37%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
19,20,Seattle,92.31%,100.00%,100.00%,88.89%,100.00%,81.82%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
20,21,Washington,92.86%,100.00%,100.00%,80.00%,100.00%,96.43%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
21,21,Baltimore,92.86%,100.00%,100.00%,100.00%,87.50%,77.78%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
22,21,Indianapolis,92.86%,100.00%,100.00%,75.00%,100.00%,81.48%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
23,24,New England,93.75%,88.89%,50.00%,100.00%,90.91%,66.67%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
24,25,Carolina,94.12%,100.00%,100.00%,88.89%,100.00%,86.49%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
25,26,Cincinnati,95.65%,100.00%,100.00%,87.50%,100.00%,78.95%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
26,27,New Orleans,100.00%,100.00%,0,100.00%,100.00%,83.78%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
27,27,Jacksonville,100.00%,100.00%,0,100.00%,100.00%,88.89%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
28,27,Miami,100.00%,100.00%,100.00%,100.00%,100.00%,83.78%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
29,27,Arizona,100.00%,100.00%,0,100.00%,100.00%,83.33%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
30,27,Kansas City,100.00%,100.00%,100.00%,100.00%,100.00%,88.89%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
31,27,Denver,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,2022-11-02,/nfl/stat/opponent-field-goal-conversion-pct-net-of-blocks
