,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,16.6,17.3,12.0,17.8,15.6,18.9,2022-11-16,/nfl/stat/opponent-first-downs-per-game
1,2,LA Rams,16.9,19.3,18.0,16.3,18.0,19.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
2,3,Tampa Bay,17.4,18.3,19.0,19.2,15.6,20.1,2022-11-16,/nfl/stat/opponent-first-downs-per-game
3,4,New England,17.7,16.3,8.0,17.0,18.2,18.7,2022-11-16,/nfl/stat/opponent-first-downs-per-game
4,5,Washington,17.8,16.7,18.0,18.6,17.0,20.4,2022-11-16,/nfl/stat/opponent-first-downs-per-game
5,6,Denver,18.1,16.0,14.0,14.3,21.2,18.4,2022-11-16,/nfl/stat/opponent-first-downs-per-game
6,7,Cincinnati,18.3,16.7,13.0,14.8,21.2,20.0,2022-11-16,/nfl/stat/opponent-first-downs-per-game
7,8,Indianapolis,18.8,16.3,18.0,21.0,17.3,19.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
8,9,Green Bay,18.9,21.0,24.0,16.5,20.5,19.4,2022-11-16,/nfl/stat/opponent-first-downs-per-game
9,10,Dallas,19.1,20.0,20.0,18.8,19.5,19.3,2022-11-16,/nfl/stat/opponent-first-downs-per-game
10,11,NY Jets,19.4,19.7,19.0,18.0,21.3,23.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
11,12,New Orleans,19.5,21.3,28.0,17.0,22.0,17.9,2022-11-16,/nfl/stat/opponent-first-downs-per-game
12,13,Tennessee,19.8,19.0,18.0,19.5,20.0,19.3,2022-11-16,/nfl/stat/opponent-first-downs-per-game
13,14,Pittsburgh,19.9,15.7,10.0,16.8,22.4,21.1,2022-11-16,/nfl/stat/opponent-first-downs-per-game
14,14,LA Chargers,19.9,21.7,22.0,20.0,19.8,22.5,2022-11-16,/nfl/stat/opponent-first-downs-per-game
15,16,Kansas City,20.0,17.0,17.0,18.2,22.3,21.3,2022-11-16,/nfl/stat/opponent-first-downs-per-game
16,16,Buffalo,20.0,22.0,24.0,20.0,20.0,17.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
17,18,Cleveland,20.1,20.3,29.0,20.2,20.0,19.2,2022-11-16,/nfl/stat/opponent-first-downs-per-game
18,19,Miami,20.3,21.7,20.0,19.6,21.0,19.8,2022-11-16,/nfl/stat/opponent-first-downs-per-game
19,20,Baltimore,20.4,17.0,13.0,21.8,19.4,20.0,2022-11-16,/nfl/stat/opponent-first-downs-per-game
20,21,Chicago,20.6,23.3,25.0,18.8,22.4,18.9,2022-11-16,/nfl/stat/opponent-first-downs-per-game
21,22,Philadelphia,20.7,22.0,25.0,20.0,21.5,21.2,2022-11-16,/nfl/stat/opponent-first-downs-per-game
22,23,Jacksonville,20.7,20.0,26.0,16.8,23.3,20.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
23,24,NY Giants,21.0,22.7,22.0,20.4,21.8,21.5,2022-11-16,/nfl/stat/opponent-first-downs-per-game
24,25,Carolina,21.2,23.7,20.0,20.2,22.8,18.3,2022-11-16,/nfl/stat/opponent-first-downs-per-game
25,26,Las Vegas,21.2,21.3,20.0,20.3,22.0,20.4,2022-11-16,/nfl/stat/opponent-first-downs-per-game
26,27,Seattle,21.3,18.3,26.0,18.3,23.3,23.5,2022-11-16,/nfl/stat/opponent-first-downs-per-game
27,28,Arizona,21.7,23.3,18.0,24.8,18.6,19.6,2022-11-16,/nfl/stat/opponent-first-downs-per-game
28,29,Minnesota,21.9,24.0,29.0,20.8,22.8,23.0,2022-11-16,/nfl/stat/opponent-first-downs-per-game
29,30,Houston,22.0,19.7,19.0,23.8,20.6,22.5,2022-11-16,/nfl/stat/opponent-first-downs-per-game
30,31,Atlanta,22.3,20.0,18.0,20.6,24.0,22.5,2022-11-16,/nfl/stat/opponent-first-downs-per-game
31,32,Detroit,23.7,21.7,19.0,24.2,23.0,21.9,2022-11-16,/nfl/stat/opponent-first-downs-per-game
