,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,0.278,0.278,0.311,0.298,0.259,0.306,2022-12-07,/nfl/stat/opponent-first-downs-per-play
1,2,New England,0.27899999999999997,0.273,0.306,0.257,0.301,0.309,2022-12-07,/nfl/stat/opponent-first-downs-per-play
2,3,Tampa Bay,0.28,0.304,0.25,0.28600000000000003,0.273,0.312,2022-12-07,/nfl/stat/opponent-first-downs-per-play
3,4,Denver,0.29100000000000004,0.301,0.29,0.258,0.312,0.3,2022-12-07,/nfl/stat/opponent-first-downs-per-play
4,5,NY Jets,0.29100000000000004,0.265,0.318,0.27899999999999997,0.302,0.35,2022-12-07,/nfl/stat/opponent-first-downs-per-play
5,6,Dallas,0.295,0.301,0.257,0.292,0.299,0.304,2022-12-07,/nfl/stat/opponent-first-downs-per-play
6,7,Washington,0.29600000000000004,0.282,0.308,0.309,0.285,0.325,2022-12-07,/nfl/stat/opponent-first-downs-per-play
7,8,Cincinnati,0.298,0.292,0.37,0.295,0.3,0.316,2022-12-07,/nfl/stat/opponent-first-downs-per-play
8,9,Philadelphia,0.307,0.268,0.20800000000000002,0.308,0.305,0.332,2022-12-07,/nfl/stat/opponent-first-downs-per-play
9,10,Tennessee,0.308,0.32299999999999995,0.38799999999999996,0.304,0.311,0.316,2022-12-07,/nfl/stat/opponent-first-downs-per-play
10,11,LA Rams,0.308,0.37799999999999995,0.385,0.313,0.303,0.304,2022-12-07,/nfl/stat/opponent-first-downs-per-play
11,12,Indianapolis,0.308,0.326,0.354,0.344,0.28,0.318,2022-12-07,/nfl/stat/opponent-first-downs-per-play
12,13,Carolina,0.31,0.29,0.24600000000000002,0.299,0.325,0.303,2022-12-07,/nfl/stat/opponent-first-downs-per-play
13,14,New Orleans,0.311,0.309,0.33299999999999996,0.29100000000000004,0.326,0.28600000000000003,2022-12-07,/nfl/stat/opponent-first-downs-per-play
14,15,Baltimore,0.312,0.257,0.231,0.318,0.306,0.32899999999999996,2022-12-07,/nfl/stat/opponent-first-downs-per-play
15,16,Pittsburgh,0.313,0.32799999999999996,0.34,0.28600000000000003,0.332,0.322,2022-12-07,/nfl/stat/opponent-first-downs-per-play
16,17,Miami,0.316,0.29100000000000004,0.304,0.292,0.34,0.312,2022-12-07,/nfl/stat/opponent-first-downs-per-play
17,18,Kansas City,0.317,0.32799999999999996,0.39399999999999996,0.284,0.348,0.33899999999999997,2022-12-07,/nfl/stat/opponent-first-downs-per-play
18,19,Houston,0.322,0.295,0.23,0.319,0.325,0.34700000000000003,2022-12-07,/nfl/stat/opponent-first-downs-per-play
19,20,Cleveland,0.322,0.28600000000000003,0.262,0.315,0.33,0.31,2022-12-07,/nfl/stat/opponent-first-downs-per-play
20,21,Seattle,0.322,0.341,0.317,0.303,0.335,0.33299999999999996,2022-12-07,/nfl/stat/opponent-first-downs-per-play
21,22,Green Bay,0.32299999999999995,0.337,0.3,0.295,0.34,0.32,2022-12-07,/nfl/stat/opponent-first-downs-per-play
22,23,Buffalo,0.327,0.33899999999999997,0.275,0.3,0.342,0.292,2022-12-07,/nfl/stat/opponent-first-downs-per-play
23,24,Minnesota,0.32799999999999996,0.303,0.27699999999999997,0.316,0.344,0.33899999999999997,2022-12-07,/nfl/stat/opponent-first-downs-per-play
24,25,LA Chargers,0.33,0.34600000000000003,0.35600000000000004,0.331,0.32899999999999996,0.34700000000000003,2022-12-07,/nfl/stat/opponent-first-downs-per-play
25,26,Las Vegas,0.33,0.317,0.297,0.318,0.33899999999999997,0.315,2022-12-07,/nfl/stat/opponent-first-downs-per-play
26,27,Atlanta,0.33399999999999996,0.325,0.33799999999999997,0.318,0.353,0.344,2022-12-07,/nfl/stat/opponent-first-downs-per-play
27,28,Jacksonville,0.33799999999999997,0.397,0.419,0.304,0.359,0.32899999999999996,2022-12-07,/nfl/stat/opponent-first-downs-per-play
28,29,Chicago,0.345,0.34299999999999997,0.33299999999999996,0.327,0.361,0.318,2022-12-07,/nfl/stat/opponent-first-downs-per-play
29,30,Arizona,0.34600000000000003,0.337,0.344,0.376,0.314,0.324,2022-12-07,/nfl/stat/opponent-first-downs-per-play
30,31,NY Giants,0.348,0.34600000000000003,0.305,0.342,0.35600000000000004,0.321,2022-12-07,/nfl/stat/opponent-first-downs-per-play
31,32,Detroit,0.359,0.33299999999999996,0.255,0.348,0.375,0.341,2022-12-07,/nfl/stat/opponent-first-downs-per-play
