,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,0.4,0.3,0.0,0.6,0.1,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
1,2,Atlanta,0.4,0.0,0.0,0.4,0.4,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
2,3,LA Chargers,0.4,1.0,2.0,0.4,0.5,0.4,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
3,4,New Orleans,0.5,0.3,0.0,0.4,0.6,0.5,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
4,4,Cleveland,0.5,0.7,0.0,0.3,0.7,0.9,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
5,4,Arizona,0.5,0.7,0.0,0.5,0.4,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
6,4,Carolina,0.5,1.3,0.0,0.4,0.5,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
7,8,Jacksonville,0.5,0.7,0.0,0.4,0.6,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
8,9,Denver,0.5,0.7,0.0,0.1,0.9,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
9,10,New England,0.6,1.0,0.0,0.4,0.8,0.9,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
10,11,Seattle,0.6,0.3,0.0,0.4,0.8,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
11,12,NY Giants,0.6,0.3,0.0,0.7,0.6,0.9,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
12,13,Las Vegas,0.6,0.7,0.0,1.0,0.3,1.2,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
13,13,NY Jets,0.6,0.7,1.0,0.6,0.7,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
14,13,Green Bay,0.6,1.3,2.0,0.8,0.6,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
15,16,Dallas,0.7,0.3,0.0,0.9,0.5,0.9,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
16,16,Cincinnati,0.7,1.3,1.0,1.0,0.5,0.4,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
17,18,Washington,0.7,1.0,1.0,0.7,0.8,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
18,19,Minnesota,0.7,0.7,2.0,1.0,0.4,0.9,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
19,20,Pittsburgh,0.8,0.3,1.0,0.6,0.9,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
20,20,Houston,0.8,1.0,2.0,0.8,0.8,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
21,20,LA Rams,0.8,0.7,1.0,0.7,0.9,1.0,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
22,20,Indianapolis,0.8,1.0,2.0,1.0,0.6,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
23,24,San Francisco,0.8,2.0,3.0,0.9,0.7,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
24,25,Miami,0.8,0.0,0.0,1.3,0.5,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
25,25,Baltimore,0.8,0.0,0.0,0.6,1.0,0.6,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
26,27,Philadelphia,0.8,1.0,0.0,1.0,0.6,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
27,28,Detroit,0.9,0.7,1.0,1.0,0.8,0.5,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
28,29,Tampa Bay,0.9,2.0,2.0,0.4,1.3,0.7,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
29,30,Kansas City,1.1,0.3,1.0,1.6,0.6,1.3,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
30,31,Buffalo,1.1,1.0,0.0,0.9,1.3,1.1,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
31,32,Tennessee,1.1,0.0,0.0,0.9,1.3,0.8,2023-02-09,/nfl/stat/opponent-fourth-down-conversions-per-game
