,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.9,0.3,1.0,1.0,0.9,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
1,2,Jacksonville,0.7,0.3,0.0,0.5,0.8,0.1,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
2,2,NY Giants,0.7,0.0,0.0,0.9,0.5,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
3,2,Cincinnati,0.7,0.7,1.0,0.6,0.7,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
4,2,Philadelphia,0.7,1.0,3.0,0.8,0.5,0.2,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
5,6,Baltimore,0.7,0.7,1.0,0.6,0.7,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
6,7,Houston,0.6,0.7,1.0,0.9,0.4,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
7,7,New England,0.6,1.0,2.0,0.5,0.8,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
8,7,Indianapolis,0.6,1.0,1.0,0.8,0.6,0.8,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
9,10,LA Chargers,0.6,1.0,1.0,0.5,0.7,0.6,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
10,10,Seattle,0.6,0.3,0.0,0.8,0.4,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
11,12,Detroit,0.6,0.7,1.0,0.7,0.5,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
12,13,Tampa Bay,0.6,1.0,0.0,0.3,0.8,0.9,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
13,13,Buffalo,0.6,0.0,0.0,0.6,0.6,0.6,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
14,13,Minnesota,0.6,0.0,0.0,0.5,0.6,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
15,16,San Francisco,0.6,0.3,0.0,0.9,0.1,0.6,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
16,17,Washington,0.5,0.3,1.0,0.2,0.9,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
17,17,Chicago,0.5,0.7,1.0,0.4,0.6,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
18,17,Cleveland,0.5,0.3,1.0,0.6,0.4,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
19,17,Arizona,0.5,0.3,0.0,0.3,0.8,0.8,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
20,21,Kansas City,0.5,0.7,0.0,0.3,0.8,0.8,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
21,22,Denver,0.5,1.0,2.0,0.5,0.4,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
22,23,Atlanta,0.4,0.3,1.0,0.6,0.3,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
23,23,New Orleans,0.4,0.0,0.0,0.5,0.3,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
24,23,Las Vegas,0.4,0.0,0.0,0.5,0.3,0.5,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
25,23,Carolina,0.4,1.0,1.0,0.6,0.3,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
26,23,Green Bay,0.4,0.7,0.0,0.3,0.6,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
27,28,Miami,0.4,0.3,1.0,0.6,0.2,0.7,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
28,29,Tennessee,0.4,0.7,1.0,0.4,0.3,0.3,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
29,29,LA Rams,0.4,0.0,0.0,0.4,0.3,0.3,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
30,31,NY Jets,0.2,0.3,0.0,0.4,0.1,0.4,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
31,32,Pittsburgh,0.2,0.0,0.0,0.0,0.3,0.6,2023-02-09,/nfl/stat/opponent-fumbles-lost-per-game
