,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,0.2,1.0,1.0,0.4,0.0,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
1,2,Washington,0.5,0.3,1.0,0.7,0.3,0.6,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
2,2,New Orleans,0.5,0.0,0.0,0.3,0.6,0.5,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
3,2,Kansas City,0.5,0.3,1.0,0.2,0.7,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
4,2,Green Bay,0.5,0.3,0.0,0.4,0.5,0.6,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
5,2,Cincinnati,0.5,0.3,0.0,0.3,0.6,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
6,7,Las Vegas,0.5,0.7,0.0,0.6,0.5,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
7,7,Baltimore,0.5,0.3,0.0,0.5,0.6,0.4,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
8,7,Philadelphia,0.5,0.0,0.0,0.6,0.5,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
9,7,Minnesota,0.5,0.3,0.0,0.7,0.3,0.4,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
10,7,Indianapolis,0.5,0.7,0.0,0.7,0.4,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
11,12,Dallas,0.6,0.3,0.0,0.6,0.6,0.3,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
12,12,Detroit,0.6,0.3,0.0,0.5,0.8,0.5,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
13,12,Jacksonville,0.6,0.7,1.0,0.6,0.6,0.6,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
14,12,LA Chargers,0.6,0.3,1.0,1.2,0.1,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
15,12,LA Rams,0.6,0.0,0.0,0.8,0.4,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
16,17,Pittsburgh,0.7,1.3,2.0,1.0,0.4,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
17,17,San Francisco,0.7,0.3,1.0,0.4,1.0,1.2,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
18,17,Carolina,0.7,0.0,0.0,1.0,0.3,1.1,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
19,20,Miami,0.8,1.3,1.0,1.2,0.4,0.5,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
20,20,Cleveland,0.8,0.3,0.0,0.3,1.1,1.1,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
21,20,Tampa Bay,0.8,0.7,0.0,1.2,0.4,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
22,23,Tennessee,0.8,0.3,0.0,0.8,0.9,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
23,23,New England,0.8,0.3,1.0,1.0,0.7,0.4,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
24,23,Buffalo,0.8,1.7,1.0,0.8,0.9,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
25,26,NY Jets,0.9,0.7,0.0,1.2,0.7,1.1,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
26,26,Arizona,0.9,0.7,1.0,1.1,0.7,0.8,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
27,28,Chicago,1.0,0.7,0.0,1.2,0.9,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
28,28,Houston,1.0,0.7,1.0,1.3,0.7,1.0,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
29,28,Denver,1.0,0.7,0.0,1.2,0.9,0.4,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
30,28,NY Giants,1.0,1.0,0.0,1.1,0.8,0.6,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
31,28,Seattle,1.0,1.0,1.0,1.0,1.0,0.7,2022-12-14,/nfl/stat/opponent-fumbles-not-lost-per-game
