,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,41.18%,33.33%,0,25.00%,46.15%,46.43%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
1,2,Atlanta,41.67%,50.00%,0.00%,37.50%,50.00%,63.64%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
2,3,Dallas,41.94%,75.00%,0.00%,40.00%,43.75%,42.86%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
3,4,Baltimore,42.86%,33.33%,50.00%,44.44%,41.67%,53.85%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
4,5,Indianapolis,45.00%,40.00%,50.00%,50.00%,37.50%,46.15%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
5,6,Jacksonville,45.83%,66.67%,0,55.56%,40.00%,83.33%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
6,7,Washington,47.06%,50.00%,50.00%,75.00%,22.22%,55.56%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
7,8,Detroit,47.37%,33.33%,0.00%,40.00%,55.56%,52.94%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
8,9,Cincinnati,48.00%,50.00%,50.00%,37.50%,52.94%,64.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
9,10,Las Vegas,50.00%,0,0,42.86%,57.14%,57.14%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
10,10,San Francisco,50.00%,0.00%,0,23.08%,88.89%,66.67%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
11,10,Philadelphia,50.00%,25.00%,0.00%,35.71%,66.67%,76.47%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
12,13,LA Chargers,52.17%,40.00%,0.00%,69.23%,30.00%,56.52%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
13,14,Minnesota,52.38%,100.00%,100.00%,64.29%,28.57%,46.67%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
14,15,New England,54.17%,0.00%,0.00%,60.00%,50.00%,50.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
15,15,Seattle,54.17%,0.00%,0,46.15%,63.64%,63.16%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
16,17,Carolina,56.25%,0.00%,0.00%,58.33%,50.00%,73.08%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
17,18,NY Giants,56.67%,100.00%,100.00%,52.94%,61.54%,58.82%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
18,19,Buffalo,58.33%,100.00%,0,54.55%,61.54%,54.17%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
19,20,Tampa Bay,60.00%,57.14%,0,80.00%,30.00%,45.16%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
20,20,LA Rams,60.00%,0,0,60.00%,60.00%,68.18%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
21,22,Arizona,60.87%,0.00%,0,80.00%,46.15%,50.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
22,23,New Orleans,61.11%,100.00%,100.00%,55.56%,66.67%,56.25%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
23,24,Green Bay,63.16%,71.43%,100.00%,75.00%,54.55%,57.89%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
24,25,Houston,63.33%,71.43%,75.00%,58.82%,69.23%,68.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
25,26,Chicago,64.00%,60.00%,50.00%,71.43%,54.55%,60.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
26,27,Denver,65.22%,40.00%,33.33%,66.67%,63.64%,50.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
27,28,Cleveland,65.38%,80.00%,66.67%,58.33%,71.43%,75.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
28,29,Tennessee,68.42%,50.00%,0.00%,70.00%,66.67%,71.43%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
29,30,Miami,70.83%,83.33%,75.00%,66.67%,77.78%,40.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
30,31,Pittsburgh,78.57%,100.00%,100.00%,100.00%,57.14%,60.00%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
31,32,NY Jets,78.95%,75.00%,100.00%,70.00%,88.89%,73.08%,2023-02-09,/nfl/stat/opponent-giveaway-fumble-recovery-pct
