,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,143.9,134.0,253.0,157.2,128.9,146.2,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
1,2,Chicago,146.2,115.3,35.0,151.8,139.9,166.1,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
2,3,Detroit,149.4,158.3,37.0,144.9,154.5,126.7,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
3,4,Minnesota,156.6,107.0,111.0,144.8,170.0,176.5,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
4,5,Las Vegas,156.8,143.0,196.0,153.4,159.9,181.3,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
5,6,Green Bay,163.5,109.7,188.0,201.5,129.7,160.1,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
6,7,Jacksonville,164.0,213.7,166.0,171.4,158.8,169.5,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
7,8,LA Rams,165.3,164.7,233.0,157.3,174.3,179.0,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
8,9,Miami,172.1,166.3,241.0,189.9,156.2,194.6,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
9,10,Seattle,172.1,220.7,286.0,162.2,183.3,183.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
10,11,Cleveland,173.2,162.7,144.0,183.6,164.0,201.5,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
11,12,NY Giants,180.3,151.7,67.0,185.1,174.9,171.3,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
12,13,Buffalo,182.6,175.0,161.0,196.1,172.0,190.7,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
13,14,Pittsburgh,185.2,193.7,194.0,197.3,174.4,200.6,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
14,15,Cincinnati,186.9,142.0,137.0,214.6,165.4,191.1,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
15,16,Baltimore,187.1,191.0,362.0,163.6,207.9,222.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
16,17,New England,187.5,148.0,125.0,195.4,180.4,143.3,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
17,18,LA Chargers,189.6,202.0,238.0,195.5,184.3,123.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
18,19,Kansas City,190.6,205.7,122.0,225.1,159.9,157.3,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
19,20,Dallas,192.5,185.3,319.0,168.2,219.9,183.6,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
20,21,Arizona,198.5,203.3,218.0,177.3,217.3,161.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
21,22,NY Jets,201.6,138.0,181.0,165.5,233.8,145.6,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
22,23,Houston,203.4,211.7,117.0,212.1,195.7,147.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
23,24,Indianapolis,204.6,123.3,170.0,187.3,220.0,161.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
24,25,New Orleans,209.6,248.3,281.0,223.8,197.0,214.4,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
25,25,Philadelphia,209.6,192.3,264.0,199.6,220.9,171.4,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
26,27,Carolina,210.6,219.0,224.0,208.8,212.8,199.8,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
27,28,San Francisco,211.1,142.3,154.0,178.1,248.3,198.3,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
28,29,Tennessee,222.9,182.0,204.0,221.8,223.9,177.2,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
29,30,Washington,243.4,248.3,478.0,262.3,222.0,172.0,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
30,31,Tampa Bay,252.8,242.3,154.0,256.5,249.4,187.9,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
31,32,Denver,257.3,180.7,279.0,292.8,225.8,177.7,2023-01-11,/nfl/stat/opponent-gross-punt-yards-per-game
