,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Miami,42.2,43.9,41.8,42.1,42.5,44.7,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
1,2,Tennessee,43.5,37.7,35.2,44.9,41.7,44.3,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
2,3,New Orleans,43.8,45.1,44.3,42.4,44.9,45.6,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
3,4,Jacksonville,44.8,43.9,40.0,46.2,43.5,45.0,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
4,5,New England,45.0,43.1,40.5,43.1,45.8,46.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
5,6,Baltimore,45.1,46.5,57.7,45.4,44.8,45.6,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
6,7,Pittsburgh,45.3,45.8,42.7,45.1,45.4,45.1,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
7,8,NY Jets,45.4,43.9,40.0,47.0,44.3,41.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
8,9,Seattle,45.9,44.5,45.6,45.2,46.1,45.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
9,10,Houston,46.0,48.6,46.5,45.5,46.3,44.1,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
10,10,LA Rams,46.0,47.5,51.7,49.6,39.8,45.8,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
11,12,Kansas City,46.3,48.2,29.0,45.5,46.9,47.7,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
12,13,Dallas,46.4,46.2,48.0,47.2,45.4,45.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
13,14,Cincinnati,47.0,46.4,47.0,48.2,45.5,44.6,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
14,15,Green Bay,47.1,46.7,48.0,45.9,48.3,46.5,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
15,16,Chicago,47.4,43.8,40.0,47.3,47.5,44.8,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
16,17,Cleveland,47.4,47.8,60.3,43.0,53.1,48.2,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
17,18,Washington,47.8,47.6,41.6,47.8,47.9,46.4,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
18,19,Tampa Bay,47.9,48.4,51.4,48.0,47.9,44.6,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
19,20,San Francisco,48.0,44.7,33.0,51.1,46.8,49.0,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
20,21,Carolina,48.0,45.7,46.5,47.4,49.3,45.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
21,22,Minnesota,48.0,51.1,51.2,47.2,48.6,46.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
22,23,Detroit,48.5,49.1,48.6,46.8,50.0,45.8,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
23,24,Buffalo,48.8,48.8,57.7,49.6,48.2,45.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
24,25,NY Giants,48.9,46.4,53.0,46.8,52.0,43.5,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
25,26,Indianapolis,49.0,49.5,54.7,53.2,47.0,45.8,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
26,27,Arizona,49.5,47.9,47.0,47.7,51.0,46.2,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
27,28,Las Vegas,50.2,49.0,55.0,48.0,52.2,46.6,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
28,29,Denver,50.5,48.6,54.8,51.0,49.2,50.4,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
29,30,Atlanta,50.8,49.8,46.5,52.2,49.0,46.9,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
30,31,Philadelphia,51.0,52.8,59.5,52.5,50.1,44.7,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
31,32,LA Chargers,51.8,48.8,46.0,48.3,55.3,45.7,2022-10-25,/nfl/stat/opponent-gross-yards-per-successful-punt
