,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,4.5,3.0,5.0,5.2,3.8,5.8,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
1,2,Buffalo,5.3,4.7,4.0,4.5,5.6,5.6,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
2,3,Tennessee,5.5,5.3,5.0,5.4,5.6,7.5,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
3,4,Tampa Bay,5.6,6.3,10.0,6.7,4.5,6.7,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
4,5,Philadelphia,5.7,7.7,4.0,6.1,5.0,5.9,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
5,6,Chicago,6.4,8.0,8.0,6.3,6.4,7.2,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
6,7,Miami,6.4,7.7,15.0,3.7,9.2,7.7,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
7,8,Detroit,6.5,4.7,6.0,6.4,6.6,8.9,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
8,9,NY Jets,6.6,5.7,9.0,7.5,5.7,9.3,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
9,10,Washington,6.6,6.3,8.0,6.2,7.0,7.3,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
10,11,Jacksonville,6.7,10.7,16.0,7.8,5.9,8.4,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
11,11,New England,6.7,6.0,6.0,5.7,7.7,5.4,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
12,11,Seattle,6.7,8.0,11.0,7.8,5.9,6.6,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
13,14,Las Vegas,6.8,9.3,8.0,5.8,7.6,7.7,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
14,14,Kansas City,6.8,7.3,9.0,6.2,7.5,5.8,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
15,16,Green Bay,6.9,6.7,7.0,5.2,8.0,5.7,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
16,16,Indianapolis,6.9,7.0,6.0,5.3,8.3,5.7,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
17,18,Dallas,7.0,6.0,7.0,7.4,6.4,7.1,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
18,18,Baltimore,7.0,6.7,9.0,7.0,7.0,6.0,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
19,20,Carolina,7.2,4.7,4.0,5.9,9.0,7.5,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
20,21,Pittsburgh,7.4,9.3,10.0,8.0,7.0,8.1,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
21,22,Arizona,7.6,6.0,5.0,7.7,7.5,6.3,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
22,23,Atlanta,7.8,8.7,13.0,7.4,8.3,6.9,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
23,24,NY Giants,8.2,6.3,8.0,9.4,6.4,8.5,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
24,25,New Orleans,8.2,6.7,5.0,6.5,9.7,7.2,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
25,26,Houston,8.3,10.7,9.0,7.7,8.8,7.5,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
26,27,Cleveland,8.3,10.0,6.0,6.3,10.3,6.5,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
27,28,Denver,8.5,8.3,4.0,9.0,8.1,5.9,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
28,28,LA Rams,8.5,10.7,9.0,7.3,10.2,7.2,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
29,30,LA Chargers,8.6,9.0,9.0,10.8,7.0,8.2,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
30,30,Minnesota,8.6,15.3,16.0,10.1,6.4,8.2,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
31,32,Cincinnati,9.1,9.3,6.0,6.8,10.7,6.4,2022-12-07,/nfl/stat/opponent-kicking-points-per-game
