,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,41.67%,31.25%,25.00%,57.69%,22.73%,61.22%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
1,2,New England,47.50%,38.46%,50.00%,52.94%,43.48%,58.75%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
2,3,Philadelphia,48.57%,42.86%,66.67%,45.00%,53.33%,56.04%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
3,4,Tennessee,52.50%,36.36%,66.67%,56.25%,50.00%,52.22%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
4,5,Buffalo,52.78%,31.25%,0.00%,20.00%,76.19%,50.00%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
5,6,Cleveland,53.85%,64.71%,62.50%,40.74%,68.00%,48.24%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
6,7,Carolina,54.72%,76.47%,66.67%,39.29%,72.00%,64.84%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
7,8,Washington,55.10%,64.29%,75.00%,54.17%,56.00%,57.61%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
8,9,San Francisco,56.76%,50.00%,75.00%,64.71%,50.00%,51.61%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
9,10,Minnesota,56.82%,77.78%,62.50%,47.37%,64.00%,65.59%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
10,11,NY Jets,58.54%,61.54%,25.00%,57.69%,60.00%,53.21%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
11,12,Jacksonville,58.70%,57.14%,60.00%,50.00%,63.33%,61.22%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
12,13,Chicago,58.82%,80.00%,66.67%,62.50%,55.56%,42.22%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
13,14,Seattle,59.18%,50.00%,25.00%,64.71%,56.25%,46.43%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
14,15,LA Rams,59.57%,58.82%,66.67%,65.63%,46.67%,53.47%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
15,16,Green Bay,60.78%,23.08%,0.00%,50.00%,67.74%,53.75%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
16,17,LA Chargers,61.54%,68.42%,66.67%,65.38%,57.69%,55.79%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
17,18,Arizona,61.82%,56.25%,50.00%,64.52%,58.33%,61.63%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
18,19,Las Vegas,64.29%,53.33%,40.00%,50.00%,75.00%,60.00%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
19,19,Tampa Bay,64.29%,64.29%,0.00%,79.17%,44.44%,60.44%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
20,21,New Orleans,64.91%,50.00%,20.00%,60.00%,68.75%,51.28%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
21,22,Miami,66.67%,66.67%,25.00%,35.29%,83.87%,77.38%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
22,23,Detroit,68.52%,60.00%,66.67%,67.74%,69.57%,63.00%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
23,24,NY Giants,68.89%,60.00%,40.00%,76.92%,57.89%,64.52%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
24,25,Cincinnati,69.05%,33.33%,25.00%,70.59%,68.00%,58.25%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
25,26,Dallas,71.43%,71.43%,50.00%,77.27%,65.00%,63.33%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
26,26,Denver,71.43%,66.67%,50.00%,82.35%,64.00%,72.97%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
27,28,Pittsburgh,71.74%,64.29%,66.67%,70.59%,72.41%,55.56%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
28,29,Indianapolis,72.00%,80.00%,75.00%,72.22%,71.88%,51.90%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
29,30,Baltimore,72.09%,64.29%,66.67%,76.19%,68.18%,60.00%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
30,31,Houston,73.91%,78.57%,80.00%,76.19%,72.00%,53.06%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
31,32,Atlanta,75.00%,57.89%,42.86%,80.77%,70.00%,51.55%,2022-11-16,/nfl/stat/opponent-kickoff-touchback-pct
