,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,115.7,123.7,111.0,101.8,138.0,110.5,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
1,2,Atlanta,120.3,113.7,85.0,138.6,99.0,131.5,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
2,3,Jacksonville,132.2,54.3,130.0,149.0,121.6,153.1,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
3,4,Chicago,138.1,113.7,116.0,166.5,113.7,137.9,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
4,5,Las Vegas,139.7,151.0,136.0,129.6,146.0,163.0,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
5,6,Minnesota,141.1,93.3,87.0,114.6,172.0,158.5,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
6,7,Seattle,142.0,110.3,87.0,116.0,164.3,165.4,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
7,8,LA Chargers,152.8,189.0,304.0,147.0,157.9,115.1,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
8,9,New England,154.8,117.7,90.0,174.0,138.3,120.2,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
9,10,LA Rams,155.2,101.0,148.0,145.6,170.6,161.9,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
10,11,Green Bay,157.2,62.0,24.0,202.2,129.1,145.1,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
11,12,Buffalo,160.5,199.7,249.0,176.0,150.9,166.0,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
12,13,Cleveland,160.6,256.0,190.0,172.8,150.1,175.8,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
13,14,Pittsburgh,162.1,130.7,124.0,176.3,149.9,171.6,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
14,15,Miami,162.5,220.3,176.0,199.8,130.6,177.5,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
15,16,Kansas City,164.1,170.3,291.0,194.5,138.0,134.8,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
16,17,Baltimore,166.8,177.7,82.0,169.2,164.9,193.4,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
17,18,Cincinnati,170.2,156.7,206.0,195.8,148.1,167.5,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
18,19,NY Giants,170.3,110.0,35.0,176.9,159.8,153.8,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
19,20,Dallas,171.7,153.3,188.0,163.8,184.4,167.4,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
20,21,Houston,172.6,195.0,121.0,194.5,153.9,135.6,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
21,21,Arizona,172.6,199.3,196.0,150.6,198.3,146.3,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
22,23,New Orleans,178.9,183.7,148.0,202.2,159.0,190.3,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
23,24,Philadelphia,182.7,197.0,212.0,158.3,211.2,153.9,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
24,25,San Francisco,188.3,143.7,114.0,152.1,230.5,172.3,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
25,26,Carolina,188.5,239.3,161.0,190.4,186.3,182.6,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
26,27,NY Jets,195.3,255.0,304.0,157.3,227.9,132.3,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
27,28,Indianapolis,195.5,159.3,174.0,177.0,211.3,148.2,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
28,29,Tennessee,200.5,173.0,129.0,202.0,199.3,155.1,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
29,30,Washington,221.6,228.3,299.0,223.8,219.7,160.6,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
30,31,Tampa Bay,229.2,206.7,113.0,236.7,222.7,170.6,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
31,32,Denver,237.3,232.3,158.0,250.0,226.4,154.8,2022-12-14,/nfl/stat/opponent-net-punt-yards-per-game
