,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New England,37.0,38.3,38.7,36.0,38.2,39.3,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
1,2,Atlanta,38.1,37.9,42.5,40.4,34.9,42.2,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
2,3,Dallas,39.3,41.1,39.7,40.1,38.4,40.2,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
3,4,Detroit,39.8,37.5,39.0,39.1,40.6,40.0,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
4,5,Tennessee,40.0,40.5,34.6,38.7,41.0,38.8,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
5,6,Houston,40.1,38.3,44.8,43.2,36.8,40.4,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
6,7,New Orleans,40.1,36.7,29.6,41.8,38.4,39.9,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
7,8,Carolina,40.2,38.5,46.1,40.4,39.9,41.4,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
8,9,Cleveland,40.4,37.6,35.4,38.4,43.1,42.1,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
9,10,NY Jets,40.6,41.6,42.5,41.0,40.3,38.1,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
10,11,Jacksonville,40.7,35.0,0,41.4,40.1,40.7,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
11,12,Cincinnati,40.9,42.9,45.0,42.1,39.9,39.1,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
12,13,Miami,41.2,43.2,39.3,42.8,38.8,40.2,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
13,14,Pittsburgh,41.3,46.0,45.3,42.5,40.3,37.7,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
14,15,San Francisco,41.7,40.4,43.0,41.3,41.9,42.0,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
15,16,Green Bay,41.7,37.2,24.0,40.4,43.0,42.1,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
16,17,Baltimore,41.7,44.4,40.7,40.6,42.9,39.6,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
17,18,Buffalo,41.8,40.0,41.2,42.1,41.6,39.4,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
18,19,Kansas City,41.9,45.0,40.0,41.7,42.2,40.8,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
19,20,Indianapolis,42.4,39.8,43.5,44.3,41.1,40.6,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
20,21,LA Rams,42.5,47.5,53.0,42.4,42.7,41.5,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
21,22,Minnesota,42.6,41.6,40.5,42.2,43.0,42.1,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
22,23,Chicago,42.7,42.6,38.7,43.4,41.9,37.2,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
23,24,LA Chargers,43.2,39.4,34.5,44.5,42.5,42.5,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
24,25,Tampa Bay,43.4,44.7,40.3,43.0,43.8,40.5,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
25,26,Arizona,43.6,39.6,36.5,42.9,44.1,41.8,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
26,27,NY Giants,43.6,42.2,41.2,43.1,44.4,39.0,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
27,28,Washington,43.6,42.8,42.6,43.3,43.9,43.3,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
28,29,Philadelphia,44.1,42.6,42.3,44.3,44.0,39.6,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
29,30,Las Vegas,44.2,43.3,45.7,43.2,44.9,41.9,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
30,31,Denver,44.3,46.6,47.3,43.3,45.3,43.9,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
31,32,Seattle,45.1,52.3,54.7,43.5,46.0,41.4,2022-12-07,/nfl/stat/opponent-net-yards-per-punt-attempt
