,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New England,38.0,44.1,45.0,37.3,38.7,39.3,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
1,2,Atlanta,39.1,37.9,42.5,40.4,37.1,42.2,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
2,3,Detroit,39.6,37.1,37.0,38.8,40.6,40.0,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
3,4,Houston,40.1,39.0,40.3,43.2,37.1,40.4,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
4,5,New Orleans,40.1,36.7,29.6,41.8,38.4,40.4,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
5,6,Tennessee,40.1,39.9,43.0,39.1,41.0,38.8,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
6,7,Cleveland,40.2,36.6,38.0,38.4,42.0,42.1,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
7,8,Carolina,40.2,39.9,40.3,40.4,39.9,41.9,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
8,9,Dallas,40.6,41.8,47.0,40.9,40.1,41.9,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
9,10,Jacksonville,40.9,40.8,43.3,41.4,40.5,40.7,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
10,11,Buffalo,40.9,39.9,35.6,40.0,41.6,39.9,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
11,12,Baltimore,40.9,41.0,27.3,40.6,41.2,39.6,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
12,13,Pittsburgh,41.3,43.6,41.3,42.3,40.3,38.6,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
13,14,San Francisco,41.5,39.2,38.0,41.0,41.9,42.5,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
14,15,NY Jets,41.6,42.5,43.4,41.0,42.0,38.1,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
15,16,Green Bay,41.7,37.2,24.0,40.4,43.0,42.1,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
16,17,Cincinnati,41.7,47.0,51.5,43.5,39.9,39.1,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
17,18,Kansas City,41.8,42.6,41.6,41.7,42.0,40.8,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
18,19,Miami,42.3,44.1,44.0,42.8,41.5,40.8,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
19,20,Arizona,42.3,37.4,32.7,40.5,44.1,41.8,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
20,21,Indianapolis,42.4,39.8,43.5,44.3,41.1,42.0,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
21,22,Minnesota,42.7,40.0,43.5,42.2,43.0,42.1,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
22,23,Chicago,42.7,42.6,38.7,43.4,41.9,37.2,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
23,24,LA Rams,42.9,50.5,49.3,43.1,42.7,41.5,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
24,25,Tampa Bay,43.2,41.3,37.7,43.0,43.3,40.5,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
25,26,Philadelphia,43.2,39.4,35.3,44.3,42.2,40.2,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
26,27,LA Chargers,43.2,40.5,43.4,44.1,42.5,42.5,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
27,28,NY Giants,43.4,41.3,35.0,42.9,44.4,39.0,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
28,29,Washington,43.7,42.8,42.7,43.3,43.9,43.3,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
29,30,Las Vegas,44.3,45.3,45.3,43.2,44.9,41.9,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
30,31,Denver,44.7,49.8,52.7,44.1,45.3,43.9,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
31,32,Seattle,45.0,47.3,43.5,43.5,46.0,41.4,2022-12-14,/nfl/stat/opponent-net-yards-per-successful-punt
