,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,100.0%,100.0%,100.0%,100.0%,100.0%,92.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
1,1,Jacksonville,100.0%,100.0%,100.0%,100.0%,100.0%,90.9%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
2,1,Tampa Bay,100.0%,100.0%,100.0%,100.0%,100.0%,96.5%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
3,1,Kansas City,100.0%,100.0%,100.0%,100.0%,100.0%,95.3%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
4,5,NY Giants,99.5%,100.0%,100.0%,100.0%,99.2%,94.5%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
5,6,Cleveland,99.5%,100.0%,100.0%,100.0%,99.1%,98.2%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
6,7,Pittsburgh,98.0%,100.0%,100.0%,100.0%,96.5%,96.9%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
7,8,Arizona,96.9%,100.0%,100.0%,96.8%,97.0%,93.8%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
8,9,LA Chargers,96.6%,100.0%,100.0%,96.1%,97.0%,95.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
9,10,Seattle,96.4%,100.0%,100.0%,96.1%,96.6%,98.1%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
10,11,Carolina,96.3%,100.0%,100.0%,96.2%,96.4%,94.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
11,12,Green Bay,96.3%,100.0%,100.0%,91.6%,100.0%,96.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
12,13,Baltimore,95.9%,79.1%,70.8%,100.0%,93.1%,93.0%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
13,14,Washington,95.4%,100.0%,100.0%,91.9%,98.8%,95.2%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
14,14,Buffalo,95.4%,91.4%,100.0%,91.3%,100.0%,97.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
15,16,Las Vegas,95.0%,100.0%,100.0%,90.0%,100.0%,94.0%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
16,17,NY Jets,95.0%,96.2%,81.8%,95.5%,94.4%,98.6%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
17,18,San Francisco,94.9%,100.0%,100.0%,94.8%,95.0%,97.8%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
18,19,Detroit,94.7%,100.0%,100.0%,93.1%,96.6%,97.0%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
19,20,Dallas,94.5%,88.3%,100.0%,96.1%,93.0%,96.3%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
20,21,Cincinnati,94.4%,100.0%,100.0%,95.1%,94.0%,95.4%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
21,22,Miami,94.2%,89.1%,100.0%,98.4%,92.5%,97.6%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
22,23,Tennessee,94.2%,79.1%,65.0%,95.8%,92.8%,100.0%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
23,23,Denver,94.2%,93.4%,100.0%,95.2%,93.5%,89.2%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
24,25,Chicago,93.9%,100.0%,100.0%,93.8%,94.1%,96.6%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
25,26,Minnesota,93.9%,83.7%,100.0%,94.6%,93.0%,96.7%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
26,27,Philadelphia,93.6%,100.0%,100.0%,88.7%,98.9%,97.9%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
27,28,LA Rams,92.2%,100.0%,100.0%,88.7%,96.1%,92.1%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
28,29,Indianapolis,91.8%,84.3%,77.4%,96.0%,88.8%,98.1%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
29,30,New England,90.1%,82.5%,60.0%,100.0%,83.0%,90.3%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
30,31,New Orleans,89.9%,76.7%,30.0%,91.2%,88.9%,93.8%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
31,32,Houston,86.7%,81.6%,77.4%,83.4%,90.0%,98.5%,2023-02-09,/nfl/stat/opponent-offensive-point-share-pct
