,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,9.3,7.7,7.0,9.8,8.9,12.9,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
1,2,Green Bay,9.4,9.7,13.0,8.4,10.2,11.2,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
2,3,New Orleans,9.7,7.3,9.0,8.9,10.3,10.9,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
3,4,Cleveland,9.8,6.7,9.0,10.3,9.3,10.8,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
4,5,NY Jets,9.9,11.3,10.0,9.8,10.1,13.8,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
5,6,Denver,10.2,13.3,18.0,9.6,10.7,11.3,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
6,7,LA Chargers,10.4,6.7,6.0,10.8,10.1,11.7,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
7,8,Dallas,10.5,14.3,11.0,11.0,9.9,11.2,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
8,9,Chicago,10.6,11.3,14.0,9.6,11.5,10.0,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
9,9,Indianapolis,10.6,13.7,9.0,9.7,11.2,12.5,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
10,11,Cincinnati,10.7,13.0,9.0,9.5,11.6,12.8,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
11,12,Tampa Bay,10.9,12.3,15.0,12.1,9.8,12.7,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
12,12,Philadelphia,10.9,12.0,10.0,10.3,11.6,12.3,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
13,14,Buffalo,11.2,9.3,6.0,11.5,11.0,9.1,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
14,15,Seattle,11.3,10.3,14.0,11.1,11.5,14.1,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
15,16,San Francisco,11.4,15.0,15.0,12.9,9.9,10.9,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
16,17,Houston,11.4,11.3,10.0,12.3,10.6,12.8,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
17,18,New England,11.5,14.3,15.0,10.5,12.5,10.5,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
18,19,Pittsburgh,11.6,9.0,8.0,10.4,12.4,11.4,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
19,20,Carolina,11.7,13.7,17.0,11.1,12.4,10.0,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
20,21,NY Giants,11.8,11.3,7.0,10.2,13.9,12.7,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
21,22,Miami,11.9,12.0,9.0,11.7,12.1,11.7,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
22,23,Atlanta,12.0,9.7,13.0,11.8,12.3,12.6,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
23,24,LA Rams,12.1,12.7,12.0,10.3,14.3,12.3,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
24,25,Kansas City,12.1,9.3,12.0,10.5,13.8,12.5,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
25,25,Baltimore,12.1,10.0,9.0,11.0,13.3,13.6,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
26,27,Las Vegas,12.3,11.3,15.0,11.3,13.1,12.0,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
27,27,Jacksonville,12.3,10.3,9.0,9.7,13.9,11.6,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
28,29,Detroit,12.5,9.0,2.0,12.8,12.1,12.4,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
29,30,Tennessee,12.8,12.3,16.0,12.0,13.6,12.1,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
30,31,Arizona,13.0,11.3,9.0,15.1,10.9,11.3,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
31,32,Minnesota,13.4,12.0,10.0,13.2,13.7,13.2,2023-01-04,/nfl/stat/opponent-passing-first-downs-per-game
