,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,48.15%,48.24%,44.29%,50.31%,46.03%,52.13%,2023-01-04,/nfl/stat/opponent-passing-play-pct
1,2,Houston,49.25%,52.06%,51.67%,48.06%,50.48%,52.50%,2023-01-04,/nfl/stat/opponent-passing-play-pct
2,3,Green Bay,51.24%,62.07%,64.91%,51.14%,51.31%,61.07%,2023-01-04,/nfl/stat/opponent-passing-play-pct
3,4,Indianapolis,52.53%,56.54%,39.34%,50.12%,54.24%,60.00%,2023-01-04,/nfl/stat/opponent-passing-play-pct
4,5,Seattle,53.02%,59.22%,74.63%,53.96%,52.08%,57.62%,2023-01-04,/nfl/stat/opponent-passing-play-pct
5,6,Atlanta,53.31%,45.71%,60.87%,55.24%,51.29%,53.41%,2023-01-04,/nfl/stat/opponent-passing-play-pct
6,7,Cleveland,53.70%,43.17%,45.59%,58.52%,48.87%,58.62%,2023-01-04,/nfl/stat/opponent-passing-play-pct
7,8,LA Chargers,55.21%,56.77%,45.83%,55.91%,54.53%,53.85%,2023-01-04,/nfl/stat/opponent-passing-play-pct
8,9,NY Jets,55.30%,49.52%,46.48%,55.49%,55.11%,54.15%,2023-01-04,/nfl/stat/opponent-passing-play-pct
9,10,Washington,55.58%,48.19%,43.40%,57.17%,53.93%,59.62%,2023-01-04,/nfl/stat/opponent-passing-play-pct
10,11,New Orleans,55.70%,53.44%,71.70%,55.48%,55.85%,59.96%,2023-01-04,/nfl/stat/opponent-passing-play-pct
11,12,Detroit,55.94%,50.57%,56.00%,60.24%,50.23%,52.56%,2023-01-04,/nfl/stat/opponent-passing-play-pct
12,13,Dallas,56.07%,60.78%,63.08%,54.16%,58.57%,59.21%,2023-01-04,/nfl/stat/opponent-passing-play-pct
13,14,Carolina,56.36%,56.93%,65.75%,57.14%,55.39%,53.89%,2023-01-04,/nfl/stat/opponent-passing-play-pct
14,15,Pittsburgh,56.52%,56.55%,44.00%,56.13%,56.83%,55.97%,2023-01-04,/nfl/stat/opponent-passing-play-pct
15,16,NY Giants,56.76%,61.08%,51.79%,53.75%,60.54%,56.73%,2023-01-04,/nfl/stat/opponent-passing-play-pct
16,17,LA Rams,57.20%,54.97%,50.00%,53.91%,60.81%,61.96%,2023-01-04,/nfl/stat/opponent-passing-play-pct
17,18,Las Vegas,57.69%,54.97%,56.45%,59.47%,56.29%,58.16%,2023-01-04,/nfl/stat/opponent-passing-play-pct
18,19,Philadelphia,57.88%,51.02%,46.97%,57.79%,57.97%,57.40%,2023-01-04,/nfl/stat/opponent-passing-play-pct
19,20,Tampa Bay,57.95%,64.47%,63.93%,57.00%,58.92%,66.29%,2023-01-04,/nfl/stat/opponent-passing-play-pct
20,21,Jacksonville,58.32%,58.38%,68.66%,52.28%,61.72%,53.84%,2023-01-04,/nfl/stat/opponent-passing-play-pct
21,22,Minnesota,58.71%,52.91%,45.90%,60.46%,56.40%,58.77%,2023-01-04,/nfl/stat/opponent-passing-play-pct
22,23,Cincinnati,58.74%,65.80%,69.81%,58.28%,59.01%,62.81%,2023-01-04,/nfl/stat/opponent-passing-play-pct
23,24,Denver,58.89%,60.22%,72.41%,63.76%,55.37%,57.56%,2023-01-04,/nfl/stat/opponent-passing-play-pct
24,25,Arizona,59.66%,52.43%,44.26%,61.76%,57.43%,57.24%,2023-01-04,/nfl/stat/opponent-passing-play-pct
25,26,New England,59.73%,64.93%,60.87%,55.66%,63.87%,54.85%,2023-01-04,/nfl/stat/opponent-passing-play-pct
26,27,Baltimore,60.73%,47.03%,41.43%,57.76%,63.69%,63.41%,2023-01-04,/nfl/stat/opponent-passing-play-pct
27,28,Buffalo,60.99%,59.79%,50.85%,62.97%,59.51%,57.40%,2023-01-04,/nfl/stat/opponent-passing-play-pct
28,29,Miami,61.08%,61.14%,63.16%,66.96%,56.58%,60.68%,2023-01-04,/nfl/stat/opponent-passing-play-pct
29,30,Kansas City,61.60%,57.87%,63.64%,59.01%,64.11%,60.96%,2023-01-04,/nfl/stat/opponent-passing-play-pct
30,31,San Francisco,62.19%,59.69%,51.52%,68.21%,56.49%,58.69%,2023-01-04,/nfl/stat/opponent-passing-play-pct
31,32,Tennessee,64.29%,58.25%,56.76%,60.75%,67.88%,65.00%,2023-01-04,/nfl/stat/opponent-passing-play-pct
