,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Houston,32.35%,22.22%,33.33%,29.41%,35.29%,50.94%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
1,2,Chicago,39.02%,50.00%,33.33%,37.50%,40.00%,65.96%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
2,3,NY Jets,46.15%,50.00%,50.00%,66.67%,28.57%,49.12%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
3,4,Indianapolis,47.06%,33.33%,37.50%,40.00%,52.63%,74.42%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
4,5,Cincinnati,48.00%,40.00%,100.00%,58.33%,38.46%,64.15%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
5,6,Seattle,48.72%,40.00%,33.33%,42.86%,52.00%,58.54%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
6,7,Detroit,48.84%,71.43%,66.67%,51.85%,43.75%,59.62%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
7,8,Green Bay,51.43%,45.45%,0.00%,46.67%,55.00%,67.39%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
8,9,New Orleans,51.61%,100.00%,100.00%,66.67%,37.50%,57.14%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
9,9,NY Giants,51.61%,50.00%,33.33%,44.44%,61.54%,60.00%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
10,11,San Francisco,52.17%,100.00%,100.00%,63.64%,41.67%,58.33%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
11,12,Cleveland,52.78%,83.33%,66.67%,61.11%,44.44%,67.44%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
12,13,Carolina,54.55%,80.00%,100.00%,60.00%,50.00%,57.78%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
13,14,Philadelphia,55.17%,75.00%,66.67%,60.00%,50.00%,58.82%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
14,15,Miami,55.56%,57.14%,50.00%,72.73%,48.00%,57.50%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
15,16,Atlanta,55.88%,66.67%,100.00%,47.06%,64.71%,56.36%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
16,17,Las Vegas,56.76%,50.00%,50.00%,50.00%,60.87%,58.49%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
17,18,Denver,57.14%,57.14%,75.00%,75.00%,46.15%,61.11%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
18,19,Minnesota,57.58%,71.43%,75.00%,56.25%,58.82%,63.04%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
19,20,LA Chargers,58.33%,62.50%,50.00%,75.00%,45.00%,51.92%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
20,21,Arizona,58.54%,63.64%,0.00%,58.33%,58.82%,69.57%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
21,22,Buffalo,60.00%,60.00%,0.00%,37.50%,70.59%,43.59%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
22,22,LA Rams,60.00%,66.67%,0.00%,57.14%,66.67%,45.83%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
23,24,Jacksonville,61.76%,55.56%,66.67%,57.14%,62.96%,46.15%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
24,25,Baltimore,62.96%,80.00%,50.00%,66.67%,60.00%,64.58%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
25,26,Tampa Bay,66.67%,44.44%,40.00%,71.43%,62.50%,65.91%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
26,27,New England,68.00%,62.50%,0.00%,63.64%,71.43%,61.90%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
27,28,Dallas,68.18%,66.67%,50.00%,69.23%,66.67%,58.54%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
28,29,Washington,71.43%,50.00%,50.00%,71.43%,71.43%,66.67%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
29,30,Pittsburgh,75.00%,50.00%,0.00%,75.00%,75.00%,61.22%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
30,31,Tennessee,78.13%,63.64%,75.00%,76.92%,78.95%,61.54%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
31,32,Kansas City,80.00%,87.50%,100.00%,78.57%,80.95%,64.81%,2022-12-14,/nfl/stat/opponent-passing-touchdown-pct
