,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Baltimore,81.77%,81.77%,84.28%,84.28%,78.16%,76.76%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
1,2,Cleveland,77.83%,77.83%,76.87%,76.87%,79.31%,64.94%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
2,3,Jacksonville,77.14%,77.14%,75.23%,75.23%,78.21%,64.56%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
3,4,LA Chargers,75.43%,75.43%,70.85%,80.00%,70.85%,61.43%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
4,5,Arizona,74.38%,74.38%,75.31%,73.77%,75.31%,64.97%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
5,6,Kansas City,73.94%,73.94%,81.30%,81.30%,63.48%,68.81%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
6,7,Indianapolis,72.54%,72.54%,71.00%,0,72.54%,68.22%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
7,8,New England,71.64%,71.64%,62.55%,0,71.64%,60.51%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
8,9,Las Vegas,71.48%,71.48%,65.38%,65.38%,78.59%,66.46%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
9,10,Atlanta,70.08%,70.08%,80.71%,60.78%,80.71%,63.80%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
10,11,Cincinnati,69.87%,69.87%,68.25%,71.91%,68.25%,70.68%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
11,12,Buffalo,69.30%,69.30%,57.22%,57.22%,78.60%,61.10%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
12,13,LA Rams,68.69%,68.69%,65.52%,68.69%,0,71.47%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
13,14,Miami,68.68%,68.68%,67.23%,71.22%,67.23%,67.46%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
14,15,Tampa Bay,68.66%,68.66%,66.88%,0,68.66%,72.81%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
15,16,Pittsburgh,68.19%,68.19%,67.02%,67.02%,69.21%,60.87%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
16,17,Denver,67.97%,67.97%,65.81%,65.81%,69.96%,65.87%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
17,18,San Francisco,67.86%,67.86%,83.33%,83.33%,51.47%,68.35%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
18,19,Minnesota,66.75%,66.75%,66.46%,67.16%,66.46%,65.93%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
19,20,Detroit,64.28%,64.28%,77.78%,64.28%,0,64.44%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
20,21,Seattle,63.77%,63.77%,49.33%,76.21%,49.33%,70.02%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
21,22,NY Jets,63.62%,63.62%,54.57%,77.01%,54.57%,65.22%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
22,23,Philadelphia,62.62%,62.62%,76.52%,76.52%,53.11%,67.33%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
23,24,Houston,62.40%,62.40%,57.43%,65.76%,57.43%,63.00%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
24,25,NY Giants,62.30%,62.30%,46.91%,46.91%,74.09%,63.64%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
25,26,Washington,61.14%,61.14%,55.06%,67.89%,55.06%,70.94%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
26,27,Dallas,59.90%,59.90%,64.96%,59.90%,0,66.92%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
27,28,New Orleans,59.62%,59.62%,72.31%,72.31%,51.68%,70.63%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
28,29,Tennessee,58.04%,58.04%,75.60%,39.59%,75.60%,74.75%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
29,30,Green Bay,50.88%,50.88%,21.05%,21.05%,68.10%,66.14%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
30,31,Chicago,49.13%,49.13%,50.97%,46.83%,50.97%,60.49%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
31,32,Carolina,48.39%,48.39%,61.13%,38.87%,61.13%,62.80%,2022-09-20,/nfl/stat/opponent-passing-yards-pct
