,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Denver,165.8,147.7,114.0,159.5,172.0,214.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
1,2,Green Bay,174.8,171.0,216.0,83.7,229.4,212.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
2,3,Dallas,178.4,152.7,131.0,168.2,195.3,234.5,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
3,4,Philadelphia,183.4,192.0,156.0,171.8,199.0,222.2,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
4,5,Chicago,188.0,172.7,242.0,159.3,205.2,191.6,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
5,6,Tampa Bay,194.0,195.0,222.0,202.0,186.0,245.3,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
6,7,San Francisco,199.3,235.0,167.0,265.7,159.4,213.1,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
7,8,Indianapolis,199.8,172.7,266.0,193.8,205.8,234.1,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
8,9,Buffalo,203.1,273.0,190.0,202.3,203.8,176.7,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
9,10,NY Jets,203.4,199.3,161.0,197.8,209.0,259.4,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
10,11,LA Rams,205.7,147.7,257.0,181.2,267.0,238.0,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
11,12,New Orleans,208.3,202.3,145.0,212.8,203.8,224.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
12,12,Cleveland,208.3,196.0,193.0,246.8,144.0,202.3,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
13,14,NY Giants,208.4,231.7,190.0,173.5,243.3,225.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
14,15,Cincinnati,210.4,182.0,268.0,197.3,218.2,248.7,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
15,16,Washington,214.0,179.0,189.0,229.5,198.5,254.9,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
16,17,Houston,217.6,187.3,40.0,239.3,201.3,242.2,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
17,18,LA Chargers,220.0,193.7,191.0,217.3,223.7,221.2,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
18,19,New England,224.5,247.0,336.0,188.0,246.4,193.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
19,20,Carolina,232.0,254.7,239.0,241.2,216.7,192.1,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
20,21,Seattle,236.6,198.0,147.0,213.8,259.5,265.5,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
21,22,Jacksonville,237.1,273.0,230.0,165.3,280.2,227.9,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
22,23,Arizona,252.3,259.0,208.0,306.5,198.0,215.6,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
23,24,Tennessee,254.7,229.0,118.0,227.7,275.0,247.2,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
24,25,Las Vegas,258.1,264.0,231.0,260.0,256.8,223.0,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
25,26,Miami,262.1,237.7,311.0,244.3,280.0,227.7,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
26,27,Detroit,266.4,249.3,369.0,309.0,209.7,244.7,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
27,28,Baltimore,266.8,227.7,305.0,268.8,264.8,278.9,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
28,29,Minnesota,275.6,291.7,297.0,248.5,311.7,252.9,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
29,30,Kansas City,277.0,294.7,343.0,289.0,268.0,251.5,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
30,31,Pittsburgh,277.3,260.0,290.0,243.7,297.4,223.8,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
31,32,Atlanta,306.9,354.7,309.0,266.3,347.5,232.5,2022-11-02,/nfl/stat/opponent-passing-yards-per-game
