,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,New Orleans,2.5,1.7,1.0,1.9,3.1,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
1,2,Miami,2.3,2.7,2.0,1.9,2.6,1.9,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
2,3,Denver,2.2,0.7,1.0,1.1,3.1,1.2,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
3,3,NY Giants,2.2,1.7,2.0,1.9,2.6,1.4,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
4,5,Dallas,2.1,0.7,2.0,1.7,2.7,2.3,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
5,6,Cleveland,2.0,2.0,1.0,2.0,2.0,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
6,6,Indianapolis,2.0,2.7,0.0,1.9,2.1,1.2,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
7,8,Detroit,1.9,2.3,3.0,1.4,2.6,1.5,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
8,9,Washington,1.9,0.3,0.0,2.4,1.4,1.5,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
9,9,New England,1.9,3.0,4.0,1.6,2.1,1.3,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
10,9,Buffalo,1.9,1.3,1.0,1.5,2.1,2.3,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
11,12,Seattle,1.8,1.3,2.0,1.1,2.4,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
12,13,Green Bay,1.7,1.0,0.0,1.2,2.1,1.3,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
13,14,Las Vegas,1.7,2.7,0.0,1.8,1.6,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
14,14,NY Jets,1.7,1.0,0.0,1.0,2.4,2.2,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
15,14,Tennessee,1.7,1.0,0.0,1.6,1.8,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
16,14,Baltimore,1.7,2.0,1.0,1.4,1.9,1.6,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
17,18,Chicago,1.6,1.0,0.0,1.9,1.3,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
18,19,Jacksonville,1.5,1.0,1.0,1.2,1.8,1.7,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
19,19,Kansas City,1.5,3.0,3.0,1.1,1.9,1.8,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
20,19,Carolina,1.5,1.7,4.0,2.0,0.8,1.7,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
21,22,San Francisco,1.5,0.7,1.0,1.3,1.7,2.3,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
22,22,LA Chargers,1.5,1.3,2.0,1.4,1.5,2.4,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
23,22,Philadelphia,1.5,0.3,1.0,1.7,1.3,2.0,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
24,25,Tampa Bay,1.4,2.0,0.0,1.3,1.5,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
25,25,Minnesota,1.4,1.3,2.0,1.3,1.5,2.1,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
26,27,Pittsburgh,1.3,1.0,0.0,1.0,1.6,1.4,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
27,27,Houston,1.3,1.0,1.0,1.3,1.4,1.7,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
28,27,LA Rams,1.3,2.0,0.0,1.2,1.5,1.2,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
29,30,Arizona,1.3,1.0,1.0,1.3,1.3,2.0,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
30,30,Cincinnati,1.3,1.0,2.0,1.2,1.3,1.2,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
31,32,Atlanta,0.9,0.3,0.0,0.9,1.0,1.5,2022-12-28,/nfl/stat/opponent-penalty-first-downs-per-game
