,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Green Bay,58.3,54.0,60.0,56.9,59.6,60.5,2023-02-09,/nfl/stat/opponent-plays-per-game
1,2,Washington,58.7,56.7,66.0,60.0,57.3,62.6,2023-02-09,/nfl/stat/opponent-plays-per-game
2,3,LA Chargers,59.6,60.0,70.0,58.1,60.7,64.9,2023-02-09,/nfl/stat/opponent-plays-per-game
3,4,Pittsburgh,60.2,53.3,58.0,60.3,60.2,65.6,2023-02-09,/nfl/stat/opponent-plays-per-game
4,5,San Francisco,61.0,64.3,70.0,58.9,63.4,61.6,2023-02-09,/nfl/stat/opponent-plays-per-game
5,6,Baltimore,61.2,62.7,54.0,61.3,61.1,60.8,2023-02-09,/nfl/stat/opponent-plays-per-game
6,7,Cleveland,61.2,63.0,67.0,60.9,61.6,62.1,2023-02-09,/nfl/stat/opponent-plays-per-game
7,8,Chicago,61.4,66.3,71.0,61.3,61.4,59.4,2023-02-09,/nfl/stat/opponent-plays-per-game
8,9,Philadelphia,61.5,53.3,45.0,58.9,65.1,63.8,2023-02-09,/nfl/stat/opponent-plays-per-game
9,10,LA Rams,61.7,64.3,70.0,56.9,67.1,64.5,2023-02-09,/nfl/stat/opponent-plays-per-game
10,11,Cincinnati,62.6,64.7,66.0,59.9,64.6,63.4,2023-02-09,/nfl/stat/opponent-plays-per-game
11,12,Buffalo,63.2,68.0,71.0,66.8,59.6,60.4,2023-02-09,/nfl/stat/opponent-plays-per-game
12,13,Arizona,63.2,66.7,61.0,65.4,61.3,60.3,2023-02-09,/nfl/stat/opponent-plays-per-game
13,14,New Orleans,63.3,59.3,58.0,59.8,66.4,62.6,2023-02-09,/nfl/stat/opponent-plays-per-game
14,14,Detroit,63.3,57.3,57.0,64.6,61.9,64.2,2023-02-09,/nfl/stat/opponent-plays-per-game
15,16,NY Giants,63.3,65.7,69.0,62.2,64.3,66.9,2023-02-09,/nfl/stat/opponent-plays-per-game
16,17,Las Vegas,63.4,61.3,56.0,63.1,63.6,64.7,2023-02-09,/nfl/stat/opponent-plays-per-game
17,18,Tampa Bay,63.4,65.7,69.0,64.0,62.9,64.5,2023-02-09,/nfl/stat/opponent-plays-per-game
18,19,Denver,63.5,63.0,67.0,61.5,65.2,61.1,2023-02-09,/nfl/stat/opponent-plays-per-game
19,20,Atlanta,63.6,58.0,54.0,64.3,62.9,65.5,2023-02-09,/nfl/stat/opponent-plays-per-game
20,21,Kansas City,64.0,63.3,63.0,62.8,65.3,62.8,2023-02-09,/nfl/stat/opponent-plays-per-game
21,22,New England,64.2,68.3,58.0,65.1,63.3,60.7,2023-02-09,/nfl/stat/opponent-plays-per-game
22,23,Indianapolis,64.2,64.0,64.0,61.4,66.8,61.8,2023-02-09,/nfl/stat/opponent-plays-per-game
23,24,NY Jets,64.3,68.7,64.0,63.8,64.8,67.4,2023-02-09,/nfl/stat/opponent-plays-per-game
24,25,Miami,64.3,60.7,72.0,62.6,65.7,63.6,2023-02-09,/nfl/stat/opponent-plays-per-game
25,26,Tennessee,64.7,61.3,47.0,66.3,63.3,61.3,2023-02-09,/nfl/stat/opponent-plays-per-game
26,27,Carolina,64.9,64.0,58.0,64.6,65.3,60.5,2023-02-09,/nfl/stat/opponent-plays-per-game
27,28,Jacksonville,65.4,69.3,67.0,64.3,66.2,62.8,2023-02-09,/nfl/stat/opponent-plays-per-game
28,29,Dallas,65.5,68.7,63.0,65.4,65.5,63.6,2023-02-09,/nfl/stat/opponent-plays-per-game
29,30,Seattle,65.6,63.3,64.0,65.4,65.8,70.6,2023-02-09,/nfl/stat/opponent-plays-per-game
30,31,Minnesota,65.9,59.7,68.0,67.5,63.9,67.8,2023-02-09,/nfl/stat/opponent-plays-per-game
31,32,Houston,66.7,62.7,70.0,67.6,65.9,64.8,2023-02-09,/nfl/stat/opponent-plays-per-game
