,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Chicago,2.0,1.8,0.0,2.1,1.9,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
1,2,Las Vegas,2.1,2.0,1.5,2.3,1.9,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
2,3,San Francisco,2.2,2.0,0,2.1,2.3,2.3,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
3,4,Buffalo,2.2,3.0,3.0,2.2,2.3,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
4,5,NY Jets,2.3,2.4,2.4,2.3,2.1,2.8,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
5,6,LA Chargers,2.4,2.0,3.0,2.8,1.9,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
6,7,Seattle,2.4,2.4,3.0,2.4,2.4,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
7,8,Baltimore,2.4,1.9,3.0,2.6,2.3,2.3,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
8,9,Carolina,2.5,3.0,3.0,2.3,2.8,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
9,10,Cincinnati,2.5,2.0,0,2.3,2.6,2.4,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
10,11,Detroit,2.5,2.5,3.0,2.7,2.4,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
11,12,Cleveland,2.5,1.8,3.0,1.9,3.0,2.9,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
12,13,New England,2.6,2.0,1.5,2.5,2.6,2.0,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
13,13,Green Bay,2.6,2.3,2.0,2.6,2.6,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
14,13,Minnesota,2.6,2.7,3.0,2.8,2.1,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
15,16,NY Giants,2.6,3.0,3.0,2.6,2.5,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
16,17,Philadelphia,2.6,3.0,3.0,2.7,2.5,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
17,18,Houston,2.6,2.3,0,2.2,3.0,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
18,19,Tampa Bay,2.6,3.0,3.0,2.5,2.7,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
19,20,Atlanta,2.6,2.6,2.3,2.4,2.8,2.8,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
20,20,Pittsburgh,2.6,3.0,3.0,2.8,2.5,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
21,22,Dallas,2.6,3.0,3.0,2.9,2.3,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
22,23,Washington,2.7,2.6,3.0,2.5,2.8,2.8,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
23,24,New Orleans,2.7,3.0,3.0,3.0,2.6,2.4,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
24,24,Kansas City,2.7,3.0,3.0,2.5,3.0,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
25,26,LA Rams,2.7,3.0,3.0,2.8,2.6,2.6,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
26,27,Tennessee,2.7,3.0,3.0,3.0,2.5,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
27,28,Indianapolis,2.8,3.0,3.0,2.7,2.8,2.4,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
28,29,Arizona,2.8,2.6,3.0,3.0,2.5,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
29,30,Jacksonville,2.9,3.0,3.0,2.8,3.0,2.7,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
30,31,Miami,2.9,3.0,3.0,2.7,3.0,2.5,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
31,32,Denver,2.9,3.0,3.0,2.9,3.0,2.3,2022-12-28,/nfl/stat/opponent-points-per-field-goal-attempt
