,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,15.8,9.0,17.0,15.5,16.2,20.6,2022-12-07,/nfl/stat/opponent-points-per-game
1,2,Denver,17.0,18.3,10.0,13.8,19.3,18.9,2022-12-07,/nfl/stat/opponent-points-per-game
2,3,Dallas,17.2,14.0,19.0,17.1,17.2,21.2,2022-12-07,/nfl/stat/opponent-points-per-game
3,4,Buffalo,17.4,19.3,10.0,15.0,18.6,18.3,2022-12-07,/nfl/stat/opponent-points-per-game
4,5,Tampa Bay,18.3,18.3,16.0,21.0,15.5,20.9,2022-12-07,/nfl/stat/opponent-points-per-game
5,6,NY Jets,18.6,15.7,27.0,19.5,17.7,29.6,2022-12-07,/nfl/stat/opponent-points-per-game
6,7,New England,18.8,20.0,24.0,16.7,21.0,19.4,2022-12-07,/nfl/stat/opponent-points-per-game
7,7,Philadelphia,18.8,19.7,10.0,19.0,18.6,23.1,2022-12-07,/nfl/stat/opponent-points-per-game
8,9,Baltimore,19.7,13.3,9.0,19.0,20.3,23.1,2022-12-07,/nfl/stat/opponent-points-per-game
9,10,Washington,19.7,14.3,20.0,20.2,19.3,25.5,2022-12-07,/nfl/stat/opponent-points-per-game
10,11,Tennessee,20.0,24.0,35.0,16.6,22.4,20.7,2022-12-07,/nfl/stat/opponent-points-per-game
11,12,NY Giants,21.0,26.3,20.0,19.7,22.8,24.5,2022-12-07,/nfl/stat/opponent-points-per-game
12,13,Cincinnati,21.3,23.3,24.0,20.0,22.1,21.8,2022-12-07,/nfl/stat/opponent-points-per-game
13,14,Carolina,22.2,12.7,10.0,18.7,27.0,23.8,2022-12-07,/nfl/stat/opponent-points-per-game
14,15,Kansas City,22.5,21.3,27.0,20.2,24.8,22.4,2022-12-07,/nfl/stat/opponent-points-per-game
15,16,Jacksonville,22.7,31.3,40.0,16.6,27.0,26.9,2022-12-07,/nfl/stat/opponent-points-per-game
16,17,New Orleans,22.8,16.7,17.0,21.5,24.0,19.7,2022-12-07,/nfl/stat/opponent-points-per-game
17,18,Indianapolis,22.9,31.7,54.0,21.0,24.6,21.5,2022-12-07,/nfl/stat/opponent-points-per-game
18,19,Pittsburgh,23.1,23.3,16.0,21.2,24.4,24.4,2022-12-07,/nfl/stat/opponent-points-per-game
19,20,Green Bay,23.2,28.7,19.0,23.2,23.3,21.3,2022-12-07,/nfl/stat/opponent-points-per-game
20,21,Minnesota,23.3,29.3,22.0,23.9,22.4,25.1,2022-12-07,/nfl/stat/opponent-points-per-game
21,22,LA Rams,23.3,26.7,27.0,25.0,21.0,21.3,2022-12-07,/nfl/stat/opponent-points-per-game
22,23,Houston,23.9,26.7,27.0,25.0,22.8,26.6,2022-12-07,/nfl/stat/opponent-points-per-game
23,24,Atlanta,24.0,20.7,19.0,22.6,25.7,27.0,2022-12-07,/nfl/stat/opponent-points-per-game
24,25,Miami,24.1,21.7,33.0,15.3,32.8,21.9,2022-12-07,/nfl/stat/opponent-points-per-game
25,26,Las Vegas,24.7,23.3,20.0,23.4,25.6,25.8,2022-12-07,/nfl/stat/opponent-points-per-game
26,27,Cleveland,25.0,20.7,14.0,24.3,25.7,21.8,2022-12-07,/nfl/stat/opponent-points-per-game
27,28,Seattle,25.3,28.0,23.0,21.0,28.4,21.5,2022-12-07,/nfl/stat/opponent-points-per-game
28,29,Chicago,25.6,28.7,28.0,22.7,28.1,23.9,2022-12-07,/nfl/stat/opponent-points-per-game
29,30,LA Chargers,25.8,27.0,27.0,28.0,24.1,27.0,2022-12-07,/nfl/stat/opponent-points-per-game
30,31,Arizona,26.8,26.7,25.0,29.0,24.5,22.2,2022-12-07,/nfl/stat/opponent-points-per-game
31,32,Detroit,27.0,20.0,14.0,27.9,25.8,27.5,2022-12-07,/nfl/stat/opponent-points-per-game
