,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,0.228,0.218,0.328,0.08,0.309,0.303,2022-10-25,/nfl/stat/opponent-points-per-play
1,2,Dallas,0.229,0.223,0.107,0.203,0.261,0.333,2022-10-25,/nfl/stat/opponent-points-per-play
2,3,Denver,0.26,0.225,0.302,0.198,0.33,0.31,2022-10-25,/nfl/stat/opponent-points-per-play
3,4,Philadelphia,0.278,0.307,0.266,0.266,0.287,0.362,2022-10-25,/nfl/stat/opponent-points-per-play
4,5,Tampa Bay,0.282,0.326,0.42,0.352,0.224,0.325,2022-10-25,/nfl/stat/opponent-points-per-play
5,6,Jacksonville,0.302,0.35,0.329,0.207,0.362,0.428,2022-10-25,/nfl/stat/opponent-points-per-play
6,7,NY Jets,0.304,0.175,0.12,0.376,0.257,0.44,2022-10-25,/nfl/stat/opponent-points-per-play
7,8,Cincinnati,0.305,0.35,0.378,0.331,0.288,0.344,2022-10-25,/nfl/stat/opponent-points-per-play
8,9,Minnesota,0.309,0.356,0.219,0.288,0.328,0.37,2022-10-25,/nfl/stat/opponent-points-per-play
9,10,Chicago,0.31,0.314,0.292,0.237,0.361,0.403,2022-10-25,/nfl/stat/opponent-points-per-play
10,11,NY Giants,0.31,0.321,0.262,0.305,0.317,0.366,2022-10-25,/nfl/stat/opponent-points-per-play
11,12,San Francisco,0.313,0.486,0.759,0.337,0.296,0.334,2022-10-25,/nfl/stat/opponent-points-per-play
12,13,Carolina,0.318,0.337,0.045,0.316,0.323,0.393,2022-10-25,/nfl/stat/opponent-points-per-play
13,14,Indianapolis,0.323,0.294,0.333,0.398,0.274,0.348,2022-10-25,/nfl/stat/opponent-points-per-play
14,15,New England,0.326,0.239,0.471,0.363,0.298,0.321,2022-10-25,/nfl/stat/opponent-points-per-play
15,16,Houston,0.333,0.4,0.691,0.344,0.325,0.411,2022-10-25,/nfl/stat/opponent-points-per-play
16,17,Pittsburgh,0.336,0.391,0.258,0.294,0.367,0.373,2022-10-25,/nfl/stat/opponent-points-per-play
17,18,Tennessee,0.343,0.238,0.156,0.283,0.403,0.338,2022-10-25,/nfl/stat/opponent-points-per-play
18,19,Baltimore,0.358,0.345,0.357,0.415,0.289,0.379,2022-10-25,/nfl/stat/opponent-points-per-play
19,20,Green Bay,0.362,0.418,0.319,0.401,0.339,0.353,2022-10-25,/nfl/stat/opponent-points-per-play
20,21,Washington,0.366,0.275,0.447,0.368,0.364,0.408,2022-10-25,/nfl/stat/opponent-points-per-play
21,22,LA Rams,0.37,0.384,0.227,0.427,0.277,0.33,2022-10-25,/nfl/stat/opponent-points-per-play
22,23,Kansas City,0.37,0.38,0.319,0.381,0.361,0.357,2022-10-25,/nfl/stat/opponent-points-per-play
23,24,Atlanta,0.373,0.354,0.53,0.33,0.403,0.412,2022-10-25,/nfl/stat/opponent-points-per-play
24,25,Miami,0.378,0.423,0.145,0.228,0.607,0.345,2022-10-25,/nfl/stat/opponent-points-per-play
25,26,Las Vegas,0.395,0.401,0.308,0.377,0.413,0.399,2022-10-25,/nfl/stat/opponent-points-per-play
26,27,Seattle,0.397,0.332,0.333,0.275,0.48,0.305,2022-10-25,/nfl/stat/opponent-points-per-play
27,28,Arizona,0.407,0.351,0.479,0.465,0.326,0.369,2022-10-25,/nfl/stat/opponent-points-per-play
28,29,Cleveland,0.439,0.462,0.365,0.453,0.417,0.351,2022-10-25,/nfl/stat/opponent-points-per-play
29,30,LA Chargers,0.449,0.443,0.587,0.442,0.459,0.416,2022-10-25,/nfl/stat/opponent-points-per-play
30,31,New Orleans,0.471,0.638,0.7,0.488,0.459,0.315,2022-10-25,/nfl/stat/opponent-points-per-play
31,32,Detroit,0.499,0.567,0.407,0.546,0.445,0.428,2022-10-25,/nfl/stat/opponent-points-per-play
