,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,2.2,2.3,4.0,1.0,3.0,4.0,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
1,2,Detroit,2.8,1.7,2.0,3.0,2.5,2.8,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
2,2,Miami,2.8,3.0,4.0,2.0,3.3,4.4,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
3,2,LA Chargers,2.8,2.0,2.0,1.5,3.7,2.7,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
4,5,Atlanta,3.0,3.0,4.0,4.0,2.3,3.1,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
5,5,LA Rams,3.0,4.7,6.0,2.3,4.0,3.9,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
6,7,Arizona,3.2,3.7,4.0,3.0,3.5,3.5,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
7,8,Chicago,3.4,3.7,1.0,4.5,2.7,3.7,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
8,8,Baltimore,3.4,3.0,4.0,3.0,4.0,4.9,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
9,8,Minnesota,3.4,3.0,2.0,3.0,4.0,3.8,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
10,11,Las Vegas,3.6,3.7,3.0,4.0,3.3,3.9,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
11,11,Cleveland,3.6,3.0,1.0,3.3,4.0,4.2,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
12,11,New England,3.6,3.3,2.0,2.5,4.3,3.1,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
13,14,Pittsburgh,3.8,4.0,2.0,4.5,3.3,4.6,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
14,14,NY Jets,3.8,3.3,3.0,4.0,3.5,3.5,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
15,14,Kansas City,3.8,2.7,2.0,4.0,3.7,3.3,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
16,17,Tennessee,4.0,3.7,6.0,4.5,3.7,4.0,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
17,17,Houston,4.0,3.7,3.0,4.0,4.0,3.4,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
18,17,Carolina,4.0,3.7,2.0,3.8,5.0,4.4,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
19,20,Jacksonville,4.2,4.3,6.0,5.5,3.3,3.8,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
20,20,Cincinnati,4.2,2.7,2.0,5.5,3.3,4.3,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
21,22,Buffalo,4.4,4.0,4.0,5.0,4.0,4.2,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
22,23,Dallas,4.6,5.0,6.0,4.7,4.5,4.2,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
23,23,NY Giants,4.6,4.0,3.0,4.7,4.5,3.9,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
24,25,New Orleans,4.8,4.7,5.0,5.5,4.3,4.8,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
25,25,Tampa Bay,4.8,4.7,6.0,4.7,5.0,4.2,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
26,25,Green Bay,4.8,5.0,2.0,5.5,4.3,3.4,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
27,25,Philadelphia,4.8,5.0,4.0,4.0,5.3,3.9,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
28,25,Indianapolis,4.8,4.0,5.0,3.5,5.7,3.6,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
29,30,Denver,5.0,6.0,7.0,6.3,3.0,3.5,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
30,31,Washington,5.6,6.7,8.0,5.7,5.5,3.7,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
31,31,San Francisco,5.6,5.7,3.0,4.5,6.3,4.1,2022-10-11,/nfl/stat/opponent-punt-attempts-per-game
