,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,0.09,0.09,0.15,0.09,0.08,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
1,2,Tampa Bay,0.08,0.06,0.06,0.08,0.08,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
2,3,Denver,0.08,0.05,0.07,0.09,0.07,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
3,4,Tennessee,0.08,0.07,0.09,0.07,0.08,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
4,5,New Orleans,0.07,0.1,0.1,0.08,0.07,0.08,2023-02-09,/nfl/stat/opponent-punts-per-play
5,6,San Francisco,0.07,0.06,0.06,0.06,0.08,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
6,7,Carolina,0.07,0.07,0.09,0.07,0.07,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
7,8,NY Jets,0.07,0.05,0.06,0.06,0.08,0.05,2023-02-09,/nfl/stat/opponent-punts-per-play
8,9,Philadelphia,0.07,0.09,0.09,0.07,0.07,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
9,10,Indianapolis,0.07,0.05,0.06,0.07,0.07,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
10,11,Pittsburgh,0.07,0.08,0.07,0.07,0.06,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
11,12,Arizona,0.07,0.07,0.08,0.06,0.07,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
12,13,New England,0.07,0.05,0.05,0.07,0.06,0.05,2023-02-09,/nfl/stat/opponent-punts-per-play
13,14,Baltimore,0.06,0.06,0.06,0.06,0.07,0.08,2023-02-09,/nfl/stat/opponent-punts-per-play
14,15,Houston,0.06,0.07,0.03,0.07,0.06,0.05,2023-02-09,/nfl/stat/opponent-punts-per-play
15,16,LA Chargers,0.06,0.07,0.04,0.07,0.06,0.04,2023-02-09,/nfl/stat/opponent-punts-per-play
16,17,Dallas,0.06,0.08,0.06,0.05,0.07,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
17,18,Kansas City,0.06,0.05,0.06,0.07,0.05,0.05,2023-02-09,/nfl/stat/opponent-punts-per-play
18,19,Buffalo,0.06,0.06,0.03,0.06,0.06,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
19,20,Cincinnati,0.06,0.06,0.06,0.07,0.06,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
20,21,Miami,0.06,0.08,0.07,0.07,0.06,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
21,22,Cleveland,0.06,0.06,0.04,0.07,0.05,0.07,2023-02-09,/nfl/stat/opponent-punts-per-play
22,23,NY Giants,0.06,0.04,0.04,0.07,0.05,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
23,24,Green Bay,0.06,0.04,0.07,0.08,0.05,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
24,25,LA Rams,0.06,0.06,0.07,0.06,0.06,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
25,26,Jacksonville,0.06,0.06,0.06,0.06,0.05,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
26,27,Seattle,0.05,0.05,0.02,0.05,0.05,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
27,28,Minnesota,0.05,0.04,0.03,0.05,0.06,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
28,29,Las Vegas,0.05,0.05,0.07,0.05,0.05,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
29,30,Detroit,0.05,0.06,0.02,0.05,0.05,0.04,2023-02-09,/nfl/stat/opponent-punts-per-play
30,31,Atlanta,0.05,0.06,0.09,0.05,0.05,0.05,2023-02-09,/nfl/stat/opponent-punts-per-play
31,32,Chicago,0.05,0.04,0.01,0.05,0.04,0.06,2023-02-09,/nfl/stat/opponent-punts-per-play
