,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,2.1,2.0,3.0,2.3,2.0,3.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
1,2,Denver,2.5,3.3,6.0,1.4,3.5,2.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
2,3,NY Jets,2.6,2.3,3.0,2.9,2.3,4.4,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
3,4,Dallas,2.7,3.7,5.0,3.0,2.3,2.6,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
4,5,Las Vegas,2.8,1.0,1.0,2.7,2.9,2.7,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
5,5,Tampa Bay,2.8,3.0,1.0,3.9,1.9,3.4,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
6,7,Pittsburgh,2.9,2.3,1.0,2.6,3.1,3.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
7,7,New Orleans,2.9,3.0,3.0,2.1,3.5,2.7,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
8,7,Tennessee,2.9,3.3,4.0,3.0,2.8,3.3,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
9,7,LA Chargers,2.9,1.0,1.0,2.9,2.9,3.9,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
10,11,Indianapolis,2.9,4.0,4.0,3.1,2.8,3.1,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
11,12,New England,3.0,3.0,4.0,3.1,2.9,3.0,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
12,12,Buffalo,3.0,3.0,4.0,2.7,3.2,2.7,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
13,12,Minnesota,3.0,2.7,2.0,3.2,2.7,3.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
14,15,Green Bay,3.1,2.0,2.0,3.0,3.1,2.9,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
15,16,LA Rams,3.1,3.3,1.0,2.9,3.5,3.0,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
16,16,Cincinnati,3.1,3.0,2.0,2.7,3.4,3.3,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
17,18,Washington,3.2,3.0,5.0,2.9,3.5,3.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
18,18,Houston,3.2,3.0,1.0,3.4,3.0,3.9,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
19,18,Seattle,3.2,3.3,3.0,3.3,3.1,3.6,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
20,21,Jacksonville,3.3,3.0,2.0,3.0,3.6,3.6,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
21,21,Kansas City,3.3,3.0,2.0,2.6,4.0,3.3,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
22,21,Baltimore,3.3,4.0,4.0,2.7,3.9,2.9,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
23,21,Philadelphia,3.3,4.0,5.0,3.1,3.5,3.6,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
24,25,Chicago,3.4,3.3,4.0,3.8,3.0,3.2,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
25,26,Atlanta,3.5,3.0,4.0,3.4,3.6,4.1,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
26,26,Cleveland,3.5,2.7,3.0,3.1,4.0,3.1,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
27,28,Detroit,3.6,4.0,6.0,3.6,3.6,3.5,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
28,28,Carolina,3.6,4.0,6.0,3.4,3.8,3.1,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
29,30,Miami,3.7,5.3,5.0,2.7,4.5,3.4,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
30,30,Arizona,3.7,3.3,3.0,4.0,3.3,3.1,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
31,32,NY Giants,3.7,3.7,4.0,3.9,3.6,4.2,2022-12-28,/nfl/stat/opponent-red-zone-scoring-attempts-per-game
