,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,22.9,28.3,20.0,19.0,27.3,25.5,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
1,2,Tennessee,22.9,25.3,14.0,26.0,20.2,21.4,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
2,3,Baltimore,23.9,31.3,20.0,25.9,22.1,22.2,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
3,4,Buffalo,24.2,25.7,23.0,24.3,24.1,25.7,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
4,5,Kansas City,24.6,26.7,25.0,25.9,23.6,24.5,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
5,6,Miami,24.8,22.0,20.0,21.0,28.2,25.0,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
6,7,Cincinnati,25.4,22.7,27.0,24.0,26.6,23.6,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
7,8,Denver,25.8,24.7,22.0,22.0,29.1,25.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
8,9,Washington,25.9,27.7,27.0,25.6,26.4,25.3,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
9,9,New England,25.9,25.3,25.0,28.9,23.3,27.4,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
10,11,Pittsburgh,26.0,23.0,22.0,26.0,26.0,28.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
11,12,Arizona,26.2,33.7,37.0,25.0,27.3,25.8,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
12,12,Philadelphia,26.2,29.0,21.0,25.2,27.4,27.2,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
13,14,LA Rams,26.8,29.0,36.0,26.2,27.4,24.5,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
14,15,LA Chargers,26.9,25.3,36.0,25.6,28.0,29.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
15,16,Tampa Bay,26.9,28.0,35.0,27.3,26.7,21.7,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
16,17,Las Vegas,27.1,27.3,28.0,26.3,27.8,27.1,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
17,18,Minnesota,27.2,25.3,22.0,26.7,27.9,27.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
18,19,NY Giants,27.6,26.7,34.0,28.8,26.3,28.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
19,20,Jacksonville,27.6,26.7,39.0,31.0,25.3,29.0,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
20,21,Detroit,28.1,31.0,28.0,25.7,30.8,30.5,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
21,22,Green Bay,28.2,21.0,25.0,27.3,29.0,23.6,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
22,23,Cleveland,28.7,37.7,37.0,25.3,31.8,25.7,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
23,23,Carolina,28.7,24.7,32.0,27.7,29.9,27.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
24,25,New Orleans,28.9,30.0,41.0,28.5,29.3,25.1,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
25,25,NY Jets,28.9,36.3,32.0,28.4,29.4,30.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
26,27,Dallas,29.2,31.3,41.0,30.0,28.4,25.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
27,28,Atlanta,29.4,27.0,20.0,28.3,30.6,30.5,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
28,29,Indianapolis,30.1,30.7,23.0,29.5,30.6,24.7,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
29,30,Seattle,30.9,22.3,28.0,30.2,31.6,29.9,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
30,31,Chicago,31.9,36.0,38.0,30.8,33.1,28.4,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
31,32,Houston,33.7,31.0,33.0,35.1,32.4,30.8,2023-01-11,/nfl/stat/opponent-rushing-attempts-per-game
