,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,24.70%,16.36%,9.52%,18.12%,32.74%,30.24%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
1,2,Baltimore,26.57%,27.12%,29.41%,31.01%,22.93%,23.82%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
2,3,New England,28.36%,26.15%,21.43%,35.48%,22.52%,37.09%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
3,4,Tennessee,28.67%,30.00%,46.67%,33.09%,25.00%,27.01%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
4,5,Pittsburgh,29.89%,37.21%,30.77%,33.33%,27.33%,39.47%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
5,6,LA Rams,29.97%,38.71%,38.89%,34.18%,24.81%,31.07%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
6,7,Kansas City,30.51%,35.19%,42.11%,34.96%,27.33%,33.10%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
7,8,Miami,30.55%,27.14%,23.53%,26.36%,33.52%,31.45%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
8,9,Minnesota,30.67%,27.27%,26.09%,30.69%,30.66%,33.50%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
9,10,Arizona,32.30%,33.87%,23.81%,29.19%,36.50%,32.10%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
10,11,Tampa Bay,32.96%,38.33%,50.00%,30.00%,35.71%,26.70%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
11,12,Buffalo,33.11%,36.00%,36.36%,34.45%,32.18%,35.82%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
12,13,Jacksonville,33.65%,30.36%,10.00%,43.48%,28.08%,35.33%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
13,14,Las Vegas,33.65%,32.76%,31.58%,38.52%,30.53%,30.79%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
14,15,Cincinnati,34.55%,27.59%,26.67%,34.02%,34.83%,30.00%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
15,16,Washington,34.62%,50.94%,42.86%,32.31%,36.92%,29.19%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
16,17,Philadelphia,35.07%,34.48%,24.00%,35.38%,34.81%,32.28%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
17,18,Detroit,35.33%,29.58%,53.33%,33.33%,37.58%,36.29%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
18,19,NY Giants,35.44%,40.00%,17.39%,43.50%,26.28%,34.52%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
19,20,LA Chargers,35.56%,41.46%,20.00%,32.84%,38.00%,37.60%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
20,21,Dallas,36.05%,34.33%,16.00%,34.48%,38.33%,30.46%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
21,22,NY Jets,36.26%,34.00%,47.37%,38.57%,33.83%,32.17%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
22,23,Denver,36.65%,33.90%,42.31%,31.82%,39.77%,31.73%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
23,24,Indianapolis,36.67%,29.17%,41.18%,42.55%,31.45%,30.24%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
24,25,Carolina,36.72%,30.00%,13.64%,34.08%,40.48%,36.01%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
25,26,New Orleans,37.42%,39.34%,46.67%,39.02%,36.26%,27.63%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
26,27,Seattle,38.02%,45.28%,21.43%,40.29%,36.21%,31.00%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
27,28,Cleveland,38.75%,48.15%,57.14%,33.78%,43.97%,33.03%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
28,29,Atlanta,39.12%,50.00%,66.67%,40.00%,38.37%,37.34%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
29,30,Houston,40.98%,45.71%,68.75%,40.12%,41.82%,35.34%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
30,31,Chicago,41.69%,44.26%,55.00%,40.65%,42.76%,36.14%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
31,32,Green Bay,41.84%,37.21%,33.33%,47.00%,39.01%,35.82%,2022-12-28,/nfl/stat/opponent-rushing-first-down-pct
