,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tennessee,33.97%,36.98%,35.82%,37.12%,31.72%,35.00%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
1,2,Baltimore,35.58%,38.92%,53.85%,37.78%,33.51%,36.59%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
2,3,San Francisco,38.39%,31.95%,17.78%,29.82%,45.99%,41.31%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
3,4,Kansas City,38.42%,49.46%,51.52%,41.53%,35.53%,39.04%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
4,5,Arizona,38.62%,33.70%,20.31%,38.40%,38.84%,42.77%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
5,6,Buffalo,38.71%,36.56%,27.45%,37.45%,39.41%,42.60%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
6,7,Minnesota,39.60%,37.02%,28.92%,38.10%,41.69%,41.23%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
7,8,Miami,39.90%,36.18%,43.04%,32.11%,47.76%,39.32%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
8,9,LA Rams,40.41%,39.38%,33.85%,45.29%,34.72%,38.04%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
9,10,Philadelphia,40.67%,41.46%,39.62%,40.52%,40.85%,42.60%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
10,11,Pittsburgh,41.45%,42.78%,52.83%,40.19%,42.32%,44.03%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
11,12,Denver,42.02%,50.00%,40.58%,37.12%,45.16%,42.44%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
12,13,Las Vegas,42.13%,36.68%,29.73%,37.96%,45.17%,41.84%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
13,14,Tampa Bay,42.27%,40.33%,44.64%,45.57%,38.80%,33.71%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
14,15,Jacksonville,42.45%,45.59%,41.89%,45.82%,40.34%,46.16%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
15,16,New England,42.50%,46.52%,51.39%,48.13%,36.94%,45.15%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
16,17,Washington,42.82%,43.10%,46.15%,39.83%,45.45%,40.38%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
17,18,Cincinnati,43.13%,39.33%,46.30%,43.28%,43.04%,37.19%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
18,19,NY Jets,43.16%,46.41%,43.94%,42.90%,43.40%,45.85%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
19,20,New Orleans,43.79%,38.73%,26.67%,42.17%,44.98%,40.04%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
20,21,Cleveland,43.97%,39.68%,36.07%,36.29%,51.96%,41.38%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
21,22,NY Giants,43.97%,52.34%,43.90%,45.89%,41.32%,43.27%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
22,23,Dallas,44.03%,37.16%,42.86%,44.74%,42.99%,40.79%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
23,24,Detroit,44.17%,36.82%,34.55%,40.94%,49.04%,47.44%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
24,25,Carolina,44.94%,40.44%,33.33%,41.37%,49.70%,46.11%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
25,26,Atlanta,45.13%,60.21%,56.92%,45.61%,44.58%,46.59%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
26,27,LA Chargers,45.52%,48.65%,49.15%,42.77%,47.53%,46.15%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
27,28,Seattle,46.84%,54.67%,52.38%,44.55%,48.43%,42.38%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
28,29,Indianapolis,48.53%,53.37%,52.31%,50.28%,47.14%,40.00%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
29,30,Green Bay,50.76%,54.92%,50.00%,52.88%,49.49%,38.93%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
30,31,Chicago,51.88%,54.49%,50.79%,49.72%,53.68%,47.87%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
31,32,Houston,52.07%,52.00%,62.30%,54.07%,50.00%,47.50%,2022-12-07,/nfl/stat/opponent-rushing-play-pct
