,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cincinnati,24.5,24.5,21.8,25.9,23.9,28.3,2022-09-27,/nfl/stat/opponent-seconds-per-play
1,2,Detroit,25.5,25.5,23.2,26.5,23.2,29.3,2022-09-27,/nfl/stat/opponent-seconds-per-play
2,3,Cleveland,25.5,25.5,26.0,25.4,25.9,28.2,2022-09-27,/nfl/stat/opponent-seconds-per-play
3,4,Philadelphia,25.7,25.7,26.7,24.2,26.3,28.5,2022-09-27,/nfl/stat/opponent-seconds-per-play
4,5,Washington,25.8,25.8,23.9,25.0,27.5,28.0,2022-09-27,/nfl/stat/opponent-seconds-per-play
5,6,Jacksonville,26.0,26.0,22.3,27.2,25.5,31.2,2022-09-27,/nfl/stat/opponent-seconds-per-play
6,7,Kansas City,26.9,26.9,29.2,27.3,26.7,28.1,2022-09-27,/nfl/stat/opponent-seconds-per-play
7,8,Baltimore,27.5,27.5,28.0,30.2,26.2,28.1,2022-09-27,/nfl/stat/opponent-seconds-per-play
8,9,Atlanta,28.1,28.1,27.6,27.6,28.3,29.1,2022-09-27,/nfl/stat/opponent-seconds-per-play
9,10,Miami,28.3,28.3,27.1,28.4,28.0,28.4,2022-09-27,/nfl/stat/opponent-seconds-per-play
10,11,Tampa Bay,28.6,28.6,32.9,32.9,26.6,27.8,2022-09-27,/nfl/stat/opponent-seconds-per-play
11,12,Houston,28.6,28.6,30.4,26.4,30.2,29.4,2022-09-27,/nfl/stat/opponent-seconds-per-play
12,13,San Francisco,28.7,28.7,29.6,27.7,29.1,29.2,2022-09-27,/nfl/stat/opponent-seconds-per-play
13,14,Dallas,28.7,28.7,24.4,30.9,24.4,28.5,2022-09-27,/nfl/stat/opponent-seconds-per-play
14,15,New Orleans,28.8,28.8,30.7,27.4,29.5,28.4,2022-09-27,/nfl/stat/opponent-seconds-per-play
15,16,Minnesota,29.0,29.0,26.9,27.5,32.0,28.1,2022-09-27,/nfl/stat/opponent-seconds-per-play
16,17,Buffalo,29.1,29.1,29.7,32.2,27.5,28.8,2022-09-27,/nfl/stat/opponent-seconds-per-play
17,18,Tennessee,29.1,29.1,28.4,29.1,29.1,27.6,2022-09-27,/nfl/stat/opponent-seconds-per-play
18,19,LA Rams,29.2,29.2,25.1,32.0,25.1,28.3,2022-09-27,/nfl/stat/opponent-seconds-per-play
19,20,Indianapolis,29.3,29.3,26.5,26.5,30.5,27.7,2022-09-27,/nfl/stat/opponent-seconds-per-play
20,21,Pittsburgh,29.5,29.5,30.5,30.5,29.0,28.7,2022-09-27,/nfl/stat/opponent-seconds-per-play
21,22,Las Vegas,29.7,29.7,31.9,28.0,30.9,28.7,2022-09-27,/nfl/stat/opponent-seconds-per-play
22,23,Denver,29.7,29.7,29.4,28.6,32.3,28.7,2022-09-27,/nfl/stat/opponent-seconds-per-play
23,24,LA Chargers,29.9,29.9,30.8,30.2,29.3,28.8,2022-09-27,/nfl/stat/opponent-seconds-per-play
24,25,NY Jets,30.0,30.0,29.5,30.2,29.8,29.2,2022-09-27,/nfl/stat/opponent-seconds-per-play
25,26,Carolina,30.1,30.1,28.0,29.7,30.8,29.3,2022-09-27,/nfl/stat/opponent-seconds-per-play
26,27,Green Bay,30.1,30.1,27.0,33.3,29.0,27.4,2022-09-27,/nfl/stat/opponent-seconds-per-play
27,28,NY Giants,30.1,30.1,32.2,29.6,31.1,28.3,2022-09-27,/nfl/stat/opponent-seconds-per-play
28,29,New England,30.5,30.5,31.1,31.1,30.2,29.5,2022-09-27,/nfl/stat/opponent-seconds-per-play
29,30,Chicago,31.4,31.4,30.1,30.0,33.9,30.0,2022-09-27,/nfl/stat/opponent-seconds-per-play
30,31,Arizona,31.4,31.4,34.0,32.6,29.3,29.0,2022-09-27,/nfl/stat/opponent-seconds-per-play
31,32,Seattle,32.0,32.0,31.4,31.5,32.9,29.9,2022-09-27,/nfl/stat/opponent-seconds-per-play
